awarding_agency_code,awarding_agency_name,AgencyID
539,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD (RATB),NULL
542,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY (CIGIE),9511
559,NULL,NULL
573,NULL,NULL
581,CONSUMER FINANCIAL PROTECTION BUREAU (CFPB),955F
800,NULL,NULL
901,NULL,NULL
902,NULL,NULL
903,NULL,NULL
907,NULL,NULL
908,NULL,NULL
910,NULL,NULL
911,NULL,NULL
912,NULL,NULL
913,NULL,NULL
914,NULL,NULL
999,,NULL
1100,EXECUTIVE OFFICE OF THE PRESIDENT (EOP),NULL
1125,PEACE CORPS (EOP),1145
1133,U.S. TRADE AND DEVELOPMENT AGENCY (EOP),1153
1601,DEPARTMENT OF LABOR (DOL),NULL
1602,PENSION BENEFIT GUARANTY CORPORATION (DOL),1665
3300,SMITHSONIAN INSTITUTION (SI),NULL
3301,JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS (SI),3352
3302,NATIONAL GALLERY OF ART (SI),3355
3303,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS (SI),NULL
9542,MORRIS K. UDALL SCHOLARSHIP FOUNDATION (UDALL),NULL
9553,COURT SERVICES AND OFFENDER SUPERVISION AGENCY (CSOSA),NULL
9566,FEDERAL HOUSING FINANCE AGENCY (FHFA),9542
