principalnaicscode	principalnaicscodeText	principalNAICS2DigitCode	principalNAICS3DigitCode	PDTcategory	PDTSsplit2DigitCode	PDTSsplit3DigitCode	principalNAICS4DigitCode	principalNAICS5DigitCode	NAICS_ShortHand	NASbioEconomy	NASbioEconomyPT
326121	Unlaminated Plastics Profile Shape Manufacturing	31-33	326	Manufacturing	1	0	3261	32612		Biobased plastic products	0
326122	Plastics Pipe and Pipe Fitting Manufacturing	31-33	326	Manufacturing	1	0	3261	32612		Biobased plastic products	0
32613	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	32	326	NULL	NULL	NULL	3261	32613		Biobased plastic products	0
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	31-33	326	Manufacturing	1	0	3261	32613		Biobased plastic products	0
32614	Polystyrene Foam Product Manufacturing	32	326	NULL	NULL	NULL	3261	32614		Biobased plastic products	0
326140	Polystyrene Foam Product Manufacturing	31-33	326	Manufacturing	1	0	3261	32614		Biobased plastic products	0
32615	Urethane and Other Foam Product (except Polystyrene) Manufacturing	32	326	NULL	NULL	NULL	3261	32615		Biobased plastic products	0
326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing	31-33	326	Manufacturing	1	0	3261	32615		Biobased plastic products	0
32616	Plastics Bottle Manufacturing	32	326	NULL	NULL	NULL	3261	32616		Biobased plastic products	0
326160	Plastics Bottle Manufacturing	31-33	326	NULL	NULL	NULL	3261	32616		Biobased plastic products	0
32619	Other Plastics Product Manufacturing	32	326	NULL	NULL	NULL	3261	32619		Biobased plastic products	0
326191	Plastics Plumbing Fixture Manufacturing	31-33	326	Manufacturing	1	0	3261	32619		Biobased plastic products	0
326192	Resilient Floor Covering Manufacturing	31-33	326	Manufacturing	1	0	3261	32619		Biobased plastic products	0
326199	All Other Plastics Product Manufacturing	31-33	326	Manufacturing	1	0	3261	32619		Biobased plastic products	0
3262	Rubber Product Manufacturing	31-33	326	NULL	NULL	NULL	3262	NULL		Biobased plastic products	0
32621	Tire Manufacturing	32	326	NULL	NULL	NULL	3262	32621		Biobased plastic products	0
326211	Tire Manufacturing (except Retreading)	31-33	326	Manufacturing	1	0	3262	32621		Biobased plastic products	0
326212	Tire Retreading	31-33	326	NULL	NULL	NULL	3262	32621		Biobased plastic products	0
32622	Rubber and Plastics Hoses and Belting Manufacturing	32	326	NULL	NULL	NULL	3262	32622		Biobased plastic products	0
326220	Rubber and Plastics Hoses and Belting Manufacturing	31-33	326	Manufacturing	1	0	3262	32622		Biobased plastic products	0
32629	Other Rubber Product Manufacturing	32	326	NULL	NULL	NULL	3262	32629		Biobased plastic products	0
326291	Rubber Product Manufacturing for Mechanical Use	31-33	326	Manufacturing	1	0	3262	32629		Biobased plastic products	0
326299	All Other Rubber Product Manufacturing	31-33	326	Manufacturing	1	0	3262	32629		Biobased plastic products	0
334510	Electromedical and Electrotherapeutic Apparatus Manufacturing	31-33	334	Manufacturing	1	0	3345	33451		Electromedical instruments	0
334516	Analytical Laboratory Instrument Manufacturing	31-33	334	Manufacturing	1	0	3345	33451		Electromedical instruments	0
334517	Irradiation Apparatus Manufacturing	31-33	334	Manufacturing	1	0	3345	33451		Electromedical instruments	0
339112	Surgical and Medical Instrument Manufacturing	31-33	339	Manufacturing	1	1	3391	33911		Electromedical instruments	0
541710	Research and Development In The Physical, Engineering, and Life Sciences	54	541	NULL	NULL	NULL	5417	54171	54171* R&D in the Phys., Eng., & Life Sciences	Bioeconomy R&D services	1
541711	Research and Development in Biotechnology	54	541	NULL	NULL	NULL	5417	54171	54171* R&D in the Phys., Eng., & Life Sciences	Bioeconomy R&D services	0
541712	Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)	54	541	NULL	NULL	NULL	5417	54171	54171* R&D in the Phys., Eng., & Life Sciences	Bioeconomy R&D services	1
541714	Research and Development in Biotechnology (except Nanobiotechnology)	54	541	NULL	NULL	NULL	5417	54171		Bioeconomy R&D services	0
541715	Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)	54	541	NULL	NULL	NULL	5417	54171		Bioeconomy R&D services	1
