principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,principalNAICS4DigitCode,NAICS_shorthand,NAICS_unabbreviated,CriticalTech
23412,Bridge and Tunnel Construction,23,234,2341,NULL,NULL,Remaining Sectors
234120,Bridge and Tunnel Construction,23,234,2341,NULL,NULL,Remaining Sectors
2349,Other Heavy Construction,23,234,2349,NULL,NULL,Remaining Sectors
23491,"Water, Sewer, and Pipeline Construction",23,234,2349,NULL,NULL,Remaining Sectors
234910,"Water, Sewer, and Pipeline Construction",23,234,2349,NULL,NULL,Remaining Sectors
23492,Power and Communication Transmission Line Construction,23,234,2349,NULL,NULL,Remaining Sectors
234920,Power and Communication Transmission Line Construction,23,234,2349,NULL,NULL,Remaining Sectors
23493,Industrial Nonbuilding Structure Construction,23,234,2349,NULL,NULL,Remaining Sectors
234930,Industrial Nonbuilding Structure Construction,23,234,2349,NULL,NULL,Remaining Sectors
23499,All Other Heavy Construction,23,234,2349,NULL,NULL,Remaining Sectors
234990,All Other Heavy Construction,23,234,2349,NULL,NULL,Remaining Sectors
235,NULL,23,235,NULL,NULL,NULL,Remaining Sectors
23511,"Plumbing, Heating, and Air-Conditioning Contractors",23,235,2351,NULL,NULL,Remaining Sectors
235110,"Plumbing, Heating, and Air-Conditioning Contractors",23,235,2351,NULL,NULL,Remaining Sectors
23521,Painting and Wall Covering Contractors,23,235,2352,NULL,NULL,Remaining Sectors
235210,Painting and Wall Covering Contractors,23,235,2352,NULL,NULL,Remaining Sectors
23531,Electrical Contractors,23,235,2353,NULL,NULL,Remaining Sectors
235310,Electrical Contractors,23,235,2353,NULL,NULL,Remaining Sectors
23541,Masonry and Stone Contractors,23,235,2354,NULL,NULL,Remaining Sectors
235410,Masonry and Stone Contractors,23,235,2354,NULL,NULL,Remaining Sectors
23542,"Drywall, Plastering, Acoustical, and Insulation Contractors",23,235,2354,NULL,NULL,Remaining Sectors
235420,"Drywall, Plastering, Acoustical, and Insulation Contractors",23,235,2354,NULL,NULL,Remaining Sectors
235430,"Tile, Marble, Terrazzo, and Mosaic Contractors",23,235,2354,NULL,NULL,Remaining Sectors
23551,Carpentry Contractors,23,235,2355,NULL,NULL,Remaining Sectors
235510,Carpentry Contractors,23,235,2355,NULL,NULL,Remaining Sectors
23552,Floor Laying and Other Floor Contractors,23,235,2355,NULL,NULL,Remaining Sectors
235520,Floor Laying and Other Floor Contractors,23,235,2355,NULL,NULL,Remaining Sectors
2356,"Roofing, Siding, and Sheet Metal Contractors",23,235,2356,NULL,NULL,Remaining Sectors
23561,"Roofing, Siding, and Sheet Metal Contractors",23,235,2356,NULL,NULL,Remaining Sectors
235610,"Roofing, Siding, and Sheet Metal Contractors",23,235,2356,NULL,NULL,Remaining Sectors
23571,Concrete Contractors,23,235,2357,NULL,NULL,Remaining Sectors
235710,Concrete Contractors,23,235,2357,NULL,NULL,Remaining Sectors
2358,Water Well Drilling Contractors,23,235,2358,NULL,NULL,Remaining Sectors
23581,Water Well Drilling Contractors,23,235,2358,NULL,NULL,Remaining Sectors
235810,Water Well Drilling Contractors,23,235,2358,NULL,NULL,Remaining Sectors
2359,Other Special Trade Contractors,23,235,2359,NULL,NULL,Remaining Sectors
23591,Structural Steel Erection Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235910,Structural Steel Erection Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235920,Glass and Glazing Contractors,23,235,2359,NULL,NULL,Remaining Sectors
23593,Excavation Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235930,Excavation Contractors,23,235,2359,NULL,NULL,Remaining Sectors
23594,Wrecking and Demolition Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235940,Wrecking and Demolition Contractors,23,235,2359,NULL,NULL,Remaining Sectors
23595,Building Equipment and Other Machinery Installation Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235950,Building Equipment and Other Machinery Installation Contractors,23,235,2359,NULL,NULL,Remaining Sectors
23599,All Other Special Trade Contractors,23,235,2359,NULL,NULL,Remaining Sectors
235990,All Other Special Trade Contractors,23,235,2359,NULL,NULL,Remaining Sectors
236,Construction of Buildings,23,236,NULL,236 Construction of Buildings,236 Construction of Buildings,Remaining Sectors
2361,Residential Building Construction,23,236,2361,NULL,NULL,Remaining Sectors
23611,Residential Building Construction,23,236,2361,NULL,NULL,Remaining Sectors
236115,New Single-Family Housing Construction (except For-Sale Builders),23,236,2361,NULL,NULL,Remaining Sectors
236116,New Multifamily Housing Construction (except For-Sale Builders),23,236,2361,NULL,NULL,Remaining Sectors
236117,New Housing For-Sale Builders,23,236,2361,NULL,NULL,Remaining Sectors
236118,Residential Remodelers,23,236,2361,NULL,NULL,Remaining Sectors
2362,Nonresidential Building Construction,23,236,2362,NULL,NULL,Remaining Sectors
236210,Industrial Building Construction,23,236,2362,NULL,NULL,Remaining Sectors
23622,Commercial and Institutional Building Construction,23,236,2362,NULL,NULL,Remaining Sectors
236220,Commercial and Institutional Building Construction,23,236,2362,236220 Comm./Inst. Building Construction,236220 Comm./Inst. Building Construction,Remaining Sectors
237,Heavy and Civil Engineering Construction,23,237,NULL,237 Heavy & Civil Engineering Construction,237 Heavy & Civil Engineering Construction,Remaining Sectors
2371,Utility System Construction,23,237,2371,NULL,NULL,Remaining Sectors
237110,Water and Sewer Line and Related Structures Construction,23,237,2371,NULL,NULL,Remaining Sectors
237120,Oil and Gas Pipeline and Related Structures Construction,23,237,2371,NULL,NULL,Remaining Sectors
237130,Power and Communication Line and Related Structures Construction,23,237,2371,NULL,NULL,Remaining Sectors
2372,Land Subdivision,23,237,2372,NULL,NULL,Remaining Sectors
237210,Land Subdivision,23,237,2372,NULL,NULL,Remaining Sectors
2373,"Highway, Street, and Bridge Construction",23,237,2373,NULL,NULL,Remaining Sectors
237310,"Highway, Street, and Bridge Construction",23,237,2373,NULL,NULL,Remaining Sectors
2379,Other Heavy and Civil Engineering Construction,23,237,2379,NULL,NULL,Remaining Sectors
237990,Other Heavy and Civil Engineering Construction,23,237,2379,NULL,NULL,Remaining Sectors
238,Specialty Trade Contractors,23,238,NULL,NULL,NULL,Remaining Sectors
2381,"Foundation, Structure, and Building Exterior Contractors",23,238,2381,NULL,NULL,Remaining Sectors
238110,Poured Concrete Foundation and Structure Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238120,Structural Steel and Precast Concrete Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238130,Framing Contractors,23,238,2381,NULL,NULL,Remaining Sectors
23814,Masonry Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238140,Masonry Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238150,Glass and Glazing Contractors,23,238,2381,NULL,NULL,Remaining Sectors
23816,Roofing Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238160,Roofing Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238170,Siding Contractors,23,238,2381,NULL,NULL,Remaining Sectors
238190,"Other Foundation, Structure, and Building Exterior Contractors",23,238,2381,NULL,NULL,Remaining Sectors
2382,Building Equipment Contractors,23,238,2382,NULL,NULL,Remaining Sectors
23821,Electrical Contractors and Other Wiring Installation Contractors,23,238,2382,NULL,NULL,Remaining Sectors
238210,Electrical Contractors and Other Wiring Installation Contractors,23,238,2382,NULL,NULL,Remaining Sectors
23822,"Plumbing, Heating, and Air-Conditioning Contractors",23,238,2382,NULL,NULL,Remaining Sectors
238220,"Plumbing, Heating, and Air-Conditioning Contractors",23,238,2382,NULL,NULL,Remaining Sectors
23829,Other Building Equipment Contractors,23,238,2382,NULL,NULL,Remaining Sectors
238290,Other Building Equipment Contractors,23,238,2382,NULL,NULL,Remaining Sectors
2383,Building Finishing Contractors,23,238,2383,NULL,NULL,Remaining Sectors
23831,Drywall and Insulation Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238310,Drywall and Insulation Contractors,23,238,2383,NULL,NULL,Remaining Sectors
23832,Painting and Wall Covering Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238320,Painting and Wall Covering Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238330,Flooring Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238340,Tile and Terrazzo Contractors,23,238,2383,NULL,NULL,Remaining Sectors
23835,Finish Carpentry Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238350,Finish Carpentry Contractors,23,238,2383,NULL,NULL,Remaining Sectors
238390,Other Building Finishing Contractors,23,238,2383,NULL,NULL,Remaining Sectors
2389,Other Specialty Trade Contractors,23,238,2389,NULL,NULL,Remaining Sectors
238910,Site Preparation Contractors,23,238,2389,NULL,NULL,Remaining Sectors
23899,All Other Specialty Trade Contractors,23,238,2389,NULL,NULL,Remaining Sectors
238990,All Other Specialty Trade Contractors,23,238,2389,NULL,NULL,Remaining Sectors
31-33,Manufacturing,31-33,NULL,NULL,NULL,NULL,Remaining Sectors
311,Food Manufacturing,31-33,311,NULL,NULL,NULL,Remaining Sectors
3111,Animal Food Manufacturing,31-33,311,3111,NULL,NULL,Remaining Sectors
311111,Dog and Cat Food Manufacturing,31-33,311,3111,NULL,NULL,Remaining Sectors
311119,Other Animal Food Manufacturing,31-33,311,3111,NULL,NULL,Remaining Sectors
3112,Grain and Oilseed Milling,31-33,311,3112,NULL,NULL,Remaining Sectors
311211,Flour Milling,31-33,311,3112,NULL,NULL,Remaining Sectors
311212,Rice Milling,31-33,311,3112,NULL,NULL,Remaining Sectors
311213,Malt Manufacturing,31-33,311,3112,NULL,NULL,Remaining Sectors
311221,Wet Corn Milling,31-33,311,3112,NULL,NULL,Remaining Sectors
311222,Soybean Processing,31-33,311,3112,NULL,NULL,Remaining Sectors
311223,Other Oilseed Processing,31-33,311,3112,NULL,NULL,Remaining Sectors
311224,Soybean and Other Oilseed Processing,31-33,311,3112,NULL,NULL,Remaining Sectors
311225,Fats and Oils Refining and Blending,31-33,311,3112,NULL,NULL,Remaining Sectors
311230,Breakfast Cereal Manufacturing,31-33,311,3112,NULL,NULL,Remaining Sectors
3113,Sugar and Confectionery Product Manufacturing,31-33,311,3113,NULL,NULL,Remaining Sectors
311311,Sugarcane Mills,31-33,311,3113,NULL,NULL,Remaining Sectors
311312,Cane Sugar Refining,31-33,311,3113,NULL,NULL,Remaining Sectors
311313,Beet Sugar Manufacturing,31-33,311,3113,NULL,NULL,Remaining Sectors
311314,Cane Sugar Manufacturing,31-33,311,3113,NULL,NULL,Remaining Sectors
311320,Chocolate and Confectionery Manufacturing From Cacao Beans,31-33,311,3113,NULL,NULL,Remaining Sectors
311330,Confectionery Manufacturing From Purchased Chocolate,31-33,311,3113,NULL,NULL,Remaining Sectors
311340,Nonchocolate Confectionery Manufacturing,31-33,311,3113,NULL,NULL,Remaining Sectors
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,31-33,311,3113,NULL,NULL,Remaining Sectors
311352,Confectionery Manufacturing from Purchased Chocolate,31-33,311,3113,NULL,NULL,Remaining Sectors
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31-33,311,3114,NULL,NULL,Remaining Sectors
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",31-33,311,3114,NULL,NULL,Remaining Sectors
311412,Frozen Specialty Food Manufacturing,31-33,311,3114,NULL,NULL,Remaining Sectors
311421,Fruit and Vegetable Canning,31-33,311,3114,NULL,NULL,Remaining Sectors
311422,Specialty Canning,31-33,311,3114,NULL,NULL,Remaining Sectors
311423,Dried and Dehydrated Food Manufacturing,31-33,311,3114,NULL,NULL,Remaining Sectors
3115,Dairy Product Manufacturing,31-33,311,3115,NULL,NULL,Remaining Sectors
311511,Fluid Milk Manufacturing,31-33,311,3115,NULL,NULL,Remaining Sectors
311512,Creamery Butter Manufacturing,31-33,311,3115,NULL,NULL,Remaining Sectors
311513,Cheese Manufacturing,31-33,311,3115,NULL,NULL,Remaining Sectors
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",31-33,311,3115,NULL,NULL,Remaining Sectors
311520,Ice Cream and Frozen Dessert Manufacturing,31-33,311,3115,NULL,NULL,Remaining Sectors
3116,Animal Slaughtering and Processing,31-33,311,3116,NULL,NULL,Remaining Sectors
31161,Animal Slaughtering and Processing,31-33,311,3116,NULL,NULL,Remaining Sectors
311611,Animal (except Poultry) Slaughtering,31-33,311,3116,NULL,NULL,Remaining Sectors
311612,Meat Processed from Carcasses,31-33,311,3116,NULL,NULL,Remaining Sectors
311613,Rendering and Meat Byproduct Processing,31-33,311,3116,NULL,NULL,Remaining Sectors
311615,Poultry Processing,31-33,311,3116,NULL,NULL,Remaining Sectors
3117,Seafood Product Preparation and Packaging,31-33,311,3117,NULL,NULL,Remaining Sectors
311710,Seafood Product Preparation and Packaging,31-33,311,3117,NULL,NULL,Remaining Sectors
311711,Seafood Canning,31-33,311,3117,NULL,NULL,Remaining Sectors
311712,Fresh and Frozen Seafood Processing,31-33,311,3117,NULL,NULL,Remaining Sectors
3118,Bakeries and Tortilla Manufacturing,31-33,311,3118,NULL,NULL,Remaining Sectors
31181,Bread and Bakery Product Manufacturing,31-33,311,3118,NULL,NULL,Remaining Sectors
311811,Retail Bakeries,31-33,311,3118,NULL,NULL,Remaining Sectors
311812,Commercial Bakeries,31-33,311,3118,NULL,NULL,Remaining Sectors
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",31-33,311,3118,NULL,NULL,Remaining Sectors
311821,Cookie and Cracker Manufacturing,31-33,311,3118,NULL,NULL,Remaining Sectors
311822,Flour Mixes and Dough Manufacturing From Purchased Flour,31-33,311,3118,NULL,NULL,Remaining Sectors
311823,Dry Pasta Manufacturing,31-33,311,3118,NULL,NULL,Remaining Sectors
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",31-33,311,3118,NULL,NULL,Remaining Sectors
