Fiscal Year,"GDP (in
billions of
dollars)","GDP
(Chained)
Price Index",Total,"Total
Defense","Total
Nondefense",Payment for IndividualsTotal,Payment for IndividualsDirect,Payment for IndividualsGrants,"Other
Grants",Net Interest,"Undis-
tributed
Offsetting
Receipts",All Other,Addendum: Direct CapitalTotal,Addendum: Direct CapitalDefense,Addendum: Direct CapitalNondefense
1962,585.7,0.1700,0.1359,0.1234,0.1505,0.1682,0.1682,0.1681,0.1115,0.1700,0.1078,0.1224,0.2481,0.2494,0.2387
1963,618.2,0.1720,0.1418,0.1290,0.1562,0.1702,0.1702,0.1701,0.1155,0.1720,0.1113,0.1302,0.2521,0.2536,0.2410
1964,661.7,0.1742,0.1441,0.1307,0.1580,0.1726,0.1726,0.1725,0.1175,0.1742,0.1149,0.1366,0.2525,0.2538,0.2446
1965,709.3,0.1772,0.1461,0.1303,0.1606,0.1749,0.1750,0.1748,0.1207,0.1772,0.1214,0.1423,0.2531,0.2545,0.2468
1966,780.5,0.1810,0.1501,0.1365,0.1624,0.1781,0.1781,0.1780,0.1174,0.1810,0.1255,0.1464,0.2552,0.2566,0.2482
1967,836.5,0.1865,0.1534,0.1409,0.1656,0.1829,0.1829,0.1828,0.1189,0.1865,0.1287,0.1484,0.2590,0.2600,0.2520
1968,897.6,0.1930,0.1590,0.1476,0.1703,0.1886,0.1886,0.1885,0.1231,0.1930,0.1334,0.1516,0.2647,0.2655,0.2577
1969,980.3,0.2018,0.1691,0.1560,0.1816,0.1966,0.1966,0.1965,0.1305,0.2018,0.1427,0.1632,0.2748,0.2755,0.2677
1970,"1,046.7",0.2126,0.1785,0.1640,0.1907,0.2059,0.2059,0.2058,0.1393,0.2126,0.1545,0.1733,0.2890,0.2897,0.2826
1971,"1,116.6",0.2234,0.1909,0.1742,0.2025,0.2151,0.2151,0.2150,0.1491,0.2234,0.1701,0.1897,0.3069,0.3079,0.3002
1972,"1,216.3",0.2340,0.2033,0.1908,0.2105,0.2233,0.2233,0.2232,0.1561,0.2340,0.1832,0.2021,0.3302,0.3333,0.3147
1973,"1,352.7",0.2442,0.2126,0.2042,0.2166,0.2317,0.2317,0.2316,0.1594,0.2442,0.1938,0.2138,0.3515,0.3569,0.3280
1974,"1,482.9",0.2616,0.2304,0.2181,0.2360,0.2504,0.2504,0.2503,0.1744,0.2616,0.2057,0.2261,0.3725,0.3771,0.3533
1975,"1,606.9",0.2886,0.2528,0.2376,0.2586,0.2762,0.2762,0.2761,0.1934,0.2886,0.2211,0.2410,0.4049,0.4083,0.3924
1976,"1,786.1",0.3087,0.2709,0.2525,0.2773,0.2942,0.2942,0.2941,0.2086,0.3087,0.2395,0.2624,0.4302,0.4342,0.4162
TQ,471.7,0.3180,0.2776,0.2574,0.2844,0.3034,0.3034,0.3033,0.2163,0.3180,0.2467,0.2681,0.4442,0.4497,0.4274
1977,"2,024.3",0.3310,0.2906,0.2725,0.2968,0.3163,0.3164,0.3162,0.2237,0.3310,0.2582,0.2818,0.4632,0.4696,0.4409
1978,"2,273.5",0.3533,0.3088,0.2911,0.3144,0.3375,0.3376,0.3374,0.2379,0.3533,0.2746,0.2976,0.4918,0.5007,0.4634
1979,"2,565.6",0.3818,0.3356,0.3149,0.3424,0.3655,0.3656,0.3654,0.2597,0.3818,0.2922,0.3209,0.5257,0.5350,0.4944
1980,"2,791.9",0.4151,0.3711,0.3485,0.3783,0.4042,0.4043,0.4041,0.2889,0.4151,0.3172,0.3443,0.5652,0.5721,0.5392
1981,"3,133.2",0.4559,0.4122,0.3865,0.4206,0.4436,0.4436,0.4434,0.3230,0.4559,0.3460,0.3753,0.6155,0.6223,0.5871
1982,"3,313.4",0.4876,0.4439,0.4210,0.4520,0.4711,0.4711,0.4709,0.3520,0.4876,0.3637,0.3942,0.6637,0.6703,0.6292
1983,"3,536.0",0.5089,0.4657,0.4417,0.4747,0.4926,0.4926,0.4924,0.3702,0.5089,0.3757,0.4054,0.7028,0.7106,0.6510
1984,"3,949.2",0.5271,0.4880,0.4646,0.4971,0.5115,0.5115,0.5113,0.3895,0.5271,0.3858,0.4282,0.7314,0.7415,0.6689
1985,"4,265.1",0.5447,0.5059,0.4827,0.5150,0.5294,0.5294,0.5291,0.4060,0.5447,0.4023,0.4465,0.7382,0.7474,0.6838
1986,"4,526.3",0.5569,0.5165,0.4935,0.5258,0.5432,0.5432,0.5429,0.4206,0.5569,0.4072,0.4464,0.7330,0.7389,0.6921
1987,"4,767.7",0.5694,0.5314,0.5008,0.5444,0.5571,0.5572,0.5569,0.4421,0.5694,0.4088,0.4560,0.7258,0.7295,0.7016
1988,"5,138.6",0.5878,0.5497,0.5134,0.5646,0.5783,0.5784,0.5779,0.4590,0.5878,0.4217,0.4737,0.7272,0.7282,0.7216
1989,"5,554.7",0.6116,0.5714,0.5332,0.5866,0.6040,0.6041,0.6031,0.4782,0.6116,0.4324,0.4818,0.7437,0.7434,0.7455
1990,"5,898.8",0.6340,0.5880,0.5515,0.6004,0.6286,0.6288,0.6273,0.5014,0.6340,0.4442,0.4834,0.7570,0.7557,0.7646
1991,"6,093.2",0.6566,0.6143,0.5788,0.6243,0.6536,0.6538,0.6520,0.5224,0.6566,0.4709,0.5084,0.7749,0.7732,0.7842
1992,"6,416.3",0.6730,0.6393,0.5880,0.6550,0.6707,0.6710,0.6689,0.5378,0.6730,0.4876,0.5532,0.7868,0.7859,0.7907
1993,"6,775.3",0.6888,0.6582,0.5939,0.6773,0.6879,0.6884,0.6856,0.5546,0.6888,0.5130,0.5960,0.8057,0.8063,0.8035
1994,"7,176.9",0.7038,0.6698,0.5995,0.6891,0.7023,0.7029,0.6992,0.5689,0.7038,0.5361,0.6024,0.8250,0.8270,0.8174
1995,"7,560.4",0.7188,0.6897,0.6111,0.7097,0.7174,0.7181,0.7143,0.5884,0.7188,0.5531,0.6429,0.8460,0.8479,0.8404
1996,"7,951.3",0.7323,0.7042,0.6243,0.7232,0.7320,0.7326,0.7288,0.6056,0.7323,0.5794,0.6622,0.8567,0.8603,0.8472
1997,"8,451.0",0.7453,0.7190,0.6340,0.7392,0.7468,0.7474,0.7435,0.6173,0.7453,0.5937,0.6771,0.8550,0.8572,0.8492
1998,"8,930.8",0.7546,0.7250,0.6460,0.7426,0.7538,0.7543,0.7515,0.6251,0.7546,0.6060,0.6629,0.8557,0.8572,0.8505
1999,"9,479.4",0.7643,0.7339,0.6589,0.7504,0.7628,0.7632,0.7608,0.6403,0.7643,0.6245,0.6818,0.8643,0.8675,0.8562
2000,"10,117.5",0.7800,0.7525,0.6821,0.7681,0.7807,0.7812,0.7784,0.6646,0.7800,0.6568,0.7077,0.8765,0.8782,0.8728
2001,"10,526.5",0.7984,0.7722,0.7054,0.7867,0.7981,0.7985,0.7960,0.6859,0.7984,0.6714,0.7302,0.8807,0.8800,0.8821
2002,"10,833.7",0.8112,0.7841,0.7284,0.7969,0.8073,0.8078,0.8054,0.6996,0.8112,0.7092,0.7562,0.8762,0.8739,0.8814
2003,"11,283.8",0.8260,0.8064,0.7755,0.8139,0.8232,0.8237,0.8213,0.7195,0.8260,0.7476,0.7885,0.8831,0.8822,0.8854
2004,"12,025.5",0.8458,0.8274,0.8047,0.8332,0.8415,0.8419,0.8399,0.7463,0.8458,0.7837,0.8146,0.8950,0.8943,0.8971
2005,"12,834.2",0.8716,0.8558,0.8431,0.8591,0.8652,0.8654,0.8640,0.7900,0.8716,0.8203,0.8437,0.9117,0.9108,0.9147
2006,"13,638.4",0.8995,0.8854,0.8792,0.8870,0.8915,0.8916,0.8906,0.8306,0.8995,0.8504,0.8711,0.9266,0.9264,0.9274
2007,"14,290.8",0.9240,0.9099,0.9081,0.9103,0.9109,0.9109,0.9105,0.8755,0.9240,0.8812,0.9033,0.9396,0.9401,0.9381
2008,"14,743.3",0.9431,0.9414,0.9431,0.9409,0.9428,0.9428,0.9426,0.9188,0.9431,0.9097,0.9255,0.9569,0.9571,0.9560
2009,"14,431.8",0.9540,0.9413,0.9412,0.9414,0.9420,0.9420,0.9421,0.9323,0.9540,0.9284,0.9343,0.9643,0.9655,0.9608
2010,"14,838.9",0.9622,0.9581,0.9583,0.9581,0.9583,0.9583,0.9581,0.9473,0.9622,0.9551,0.9633,0.9698,0.9697,0.9703
2011,"15,403.7",0.9814,0.9805,0.9864,0.9791,0.9791,0.9791,0.9789,0.9740,0.9814,0.9888,0.9869,0.9895,0.9887,0.9917
2012,"16,056.5",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2013,"16,603.8",1.0184,1.0142,1.0070,1.0159,1.0148,1.0148,1.0148,1.0264,1.0184,1.0082,1.0126,1.0040,1.0031,1.0065
2014,"17,335.6",1.0380,1.0302,1.0234,1.0316,1.0301,1.0301,1.0302,1.0510,1.0380,1.0426,1.0330,1.0180,1.0162,1.0235
2015,"18,106.1",1.0496,1.0353,1.0276,1.0368,1.0344,1.0344,1.0346,1.0602,1.0496,1.0555,1.0480,1.0209,1.0187,1.0270
2016,"18,581.7",1.0589,1.0422,1.0313,1.0442,1.0418,1.0418,1.0419,1.0643,1.0589,1.0680,1.0566,1.0188,1.0167,1.0248
2017,"19,316.6",1.0777,1.0597,1.0459,1.0622,1.0597,1.0597,1.0598,1.0840,1.0777,1.0971,1.0781,1.0258,1.0223,1.0382
2018,"20,368.9",1.1026,1.0840,1.0748,1.0857,1.0819,1.0818,1.0821,1.1197,1.1026,1.1405,1.1145,1.0394,1.0346,1.0602
2019,"21,223.9",1.1244,1.1035,1.0984,1.1044,1.0993,1.0993,1.0996,1.1512,1.1244,1.1804,1.1457,1.0556,1.0498,1.0828
2020,"20,999.7",1.1385,1.1228,1.1028,1.1254,1.1131,1.1131,1.1134,1.1713,1.1385,1.1689,1.1636,1.0648,1.0566,1.0933
2021 estimate,"22,030.0",1.1578,1.1436,1.1222,1.1461,1.1357,1.1357,1.1361,1.1987,1.1578,1.1887,1.1815,1.0856,1.0745,1.1118
2022 estimate,"23,499.7",1.1791,1.1648,1.1437,1.1679,1.1589,1.1588,1.1595,1.2323,1.1791,1.2106,1.1981,1.1053,1.0943,1.1323
2023 estimate,"24,563.3",1.2019,1.1895,1.1659,1.1931,1.1839,1.1835,1.1853,1.2683,1.2019,1.2341,1.2214,1.1257,1.1155,1.1542
2024 estimate,"25,536.5",1.2260,1.2157,1.1892,1.2197,1.2102,1.2098,1.2120,1.3061,1.2260,1.2587,1.2457,1.1476,1.1378,1.1773
2025 estimate,"26,516.0",1.2505,1.2425,1.2130,1.2468,1.2375,1.2372,1.2390,1.3453,1.2505,1.2839,1.2707,1.1695,1.1605,1.2009
2026 estimate,"27,533.2",1.2755,1.2702,1.2372,1.2749,1.2654,1.2651,1.2669,1.3855,1.2755,1.3096,1.2961,1.1928,1.1838,1.2249
