"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2005","1540","GLIDERS","$18,362,353.00","8"
"2005","1550","DRONES","$535,395,899.84","195"
"2005","1560","AIRFRAME STRUCTURAL COMPONENTS","$1,888,626,549.19","21,734"
"2005","1610","AIRCRAFT PROPELLERS AND COMPONENTS","$40,132,353.04","163"
"2005","1615","HELICOPTER ROTOR BLADES-DRIVE MECH","$1,049,514,240.83","1,765"
"2005","1620","AIRCRAFT LANDING GEAR COMPONENTS","$189,798,848.00","1,377"
"2005","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS","$123,622,024.20","1,011"
"2005","1640","AIRCRAFT CONTROL CABLE PRODUCTS","$2,872,612.00","180"
"2005","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING","$319,991,717.17","6,586"
"2005","1660","AIRCRAFT AIR CONDITION HEATING EQ","$118,623,727.25","2,011"
"2005","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ","$199,540,027.52","1,599"
"2005","1680","MISCL AIRCRAFT ACCESSORIES COMPS","$1,788,661,358.74","11,103"
"2005","1710","AIRCRAFT LANDING EQUIPMENT","$132,668,198.88","450"
"2005","1720","AIRCRAFT LAUNCHING EQUIPMENT","$38,033,767.64","241"
"2005","1730","AIRCRAFT GROUND SERVICING EQUIPMENT","$275,761,449.90","2,021"
"2005","1740","AIRFIELD SPECIAL TRUCKS & TRAILERS","$41,104,460.52","183"
"2005","1810","SPACE VEHICLES","$1,057,373,617.05","134"
"2005","1820","SPACE VEHICLE COMPONENTS","$774,832,328.64","199"
"2005","1830","SPACE VEHICLE REMOTE CONT SYSTEMS","$24,284,749.00","20"
"2005","1840","SPACE VEHICLE LAUNCHERS","$382,690,235.73","24"
"2005","1850","SPACE VEHICLE HANDLING & SERVICE EQ","$11,028,497.63","17"
"2005","1860","SPACE SURVIVAL EQUIPMENT","$10,484,623.91","32"
"2005","1900","Frigates and Corvettes","$73,773.00","1"
"2005","1901","AIRCRAFT CARRIERS","$805,993,890.78","373"
"2005","1902","CRUISERS","$25,897,235.00","61"
"2005","1903","DESTROYERS","$1,898,529,887.00","1,043"
"2005","1904","SUBMARINES","$1,958,156,985.00","772"
"2005","1905","COMBAT SHIPS AND LANDING VESSELS","$858,899.00","15"
"2005","1906","MINELAYERS ADN MINESWEEPERS","$15,176,275.00","35"
"2005","1907","LANDING CRAFT","$34,601,230.00","167"
"2005","1908","TORPEDO BOATS AND GUN BOATS","$61,583,678.37","72"
"2005","1910","TRANSPORT VESSELS-PASSENGER & TROOP","$78,823,582.80","167"
"2005","1911","AMPHIBIOUS ASSAULT SHIPS","$719,571,723.00","214"
"2005","1915","CARGO AND TANKER VESSELS","$602,333,436.88","75"
"2005","1920","FISHING VESSELS","$8,862,538.50","77"
"2005","1921","TUGS AND TOWBOATS","$8,575,785.23","83"
"2005","1922","Fire Boats","$12,707.00","1"
"2005","1923","ICE BREAKERS","$127,827.38","28"
"2005","1924","REPAIR SHIPS","$1,482,674.77","63"
"2005","1925","SPECIAL SERVICE VESSELS","$50,436,897.96","100"
"2005","1926","Lightships","$1,232,884.65","24"
"2005","1927","Cable Ships","$21,358.98","7"
"2005","1928","SALVAGE VESSELS","$972,860.00","7"
"2005","1929","RESCUE VESSELS","$1,824,150.80","14"
"2005","1930","BARGES AND LIGHTERS, CARGO","$8,917,982.00","30"
"2005","1935","BARGES & LIGHTERS SPECIAL PURPOSE","$1,187,039.82","16"
"2005","1940","SMALL CRAFT","$124,198,215.91","665"
"2005","1945","PONTOONS AND FLOATING DOCKS","$12,302,411.70","137"
"2005","1950","FLOATING DRYDOCKS","$609,665.14","28"
"2005","1955","DREDGES","$578,498.22","11"
"2005","1990","MISCELLANEOUS VESSELS","$27,115,171.77","184"
"2005","2010","SHIP AND BOAT PROPULSION COMPONENTS","$261,326,970.11","699"
"2005","2020","RIGGING AND RIGGING GEAR","$3,098,827.59","124"
"2005","2030","DECK MACHINERY","$7,609,090.25","156"
"2005","2040","MARINE HARDWARE AND HULL ITEMS","$36,485,882.80","997"
"2005","2050","BUOYS","$14,697,396.19","247"
"2005","2060","COMMERCIAL FISHING EQUIPMENT","$161,766.87","16"
"2005","2090","MISC SHIP & MARINE EQ","$207,186,503.35","1,478"
"2005","2210","LOCOMOTIVES","$1,036,081.00","10"
"2005","2220","RAIL CARS","$11,121,980.10","15"
"2005","2230","RAILROAD RIGHT OF WAY CONSTR EQ","$47,263.60","16"
"2005","2240","LOCOMOTIVE & RAIL CAR ACCESSORIES","$1,747,375.90","40"
"2005","2250","TRACK MATERIAL, RAILROAD","$1,315,907.73","32"
"2005","2305","GROUND EFFECT VEHICLES","$198,518,780.54","436"
"2005","2310","PASSENGER MOTOR VEHICLES","$243,263,928.73","2,799"
"2005","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$6,000,572,642.12","30,653"
"2005","2330","TRAILERS","$1,604,821,186.37","1,877"
"2005","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$19,558,053.17","865"
"2005","2350","COMBAT ASSAULT & TACTICAL VEH","$2,651,246,195.90","419"
"2005","2410","TRACTORS, FULL TRACKED, LOW SPEED","$5,438,428.12","158"
"2005","2420","TRACTORS, WHEELED","$13,303,253.34","377"
"2005","2430","TRACTORS, FULL TRACKED, HIGH SPEED","$911,843.74","37"
"2005","2510","VEH CAB BODY FRAME STRUCTURAL COMP","$529,089,003.09","6,216"
"2005","2520","VEH POWER TRANSMISSION COMPONENTS","$430,869,055.58","2,611"
"2005","2530","VEH BRAKE STEERING AXLE WHEEL COMP","$461,710,052.94","4,064"
"2005","2540","VEHICULAR FURNITURE AND ACCESSORIES","$171,593,439.06","4,294"
"2005","2541","VEH ACCESSORY/WEAPONS SYS SPECIFIC","$14,685,067.68","63"
"2005","2590","MISCELLANEOUS VEHICULAR COMPONENTS","$160,982,260.96","3,351"
"2005","2610","TIRES & TUBES PNEUMATIC EXCEPT AIR","$107,761,424.53","1,059"
"2005","2620","TIRES & TUBES PNEUMATIC AIRCRAFT","$55,295,485.24","108"
"2005","2630","TIRES, SOLID AND CUSHION","$1,010,900.09","93"
"2005","2640","TIRES & TUBES REBUILDING-REP MTL","$19,201,620.01","420"
"2005","2805","GAS RECIPROCATING ENG - EXCEPT AIR","$8,335,812.66","476"
"2005","2810","GAS RECIPROCATING ENG - AIRCRAFT","$4,066,579.76","102"
"2005","2815","DIESEL ENGINES AND COMPONENTS","$440,505,398.13","3,353"
"2005","2820","STEAM ENGINES RECIPROCATING & COMPS","$323,779.01","16"
"2005","2825","STEAM TURBINES AND COMPONENTS","$10,808,910.25","285"
"2005","2830","WATER TURBINES,WATER WHEELS & COMPS","$24,150,612.65","71"
"2005","2835","GAS TURBINES & JET ENG EXCEPT AIR","$235,690,405.47","1,168"
"2005","2840","GAS TURBINES & JET ENGINES AIRCRAFT","$5,120,649,063.10","6,054"
"2005","2845","ROCKET ENGINES AND COMPONENTS","$11,860,337.00","19"
"2005","2850","GASOLINE ROTORY ENGINES & COMPS","$1,840,325.08","83"
"2005","2895","MISC ENGINES & COMPONENTS","$89,411,824.87","513"
"2005","2910","ENGINE FUEL SYS COMPONENTS NONAIR","$52,197,418.01","1,870"
"2005","2915","ENGINE FUEL SYSTEM COMPONENTS AIR","$184,340,243.53","1,533"
"2005","2920","ENGINE ELECT SYS COMPS NONAIRCRAFT","$61,038,883.26","991"
"2005","2925","ENGINE ELECT SYS COMPS - AIRCRAFT","$26,255,860.50","349"
"2005","2930","ENGINE COOLING SYS COMPS - NONAIR","$47,355,124.29","829"
"2005","2935","ENGINE COOLING SYS COMPONENTS - AIR","$6,436,604.86","82"
"2005","2940","ENGINE AIR & OIL FILTERS - NONAIR","$16,089,158.01","830"
"2005","2945","ENGINE AIR & OIL FILTERS - AIR","$16,627,812.78","194"
"2005","2950","TURBOSUPERCHARGERS AND COMPONENTS","$7,216,241.55","150"
"2005","2990","MISC ENGINE ACCESSORIES - NONAIR","$28,099,184.48","1,415"
"2005","2995","MISC ENGINE ACCESSORIES - AIRCRAFT","$116,527,260.37","1,317"
"2005","3010","TORQUE CONVERTERS & SPEED CHANGERS","$110,329,150.44","1,294"
"2005","3020","GEAR PULLEY SPROCKET & TRAN CHAIN","$56,252,816.76","2,563"
"2005","3030","BELTING DRIVE BELTS FAN BELTS & ACC","$2,970,696.20","258"
"2005","3040","MISC POWER TRANSMISSION EQ","$196,949,244.20","7,108"
"2005","3110","BEARINGS, ANTIFRICTION, UNMOUNTED","$138,068,555.92","4,295"
"2005","3120","BEARINGS, PLAIN, UNMOUNTED","$79,751,347.36","3,977"
"2005","3130","BEARINGS, MOUNTED","$10,787,809.36","340"
"2005","3210","SAWMILL AND PLANING MILL MACHINERY","$972,488.95","31"
"2005","3220","WOODWORKING MACHINES","$908,380.59","76"
"2005","3230","TOOLS - ATTACHS FOR WOODWORK MACH","$587,216.12","78"
"2005","3405","SAWS AND FILING MACHINES","$2,278,743.85","133"
"2005","3408","MACHING CENTERS & WAY-TYPE MACHINES","$19,714,113.48","84"
"2005","3410","ELECT & ULTRASONIC EROSION MACHINES","$1,161,920.45","38"
"2005","3411","BORING MACHINES.","$2,932,253.20","23"
"2005","3412","BROACHING MACHINES","$13,747.96","2"
"2005","3413","DRILLING AND TAPPING MACHINES","$1,468,108.15","79"
"2005","3414","GEAR CUTTING AND FINISHING MACHINES","$687,520.82","21"
"2005","3415","GRINDING MACHINES","$6,246,076.41","104"
"2005","3416","LATHES","$14,902,566.75","504"
"2005","3417","MILLING MACHINES","$27,066,397.65","180"
"2005","3418","PLANERS AND SHAPERS","$1,019,849.10","32"
"2005","3419","MISCELLANEOUS MACHINE TOOLS","$19,402,740.41","467"
"2005","3422","ROLLING MILLS AND DRAWING MACHINES","$445,789.40","14"
"2005","3424","METAL HEAT TREATING EQ","$2,703,334.44","76"
"2005","3426","METAL FINISHING EQUIPMENT","$5,411,937.38","174"
"2005","3431","ELECTRIC ARC WELDING EQUIPMENT","$5,209,634.86","282"
"2005","3432","ELECTRIC RESISTANCE WELDING EQ","$293,410.40","20"
"2005","3433","GAS WELD HEAT CUT - METALIZING EQ","$6,663,045.79","223"
"2005","3436","WELDING POSITIONERS & MANIPULATORS","$1,124,692.47","56"
"2005","3438","MISCELLANEOUS WELDING EQUIPMENT","$2,718,219.76","199"
"2005","3439","MISC WELD SOLDER & BRAZING SUPPLY","$9,262,245.64","855"
"2005","3441","BENDING AND FORMING MACHINES","$5,130,858.10","122"
"2005","3442","HYDRAULIC/PNEUMATIC POWER PRESS DR","$11,836,000.16","109"
"2005","3443","MECHANICAL PRESSES, POWER DRIVEN","$1,917,097.13","52"
"2005","3444","MANUAL PRESSES","$301,476.12","42"
"2005","3445","PUNCHING AND SHEARING MACHINES","$1,570,894.44","63"
"2005","3446","FORGING MACHINERY AND HAMMERS","$166,972.65","17"
"2005","3447","WIRE & METAL RIBBON FORMING MACHS","$344,357.00","9"
"2005","3448","RIVETING MACHINES","$358,868.00","19"
"2005","3449","MSC SECONDARY METAL FORM-CUT MACH","$20,802,829.93","80"
"2005","3450","MACHINE TOOLS, PORTABLE","$2,314,279.66","140"
"2005","3455","CUTTING TOOLS FOR MACHINE TOOLS","$2,471,214.93","292"
"2005","3456","SECONDARY METAL MACH-CUTTING TOOLS","$1,660,396.70","57"
"2005","3460","MACHINE TOOL ACCESSORIES","$7,989,164.41","1,052"
"2005","3461","SECONDARY METALWORKING MACH-ACCESS","$675,613.39","32"
"2005","3465","PRODUCTION JIGS FIXTURES & TEMPLATE","$5,145,483.00","35"
"2005","3470","MACHINE SHOP SETS KITS & OUTFITS","$9,859,511.87","236"
"2005","3510","LAUNDRY AND DRY CLEANING EQUIPMENT","$16,222,515.49","641"
"2005","3520","SHOE REPAIRING EQUIPMENT","$426,496.58","11"
"2005","3530","IND SEW MACH & MOBILE TEXTILE SHOPS","$2,422,536.88","152"
"2005","3540","WRAPPING AND PACKAGING MACHINERY","$5,283,020.40","536"
"2005","3550","VENDING AND COIN OPERATED MACHINES","$957,813.13","31"
"2005","3590","MISC SERVICE & TRADE EQ","$28,614,779.97","1,455"
"2005","3605","FOOD PRODUCTS MACHINE & EQ","$7,937,944.06","423"
"2005","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$322,819,904.55","12,765"
"2005","3611","INDUSTRIAL MARKING MACHINES","$2,257,080.21","171"
"2005","3615","PULP AND PAPER INDUSTRIES MACHINERY","$2,402,995.08","122"
"2005","3620","RUBBER & PLASTIC WORKING MACHINE","$483,152.88","32"
"2005","3625","TEXTILE INDUSTRIES MACHINERY","$1,923,796.92","66"
"2005","3630","CLAY-CONCRETE PRODUCTS MACH","$1,982,097.32","120"
"2005","3635","CRYSTAL & GLASS INDUSTRIES MACHINE","$121,984.00","14"
"2005","3640","TOBACCO MANUFACTURING MACHINERY","$9,419.20","2"
"2005","3645","LEATHER TANNING & WORKING MACHINE","$14,640.00","1"
"2005","3650","CHEMICAL & PHARMACEUTICAL MACHINE","$2,837,704.82","423"
"2005","3655","GAS GENERATING & DISPENSING SYSTEM","$24,214,360.68","200"
"2005","3660","INDUSTRIAL SIZE REDUCTION MACHINERY","$763,316.99","34"
"2005","3670","PRINTED CIRCUIT BOARD MFG MACH","$22,649,264.67","48"
"2005","3680","FOUNDRY MACHINE - RELATED EQ & SUP","$2,244,180.04","29"
"2005","3685","SPECIAL METAL CONTAINER MFG MACH","$2,857,562.42","122"
"2005","3690","SPECIAL AMMUNITION & ORDNANCE MACH","$118,896,341.78","111"
"2005","3693","INDUSTRIAL ASSEMBLY MACHINES","$7,066,134.59","96"
"2005","3694","CLEAN WORK STATIONS ENVIRONMENT EQ","$4,658,476.80","91"
"2005","3695","MISC SPECIAL INDUSTRY MACHINE","$45,092,342.88","1,228"
"2005","3710","SOIL PREPARATION EQUIPMENT","$2,374,241.42","153"
"2005","3720","HARVESTING EQUIPMENT","$2,899,099.55","76"
"2005","3730","DAIRY POULTRY & LIVESTOCK EQ","$860,124.71","54"
"2005","3740","PEST DISEASE & FROST CONT EQ","$8,849,923.13","190"
"2005","3750","GARDENING IMPLEMENTS AND TOOLS","$7,506,113.45","3,237"
"2005","3760","ANIMAL DRAWN VEHICLE & FARM TRAILER","$128,354.00","3"
"2005","3770","SADDLERY,HARNESS,WHIPS & FURNISHING","$905,226.50","34"
"2005","3805","EARTH MOVING & EXCAVATING EQ","$196,459,613.37","1,095"
"2005","3810","CRANES AND CRANE-SHOVELS","$53,342,806.89","311"
"2005","3815","CRANE AND CRANE-SHOVEL ATTACHMENTS","$5,314,456.70","82"
"2005","3820","MINING,ROCK DRILLING,EARTH BORE EQ","$10,543,389.05","265"
"2005","3825","ROAD CLEARING & CLEANING EQ","$21,357,929.44","335"
"2005","3830","TRUCK AND TRACTOR ATTACHMENTS","$17,064,997.03","410"
"2005","3835","PETROLEUM PRODUCTION-DISTRIB EQ","$10,097,955.03","261"
"2005","3895","MISC CONTRUCT EQ","$92,756,738.56","778"
"2005","3910","CONVEYORS","$9,827,715.54","144"
"2005","3915","MATERIALS FEEDERS","$906,746.28","37"
"2005","3920","MAT HANDLING EQ - NONSELF-PROPELLED","$19,135,533.91","592"
"2005","3930","WAREHOUSE TRKS & TRACTORS SELF-PROP","$219,093,397.04","1,491"
"2005","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS","$10,698,032.24","415"
"2005","3950","WINCHES HOISTS CRANES & DERRICKS","$23,874,047.75","650"
"2005","3960","FREIGHT ELEVATORS","$5,287,201.52","136"
"2005","3990","MISC MATERIALS HANDLING EQ","$92,104,360.30","1,713"
"2005","4010","CHAIN AND WIRE ROPE","$24,174,630.41","1,401"
"2005","4020","FIBER ROPE, CORDAGE, AND TWINE","$15,287,898.81","1,117"
"2005","4030","FITTINGS FOR ROPE, CABLE, AND CHAIN","$14,468,180.09","577"
"2005","4110","REFRIGERATION EQUIPMENT","$90,231,853.13","3,329"
"2005","4120","AIR CONDITIONING EQUIPMENT","$86,436,706.40","1,684"
"2005","4130","REFRIGERATION & AIR CONDITION COMP","$45,279,434.98","1,404"
"2005","4140","FANS AIR CIRCULATORS & BLOWER EQ","$229,295,297.64","1,801"
"2005","4150","VORTEX TUBES AND REL. COOLING TUBES","$159,342.00","11"
"2005","4210","FIRE FIGHTING EQUIPMENT","$287,898,616.26","8,486"
"2005","4220","MARINE LIFESAVING & DIVING EQ","$151,174,036.60","3,676"
"2005","4230","DECONTAMINATING & IMPREGNATING EQ","$9,028,188.51","102"
"2005","4235","Haz. Mat. Spill Cntnmnt. & Clean-up","$22,735,501.81","514"
"2005","4240","SAFETY AND RESCUE EQUIPMENT","$194,066,602.39","4,066"
"2005","4250","RECYCLING AND RECLAMATION EQUIPMENT","$2,129,571.48","182"
"2005","4310","COMPRESSORS AND VACUUM PUMPS","$38,316,178.78","1,655"
"2005","4320","POWER AND HAND PUMPS","$154,021,521.91","4,757"
"2005","4330","CENTRIFUGALS SEPARATORS & FILTERS","$37,071,248.72","1,806"
"2005","4410","INDUSTRIAL BOILERS","$4,206,604.91","165"
"2005","4420","HEAT EXCHANGERS & STEAM CONDENSERS","$134,506,950.50","1,563"
"2005","4430","INDUSTRIAL FURNACES,KILNS & OVENS","$3,571,718.76","112"
"2005","4440","DRIERS DEHYDRATORS & ANHYDRATORS","$8,039,712.67","233"
"2005","4460","AIR PURIFICATION EQUIPMENT","$10,643,432.13","367"
"2005","4470","NUCLEAR REACTORS","$589,907,057.00","430"
"2005","4510","PLUMBING FIXTURES AND ACCESSORIES","$25,589,399.18","4,156"
"2005","4520","SPACE AND WATER HEATING EQUIPMENT","$48,043,435.60","944"
"2005","4530","FUEL BURNING EQUIPMENT UNITS","$2,614,163.50","154"
"2005","4540","WASTE DISPOSAL EQUIPMENT","$24,010,748.71","712"
"2005","4610","WATER PURIFICATION EQUIPMENT","$128,769,837.10","817"
"2005","4620","WATER DISTILL EQ-MARINE & INDUST","$3,627,361.40","120"
"2005","4630","SEWAGE TREATMENT EQUIPMENT","$29,952,993.05","204"
"2005","4710","PIPE, TUBE AND RIGID TUBING","$69,706,844.31","3,731"
"2005","4720","HOSE AND FLEXIBLE TUBING","$55,617,793.11","4,755"
"2005","4730","FITTINGS - HOSE PIPE & TUBE","$125,815,096.94","12,533"
"2005","4810","VALVES, POWERED","$128,384,054.41","3,489"
"2005","4820","VALVES, NONPOWERED","$144,694,502.69","8,950"
"2005","4910","MOTOR VEHICLE MAINT EQ","$82,054,703.80","2,531"
"2005","4920","AIRCRAFT MAINT & REP SHOP EQ","$469,129,804.76","2,439"
"2005","4921","TORPEDO MAINT REP & CHECKOUT EQ","$454,995.34","32"
"2005","4923","DEPTH CHARGES-MINES MAINT & REP EQ","$459,659.00","3"
"2005","4925","AMMUNITION MAINT - CHECKOUT EQ","$3,085,235.00","44"
"2005","4927","ROCKET MAINT & REP EQ","$767,370.25","28"
"2005","4930","LUBRICATION & FUEL DISPENSING EQ","$55,911,643.35","1,253"
"2005","4931","FIRE CONT MAINT EQ","$8,071,969.34","133"
"2005","4933","WEAPONS MAINT EQ","$157,907,522.95","242"
"2005","4935","GUIDED MISSILE MAINT EQ","$15,171,438.00","161"
"2005","4940","MISC MAINT EQ","$104,702,843.06","2,163"
"2005","4960","SPACE VEHICLE MAINT EQ","$8,354,986.75","5"
"2005","4970","MULTI GUIDED WEAPON/SPEC MAINT EQ","$110,576.00","5"
"2005","5110","HAND TOOLS, EDGED, NONPOWERED","$27,260,238.29","18,748"
"2005","5120","HAND TOOLS, NONEDGED, NONPOWERED","$124,469,510.03","240,245"
"2005","5130","HAND TOOLS, POWER DRIVEN","$28,652,446.04","11,915"
"2005","5133","DRILL BITS,COUNTERBORES & SINKS","$2,167,354.52","7,984"
"2005","5136","TAPS,DIES & COLLETS-HAND & MACHINE","$1,276,024.83","4,708"
"2005","5140","TOOL AND HARDWARE BOXES","$16,023,454.06","5,220"
"2005","5180","SETS KITS & OUTFITS OF HAND TOOLS","$82,552,537.40","4,324"
"2005","5210","MEASURING TOOLS, CRAFTSMEN'S","$7,435,641.71","6,055"
"2005","5220","GAGES & PRECISION LAYOUT TOOL","$4,543,689.75","262"
"2005","5280","SETS, KITS & OUTFITS OF MEASURING T","$4,985,845.42","119"
"2005","5305","SCREWS","$61,028,976.57","8,026"
"2005","5306","BOLTS","$57,326,464.49","5,536"
"2005","5307","STUDS","$6,183,803.63","860"
"2005","5310","NUTS AND WASHERS","$80,479,488.35","8,027"
"2005","5315","NAILS, MACHINE KEYS, AND PINS","$55,166,371.10","4,543"
"2005","5320","RIVETS","$177,809,847.00","4,190"
"2005","5325","FASTENING DEVICES","$19,869,592.12","1,888"
"2005","5330","PACKING AND GASKET MATERIALS","$120,961,380.51","7,619"
"2005","5331","O-RING","$28,798,618.65","1,230"
"2005","5335","METAL SCREENING","$4,321,637.70","152"
"2005","5340","HARDWARE","$411,774,420.35","14,219"
"2005","5341","BRACKETS","$881,654.85","64"
"2005","5342","HARDWARE, WEAPON SYSTEM","$43,044,728.35","2,699"
"2005","5345","DISKS AND STONES, ABRASIVE","$3,488,942.40","7,899"
"2005","5350","ABRASIVE MATERIALS","$14,282,881.07","7,145"
"2005","5355","KNOBS AND POINTERS","$7,319,681.00","812"
"2005","5360","COIL, FLAT, LEAF, AND WIRE SPRINGS","$20,753,623.49","1,003"
"2005","5365","BUSHINGS, RINGS, SHIMS AND SPACERS","$42,766,550.54","4,275"
"2005","5410","PREFABRICATED & PORTABLE BUILDINGS","$249,821,556.62","1,504"
"2005","5411","RIGID WALL SHELTERS","$25,989,633.90","119"
"2005","5419","COLLECTIVE MODULAR SUPPORT SYSTEM","$11,304,722.74","70"
"2005","5420","BRIDGES, FIXED AND FLOATING","$49,725,023.33","154"
"2005","5430","STORAGE TANKS","$46,617,907.38","389"
"2005","5440","SCAFFOLDING EQ & CONCRETE FORMS","$6,560,320.58","523"
