ActorText,UCDPactorID,GeographicISOalpha3,NonStateActor
Government of Mexico,10,MEX,FALSE
Government of Moldova,55,MDA,FALSE
Government of Morocco,108,MAR,FALSE
Government of Mozambique,100,MOZ,FALSE
Government of Nepal,146,NPL,FALSE
Government of Netherlands,30,NLD,FALSE
Government of Nicaragua,14,NIC,FALSE
Government of Niger,75,NER,FALSE
Government of Nigeria,84,NGA,FALSE
Government of Oman,129,OMN,FALSE
Government of Pakistan,142,PAK,FALSE
Government of Panama,16,PAN,FALSE
Government of Papua New Guinea,157,PNG,FALSE
Government of Paraguay,24,PRY,FALSE
Government of Peru,21,PER,FALSE
Government of Philippines,154,PHL,FALSE
Government of Portugal,36,PRT,FALSE
Government of Rhodesia,101,ZWE,FALSE
Government of Russia (Soviet Union),57,RUS,FALSE
Government of Rwanda,94,RWA,FALSE
Government of Saudi Arabia,122,SAU,FALSE
Government of Senegal,73,SEN,FALSE
Government of Serbia (Yugoslavia),49,SRB,FALSE
Government of Sierra Leone,80,SLE,FALSE
Government of Solomon Islands,4499,SLB,FALSE
Government of Somalia,95,SOM,FALSE
Government of South Africa,102,ZAF,FALSE
Government of South Sudan,113,SSD,FALSE
Government of Soviet Union,57,RUS,FALSE
Government of Spain,35,ESP,FALSE
Government of Sri Lanka,145,LKA,FALSE
Government of Sudan,112,SDN,FALSE
Government of Suriname,19,SUR,FALSE
Government of Syria,118,SYR,FALSE
Government of Tajikistan,131,TJK,FALSE
Government of Tanzania,92,TZA,FALSE
Government of Thailand,147,THA,FALSE
Government of Togo,82,TGO,FALSE
Government of Trinidad and Tobago,8,TTO,FALSE
Government of Tunisia,110,TUN,FALSE
Government of Turkey,115,TUR,FALSE
Government of Uganda,90,UGA,FALSE
Government of Ukraine,61,UKR,FALSE
Government of United Kingdom,28,GBR,FALSE
Government of United States of America,3,USA,FALSE
Government of Uruguay,27,URY,FALSE
Government of Uzbekistan,133,UZB,FALSE
Government of Venezuela,18,VEN,FALSE
Government of Yugoslavia,49,SRB,FALSE
Government of Zambia,3986,ZMB,FALSE
Government of Zimbabwe (Rhodesia),101,ZWE,FALSE
Greece,52,GRC,FALSE
Grenada,9,GRD,FALSE
Guatemala,11,GTM,FALSE
Guinea,77,GIN,FALSE
Guinea-Bissau,70,GNB,FALSE
GUNT (Chad)*,NULL,TCD,TRUE
Guyana,NULL,GUY,FALSE
Haiti,6,HTI,FALSE
Haiti rebels*,NULL,HTI,TRUE
Hamas (Palestine)*,NULL,PSE,TRUE
Hezbollah (Lebanon)*,NULL,LBN,TRUE
Honduras,12,HND,FALSE
Hungary,40,HUN,FALSE
Huthi rebels (Yemen)*,NULL,YEM,TRUE
Houthi rebels (Yemen)*,NULL,YEM,TRUE
Iceland,NULL,ISL,FALSE
India,141,IND,FALSE
Indonesia,155,IDN,FALSE
Indonesia rebels*,NULL,IDN,TRUE
Iran,114,IRN,FALSE
Iraq,116,IRQ,FALSE
Ireland,NULL,IRL,FALSE
Israel,121,ISR,FALSE
Italy,NULL,ITA,FALSE
Jamaica,NULL,JAM,FALSE
Japan,NULL,JPN,FALSE
Jordan,120,JOR,FALSE
Katanga,NULL,*KA,FALSE
Kazakhstan,134,KAZ,FALSE
Kenya,91,KEN,FALSE
Khmer Rouge (Cambodia)*,NULL,KHM,TRUE
Kiribati,NULL,KIR,FALSE
Kosovo,NULL,*KS,FALSE
Kuwait,125,KWT,FALSE
Kyrgyzstan,132,KGZ,FALSE
Laos,149,LAO,FALSE
Latvia,NULL,LVA,FALSE
Lebanon,119,LBN,FALSE
Lebanon Palestinian rebels*,NULL,LBN,TRUE
Lesotho,104,LSO,FALSE
LF (Lebanon)*,NULL,LBN,TRUE
Liberia,79,LBR,FALSE
Libya,111,LBY,FALSE
Libya HoR*,NULL,LBY,TRUE
Libya GNC,NULL,LBY,TRUE
Libya HoR,NULL,LBY,TRUE
Lithuania,NULL,LTU,FALSE
LRA (Uganda)*,NULL,UGA,TRUE
LTTE (Sri Lanka)*,NULL,LKA,TRUE
Luxembourg,NULL,LUX,FALSE
Macedonia (FYROM),NULL,MKD,FALSE
North Macedonia,NULL,MKD,FALSE
Madagascar,106,MDG,FALSE
Malawi,3912,MWI,FALSE
Malaysia,152,MYS,FALSE
Maldives,NULL,MDV,FALSE
Mali,72,MLI,FALSE
Malta,NULL,MLT,FALSE
Marshall Islands,NULL,MHL,FALSE
Mauritania,74,MRT,FALSE
Mauritius,NULL,MUS,FALSE
Mexico,10,MEX,FALSE
Micronesia,NULL,FSM,FALSE
MNLF (Philippines)*,NULL,PHL,TRUE
Moldova,55,MDA,FALSE
Mongolia,NULL,MNG,FALSE
Montenegro,NULL,MNE,FALSE
Morocco,108,MAR,FALSE
Mozambique,100,MOZ,FALSE
MPLA (Portugal)*,NULL,AGO,TRUE
MTA (Myanmar)*,NULL,MMR,TRUE
Mujahedin (Afghanistan)*,NULL,AFG,TRUE
Myanmar,NULL,MMR,FALSE
Namibia,NULL,NAM,FALSE
NATO**,NULL,*EE,TRUE
Nepal,146,NPL,FALSE
Netherlands,30,NLD,FALSE
New Zealand,NULL,NZL,FALSE
Nicaragua,14,NIC,FALSE
Niger,75,NER,FALSE
Nigeria,84,NGA,FALSE
NLA (Macedonia)*,NULL,MKD,TRUE
North Korea,138,PRK,FALSE
North Yemen,123,YEM,FALSE
Northern Alliance (Afghanistan)*,NULL,AFG,TRUE
Northern Cyprus,NULL,CYP,FALSE
Norway,NULL,NOR,FALSE
NTC (Libya)*,NULL,LBY,TRUE
Oman,129,OMN,FALSE
OSCE**,NULL,*EE,TRUE
PAIGC (Portugal)*,NULL,GNB,TRUE
Pakistan,142,PAK,FALSE
Palau,NULL,PLW,FALSE
Palestine,NULL,PSE,FALSE
Panama,16,PAN,FALSE
Papua New Guinea,157,PNG,FALSE
Paraguay,24,PRY,FALSE
Pathet Lao (Laos)*,NULL,LAO,TRUE
Peru,21,PER,FALSE
Philippines,154,PHL,FALSE
PIJ (Israel/Palestine)*,NULL,PSE,TRUE
PKK (Turkey)*,NULL,TUR,TRUE
PLO (Israel)*,NULL,PSE,TRUE
Poland,NULL,POL,FALSE
Portugal,36,PRT,FALSE
PRC (Israel/Palestine)*,NULL,PSE,TRUE
Provisional IRA (UK)*,NULL,GBR,TRUE
Qatar,NULL,QAT,FALSE
Regional Security System**,NULL,*CB,TRUE
Republic of Armenia,330,ARM,FALSE
Republic of Azerbaijan,165,AZE,FALSE
Republic of Croatia,337,HRV,FALSE
Republic of Georgia,843,GEO,FALSE
Republic of Slovenia,336,SVN,FALSE
Republic of South Sudan,1129,SSD,FALSE
Romania,NULL,ROU,FALSE
RPF (Rwanda)*,NULL,RWA,TRUE
RUF (Sierra Leone)*,NULL,SLE,TRUE
Russia,57,RUS,FALSE
Rwanda,94,RWA,FALSE
Saint Kitts and Nevis,NULL,KNA,FALSE
Saint Vincent,NULL,VCT,FALSE
Samoa,NULL,WSM,FALSE
Saudi Arabia,122,SAU,FALSE
Senegal,73,SEN,FALSE
Serbia,49,SRB,FALSE
Seychelles,NULL,SYC,FALSE
Sierra Leone,80,SLE,FALSE
Singapore,NULL,SGP,FALSE
SLA (Lebanon)*,NULL,LBN,TRUE
Slovakia,NULL,SVK,FALSE
Slovenia,NULL,SVN,FALSE
SNA (Somalia)*,NULL,SOM,TRUE
Solomon Islands,4499,SLB,FALSE
Somalia,95,SOM,FALSE
South Africa,102,ZAF,FALSE
South Korea,139,KOR,FALSE
South Sudan,113,SSD,FALSE
South Vietnam,151,YEM,FALSE
South Yemen,124,YMD,FALSE
Southern rebels (Yemen)*,NULL,YEM,TRUE
Soviet Union,57,RUS,FALSE
Spain,35,ESP,FALSE
SPLA (Sudan)*,NULL,SSD,TRUE
Sri Lanka,145,LKA,FALSE
Sudan,112,SDN,FALSE
Suriname,19,SUR,FALSE
Swaziland,NULL,SWZ,FALSE
Sweden,NULL,SWE,FALSE
Switzerland,NULL,CHE,FALSE
Syria,118,SYR,FALSE
Syria rebels*,NULL,SYR,TRUE
Taiwan,137,TWN,FALSE
Taiwan (ROC),NULL,TWN,FALSE
Tajikistan,131,TJK,FALSE
Tanzania,92,TZA,FALSE
Thailand,147,THA,FALSE
Timor-Leste,NULL,TLS,FALSE
Togo,82,TGO,FALSE
Tonga,NULL,TON,FALSE
Trinidad and Tobago,8,TTO,FALSE
Tunisia,110,TUN,FALSE
Turkey,115,TUR,FALSE
Turkiye,115,TUR,FALSE
Turkmenistan,NULL,TKM,FALSE
Tuvalu,NULL,TUV,FALSE
UAE,NULL,ARE,FALSE
Uganda,90,UGA,FALSE
UIC (Somalia)*,NULL,SOM,TRUE
Ukraine,61,UKR,FALSE
Ukraine Rebels*,NULL,UKR,TRUE
UNITA (Angola)*,NULL,AGO,TRUE
United Kingdom,28,GBR,FALSE
United Nations**,NULL,*WO,TRUE
United States,3,USA,FALSE
United Wa State (Myanmar)*,NULL,MMR,TRUE
Unknown rebel group*,NULL,?WO,TRUE
Unknown recipient(s),NULL,?WO,NULL
Unknown supplier(s),NULL,?WO,NULL
Uruguay,27,URY,FALSE
Uzbekistan,133,UZB,FALSE
Vanuatu,NULL,VUT,FALSE
Venezuela,18,VEN,FALSE
Viet Cong (South Vietnam)*,NULL,YEM,TRUE
Viet Minh (France)*,NULL,VNM,TRUE
Viet Nam,NULL,VNM,FALSE
Western Sahara,NULL,ESH,FALSE
Yemen,NULL,YEM,FALSE
Yugoslavia,49,YUG,FALSE
Zambia,3986,ZMB,FALSE
ZAPU (Zimbabwe)*,NULL,ZWE,TRUE
Zimbabwe,101,ZWE,FALSE
Darfur rebels (Sudan)*,NULL,SDN,TRUE
eSwatini,NULL,SWZ,FALSE
