TreasuryAgencyCode,Notes,GWAagencyName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,a,Acct_Type,Admin_Bureau,MinOfBPOA,MaxOfEPOA,Fund_Type,SP,ATA,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,topFundingAgencyIDtotalamount,totalFPDSandFAADSamount,IsManualOverride
17,NULL,NULL,1700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2021,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,199208795648.0844,199214934733.0844,0
18,NULL,U. S. POSTAL SERVICE,1800,NULL,440,00,372,NULL,NULL,NULL,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,2343095.1200,3820411.3500,0
19,NULL,NULL,1900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,47973618098.0334,48211817489.7434,0
20,NULL,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,22998480948.7871,23839270943.3385,0
21,NULL,NULL,2100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,243497734884.3548,243538859945.8957,0
22,NULL,NULL,NULL,NULL,448,00,373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,255538.7000,303813.3000,0
23,NULL,U. S. TAX COURT,2300,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,2017003.9600,2251594.7200,0
24,NULL,NULL,2400,NULL,NULL,00,NULL,NULL,NULL,NULL,0,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,3606348348.7096,3606502351.7096,0
25,NULL,NATIONAL CREDIT UNION ADMINISTRATION,2500,NULL,415,00,373,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1739204.2100,3533801.1300,0
26,NULL,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,1631,NULL,369,00,602,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,504620.0000,547420.0000,0
27,NULL,FEDERAL COMMUNICATIONS COMMISSION,2700,NULL,NULL,00,NULL,NULL,NULL,0,0,2014,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,471254978.4701,472087715.3701,0
28,NULL,SOCIAL SECURITY ADMINISTRATION,2800,NULL,NULL,00,NULL,NULL,NULL,0,0,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,5152945441.3200,5155939271.6000,0
29,NULL,FEDERAL TRADE COMMISSION,2900,2900,370,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,193853776.7500,194378705.9000,0
30,NULL,INTERSTATE COMMERCE COMMISSION,3000,NULL,379,00,401,,URCPT,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,50739.4800,63971.5900,0
31,NULL,NUCLEAR REGULATORY COMMISSION,3100,NULL,429,00,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,695983410.2000,696612477.7800,0
32,NULL,NULL,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,32625.0000,32625.0000,0
33,NULL,SMITHSONIAN INSTITUTION,3300,NULL,NULL,00,NULL,NULL,NULL,NULL,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1312003336.6199,1312003336.6199,0
34,NULL,INTERNATIONAL TRADE COMMISSION,3400,NULL,378,00,153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,42740416.4502,42750713.3502,0
35,NULL,NULL,1323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,1272125.2000,1375893.9300,0
36,NULL,NULL,3600,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,61356072627.8610,61370969885.1210,0
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,29779.7200,55219.5800,0
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,75804.5700,117667.0700,0
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,83306.2200,102771.0200,0
40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,350000.0000,664172.0000,0
41,NULL,NULL,4100,NULL,389,00,805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,15239860.7000,15495698.9900,0
42,NULL,PENNSYLVANIA AVENUE DEVELOPMENT CORPORATION,4740,NULL,NULL,NULL,NULL,F,CXPND,0,0,0,CF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,310045.2900,327846.8500,0
43,NULL,NULL,4740,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,222332.1800,222332.1800,0
44,NULL,NULL,4400,NULL,301,00,506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,9770.0000,14770.0000,0
45,NULL,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,4500,NULL,350,00,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,170330915.3500,200320910.0495,0
46,NULL,NULL,4602,NULL,NULL,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,117996062.0000,118125093.0000,0
47,NULL,NULL,4700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2016,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,19344975322.5081,20727149205.3981,0
48,NULL,NULL,4800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,5082648.1600,8802534.5000,0
49,NULL,NATIONAL SCIENCE FOUNDATION,4900,4900,422,00,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,30729525842.3879,30731679099.3879,0
50,NULL,SECURITIES & EXCHANGE COMMISSION,5000,NULL,449,00,NULL,NULL,NULL,0,0,2010,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,955128250.4802,955442516.0102,0
51,NULL,FEDERAL DEPOSIT INSURANCE CORPORATION,1540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,772299.7500,558541.9200,0
52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1013462.0000,2075977.6800,0
53,NULL,NULL,1448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,412953.8900,412953.8900,0
54,NULL,FEDERAL LABOR RELATIONS AUTHORITY,5400,NULL,365,00,805,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,3564589.1700,4542428.8900,0
55,NULL,NULL,5500,NULL,304,00,808,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,286490.8700,493871.3600,0
56,NULL,CENTRAL INTELLIGENCE AGENCY,5600,NULL,316,00,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-21 14:20:23.9130000,CSIS\GSanders,2953175.1100,2969745.1100,0
57,NULL,NULL,5700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,161349983690.2244,161469883281.8714,0
58,NULL,NULL,5800,NULL,024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,128417.0000,180847.5000,0
59,NULL,NULL,5900,NULL,NULL,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,2374132901.6500,2380131358.5800,0
60,NULL,RAILROAD RETIREMENT BOARD,6000,NULL,NULL,00,NULL,NULL,NULL,0,0,2015,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,65756825.1700,66482553.1800,0
61,NULL,CONSUMER PRODUCT SAFETY COMMISSION,6100,NULL,343,00,554,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,109376950.3100,111968383.6900,0
62,NULL,OFFICE OF SPECIAL COUNSEL,6201,NULL,436,00,805,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,2211351.6400,2215802.0400,0
63,NULL,NULL,6300,NULL,420,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,66583677.4200,66756502.4200,0
64,NULL,NULL,6400,NULL,455,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,4195835.0000,4319243.1400,0
65,NULL,FEDERAL MARITIME COMMISSION,6500,NULL,366,00,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,3523643.9200,4961189.5900,0
67,Unlisted on OMB Agency/Bureau and Treasury Code,NULL,6700,NULL,014,NULL,154,NULL,EXPND,0,0,2010,GF,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
68,NULL,NULL,6800,6800,NULL,00,NULL,NULL,NULL,NULL,0,2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,21758641959.9412,21768269285.5612,0
69,NULL,NULL,6900,6900,NULL,NULL,NULL,NULL,NULL,NULL,0,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 18:26:41.4300000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,278030080745.9812,278119103411.8612,0
70,NULL,NULL,7000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 14:13:56.4970000,CSIS\GSanders,78982051080.9463,85247893073.0709,0
71,NULL,OVERSEAS PRIVATE INVESTMENT CORPORATION,7100,7100,184,20,NULL,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,36893042.2300,36893042.2300,0
72,NULL,NULL,7200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2017,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,29540190873.1000,29542542409.2300,0
73,NULL,SMALL BUSINESS ADMINISTRATION,7300,NULL,NULL,00,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,1071309646.6212,1071398231.8812,0
74,NULL,AMERICAN BATTLE MONUMENTS COMMISSION,7400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1446643.9800,1721643.2200,0
75,NULL,NULL,7500,7500,NULL,NULL,NULL,NULL,NULL,NULL,0,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,2162422253625.0827,2182997227888.8957,0
76,NULL,NULL,12K3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,15004.8100,15004.8100,0
77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,2200000.0000,2324640.0000,0
78,NULL,NULL,NULL,NULL,NULL,00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,100000.0000,99976.0400,0
79,NULL,NULL,12K3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,334900.0000,334900.0000,0
80,NULL,NATIONAL AERONAUTICS & SPACE ADMINISTRATION,8000,NULL,NULL,00,NULL,NULL,NULL,0,0,2019,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-02 18:20:46.3430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,54026103738.7915,54074249887.6915,0
81,NULL,COMMUNITY SERVICES ADMINISTRATION,NULL,NULL,341,00,506,,URCPT,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
82,NULL,FEDERAL HOME LOAD BANK BOARD,8200,NULL,NULL,00,NULL,F,CXPND,0,0,0,CF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1775538.2400,2985565.4400,0
83,NULL,EXPORT-IMPORT BANK OF THE U. S.,8300,8300,351,00,NULL,NULL,NULL,0,0,2017,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,3310.8200,-68372.8300,0
84,NULL,ARMED FORCES RETIREMENT HOME,84AF,NULL,200,20,602,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,108905148.9697,108933948.9697,0
85,NULL,WATER RESOURCES COUNCIL,12K3,NULL,464,00,301,,URCPT,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 20:07:38.0100000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,833734.2200,843162.2200,0
