Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
112320: BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,112320,BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION,NULL,NULL,NULL,NULL,NULL
112330: TURKEY PRODUCTION,112330,TURKEY PRODUCTION,NULL,NULL,NULL,NULL,NULL
112340: POULTRY HATCHERIES,112340,POULTRY HATCHERIES,NULL,NULL,NULL,NULL,NULL
112390: OTHER POULTRY PRODUCTION,112390,OTHER POULTRY PRODUCTION,NULL,NULL,NULL,NULL,NULL
112410: SHEEP FARMING,112410,SHEEP FARMING,NULL,NULL,NULL,NULL,NULL
112420: GOAT FARMING,112420,GOAT FARMING,NULL,NULL,NULL,NULL,NULL
11251: AQUACULTURE,11251,AQUACULTURE,NULL,NULL,NULL,NULL,NULL
112511: FINFISH FARMING AND FISH HATCHERIES,112511,FINFISH FARMING AND FISH HATCHERIES,NULL,NULL,NULL,NULL,NULL
112512: SHELLFISH FARMING,112512,SHELLFISH FARMING,NULL,NULL,NULL,NULL,NULL
"112519: OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",112519,"OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",NULL,NULL,NULL,NULL,NULL
112910: APICULTURE,112910,APICULTURE,NULL,NULL,NULL,NULL,NULL
112920: HORSES AND OTHER EQUINE PRODUCTION,112920,HORSES AND OTHER EQUINE PRODUCTION,NULL,NULL,NULL,NULL,NULL
112930: FUR-BEARING ANIMAL AND RABBIT PRODUCTION,112930,FUR-BEARING ANIMAL AND RABBIT PRODUCTION,NULL,NULL,NULL,NULL,NULL
112990: ALL OTHER ANIMAL PRODUCTION,112990,ALL OTHER ANIMAL PRODUCTION,11,112,Primary Industry (including Agriculture and Fisheries),0,0
113110: TIMBER TRACT OPERATIONS,113110,TIMBER TRACT OPERATIONS,NULL,NULL,NULL,NULL,NULL
11321: FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,11321,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,NULL,NULL,NULL,NULL,NULL
113210: FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,113210,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,11,113,Primary Industry (including Agriculture and Fisheries),0,0
113310: LOGGING,113310,LOGGING,NULL,NULL,NULL,NULL,NULL
114111: FINFISH FISHING,114111,FINFISH FISHING,NULL,NULL,NULL,NULL,NULL
114112: SHELLFISH FISHING,114112,SHELLFISH FISHING,NULL,NULL,NULL,NULL,NULL
114119: OTHER MARINE FISHING,114119,OTHER MARINE FISHING,NULL,NULL,NULL,NULL,NULL
114210: HUNTING AND TRAPPING,114210,HUNTING AND TRAPPING,NULL,NULL,NULL,NULL,NULL
11511: SUPPORT ACTIVITIES FOR CROP PRODUCTION,11511,SUPPORT ACTIVITIES FOR CROP PRODUCTION,NULL,NULL,NULL,NULL,NULL
115111: COTTON GINNING,115111,COTTON GINNING,NULL,NULL,NULL,NULL,NULL
"115112: SOIL PREPARATION, PLANTING, AND CULTIVATING",115112,"SOIL PREPARATION, PLANTING, AND CULTIVATING",11,115,Primary Industry (including Agriculture and Fisheries),0,0
"115113: CROP HARVESTING, PRIMARILY BY MACHINE",115113,"CROP HARVESTING, PRIMARILY BY MACHINE",NULL,NULL,NULL,NULL,NULL
115114: POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),115114,POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),NULL,NULL,NULL,NULL,NULL
115115: FARM LABOR CONTRACTORS AND CREW LEADERS,115115,FARM LABOR CONTRACTORS AND CREW LEADERS,11,115,Primary Industry (including Agriculture and Fisheries),0,0
115116: FARM MANAGEMENT SERVICES,115116,FARM MANAGEMENT SERVICES,11,115,Primary Industry (including Agriculture and Fisheries),0,0
11521: SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,11521,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,NULL,NULL,NULL,NULL,NULL
115210: SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,115210,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,NULL,NULL,NULL,NULL,NULL
11531: SUPPORT ACTIVITIES FOR FORESTRY,11531,SUPPORT ACTIVITIES FOR FORESTRY,NULL,NULL,NULL,NULL,NULL
115310: SUPPORT ACTIVITIES FOR FORESTRY,115310,SUPPORT ACTIVITIES FOR FORESTRY,11,115,Primary Industry (including Agriculture and Fisheries),0,0
211111: CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,NULL,NULL,NULL,NULL,NULL
211112: NATURAL GAS LIQUID EXTRACTION,211112,NATURAL GAS LIQUID EXTRACTION,21,211,"Oil, Coal, Fuel and Natural Gas",1,0
212111: BITUMINOUS COAL AND LIGNITE SURFACE MINING,212111,BITUMINOUS COAL AND LIGNITE SURFACE MINING,NULL,NULL,NULL,NULL,NULL
212112: BITUMINOUS COAL UNDERGROUND MINING,212112,BITUMINOUS COAL UNDERGROUND MINING,NULL,NULL,NULL,NULL,NULL
212113: ANTHRACITE MINING,212113,ANTHRACITE MINING,NULL,NULL,NULL,NULL,NULL
212210: IRON ORE MINING,212210,IRON ORE MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212221: GOLD ORE MINING,212221,GOLD ORE MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212222: SILVER ORE MINING,212222,SILVER ORE MINING,NULL,NULL,NULL,NULL,NULL
212231: LEAD ORE AND ZINC ORE MINING,212231,LEAD ORE AND ZINC ORE MINING,NULL,NULL,NULL,NULL,NULL
212234: COPPER ORE AND NICKEL ORE MINING,212234,COPPER ORE AND NICKEL ORE MINING,NULL,NULL,NULL,NULL,NULL
212291: URANIUM-RADIUM-VANADIUM ORE MINING,212291,URANIUM-RADIUM-VANADIUM ORE MINING,NULL,NULL,NULL,NULL,NULL
212299: ALL OTHER METAL ORE MINING,212299,ALL OTHER METAL ORE MINING,NULL,NULL,NULL,NULL,NULL
212311: DIMENSION STONE MINING AND QUARRYING,212311,DIMENSION STONE MINING AND QUARRYING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212312: CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212313: CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212319: OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212321: CONSTRUCTION SAND AND GRAVEL MINING,212321,CONSTRUCTION SAND AND GRAVEL MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212322: INDUSTRIAL SAND MINING,212322,INDUSTRIAL SAND MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212324: KAOLIN AND BALL CLAY MINING,212324,KAOLIN AND BALL CLAY MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212325: CLAY AND CERAMIC AND REFRACTORY MINERALS MINING,212325,CLAY AND CERAMIC AND REFRACTORY MINERALS MINING,NULL,NULL,NULL,NULL,NULL
"212391: POTASH, SODA, AND BORATE MINERAL MINING",212391,"POTASH, SODA, AND BORATE MINERAL MINING",NULL,NULL,NULL,NULL,NULL
212392: PHOSPHATE ROCK MINING,212392,PHOSPHATE ROCK MINING,NULL,NULL,NULL,NULL,NULL
212393: OTHER CHEMICAL AND FERTILIZER MINERAL MINING,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
212399: ALL OTHER NONMETALLIC MINERAL MINING,212399,ALL OTHER NONMETALLIC MINERAL MINING,21,212,Primary Industry (including Agriculture and Fisheries),1,0
213111: DRILLING OIL AND GAS WELLS,213111,DRILLING OIL AND GAS WELLS,21,213,Primary Industry (including Agriculture and Fisheries),1,0
213112: SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,21,213,Primary Industry (including Agriculture and Fisheries),1,0
213113: SUPPORT ACTIVITIES FOR COAL MINING,213113,SUPPORT ACTIVITIES FOR COAL MINING,21,213,Primary Industry (including Agriculture and Fisheries),1,0
213114: SUPPORT ACTIVITIES FOR METAL MINING,213114,SUPPORT ACTIVITIES FOR METAL MINING,NULL,NULL,NULL,NULL,NULL
213115: SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NULL,NULL,NULL,NULL,NULL
221: UTILITIES,221,UTILITIES,NULL,NULL,NULL,NULL,NULL
"2211: ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION",2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION",NULL,NULL,NULL,NULL,NULL
22111: ELECTRIC POWER GENERATION,22111,ELECTRIC POWER GENERATION,NULL,NULL,NULL,NULL,NULL
221111: HYDROELECTRIC POWER GENERATION,221111,HYDROELECTRIC POWER GENERATION,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
221112: FOSSIL FUEL ELECTRIC POWER GENERATION,221112,FOSSIL FUEL ELECTRIC POWER GENERATION,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
221113: NUCLEAR ELECTRIC POWER GENERATION,221113,NUCLEAR ELECTRIC POWER GENERATION,NULL,NULL,NULL,NULL,NULL
NULL,221114,NULL,NULL,NULL,NULL,NULL,NULL
NULL,221115,NULL,NULL,NULL,NULL,NULL,NULL
NULL,221116,NULL,NULL,NULL,NULL,NULL,NULL
NULL,221117,NULL,NULL,NULL,NULL,NULL,NULL
NULL,221118,NULL,NULL,NULL,NULL,NULL,NULL
221119: OTHER ELECTRIC POWER GENERATION,221119,OTHER ELECTRIC POWER GENERATION,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
221121: ELECTRIC BULK POWER TRANSMISSION AND CONTROL,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
221122: ELECTRIC POWER DISTRIBUTION,221122,ELECTRIC POWER DISTRIBUTION,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
22121: NATURAL GAS DISTRIBUTION,22121,NATURAL GAS DISTRIBUTION,NULL,NULL,NULL,NULL,NULL
221210: NATURAL GAS DISTRIBUTION,221210,NATURAL GAS DISTRIBUTION,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
22131: WATER SUPPLY AND IRRIGATION SYSTEMS,22131,WATER SUPPLY AND IRRIGATION SYSTEMS,NULL,NULL,NULL,NULL,NULL
221310: WATER SUPPLY AND IRRIGATION SYSTEMS,221310,WATER SUPPLY AND IRRIGATION SYSTEMS,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
22132: SEWAGE TREATMENT FACILITIES,22132,SEWAGE TREATMENT FACILITIES,NULL,NULL,NULL,NULL,NULL
221320: SEWAGE TREATMENT FACILITIES,221320,SEWAGE TREATMENT FACILITIES,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
221330: STEAM AND AIR-CONDITIONING SUPPLY,221330,STEAM AND AIR-CONDITIONING SUPPLY,22,221,"Oil, Coal, Fuel and Natural Gas",0,0
23: CONSTRUCTION,23,CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
"233: BUILDING, DEVELOPING, AND GENERAL CONTRACTING",233,"BUILDING, DEVELOPING, AND GENERAL CONTRACTING",NULL,NULL,NULL,NULL,NULL
23311: LAND SUBDIVISION AND LAND DEVELOPMENT,23311,LAND SUBDIVISION AND LAND DEVELOPMENT,NULL,NULL,NULL,NULL,NULL
233110: LAND SUBDIVISION AND LAND DEVELOPMENT,233110,LAND SUBDIVISION AND LAND DEVELOPMENT,NULL,NULL,NULL,NULL,NULL
2332: RESIDENTIAL BUILDING CONSTRUCTION,2332,RESIDENTIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23321: SINGLE FAMILY HOUSING CONSTRUCTION,23321,SINGLE FAMILY HOUSING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
233210: SINGLE FAMILY HOUSING CONSTRUCTION,233210,SINGLE FAMILY HOUSING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
233220: MULTIFAMILY HOUSING CONSTRUCTION,233220,MULTIFAMILY HOUSING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
2333: NONRESIDENTIAL BUILDING CONSTRUCTION,2333,NONRESIDENTIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23331: MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,23331,MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
233310: MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,233310,MANUFACTURING AND INDUSTRIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23332: COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,23332,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
233320: COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,233320,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23411: HIGHWAY AND STREET CONSTRUCTION,23411,HIGHWAY AND STREET CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
234110: HIGHWAY AND STREET CONSTRUCTION,234110,HIGHWAY AND STREET CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23412: BRIDGE AND TUNNEL CONSTRUCTION,23412,BRIDGE AND TUNNEL CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
234120: BRIDGE AND TUNNEL CONSTRUCTION,234120,BRIDGE AND TUNNEL CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
2349: OTHER HEAVY CONSTRUCTION,2349,OTHER HEAVY CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
"23491: WATER, SEWER, AND PIPELINE CONSTRUCTION",23491,"WATER, SEWER, AND PIPELINE CONSTRUCTION",NULL,NULL,NULL,NULL,NULL
"234910: WATER, SEWER, AND PIPELINE CONSTRUCTION",234910,"WATER, SEWER, AND PIPELINE CONSTRUCTION",NULL,NULL,NULL,NULL,NULL
23492: POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,23492,POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
234920: POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,234920,POWER AND COMMUNICATION TRANSMISSION LINE CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23493: INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION,23493,INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
234930: INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION,234930,INDUSTRIAL NONBUILDING STRUCTURE CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
23499: ALL OTHER HEAVY CONSTRUCTION,23499,ALL OTHER HEAVY CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
234990: ALL OTHER HEAVY CONSTRUCTION,234990,ALL OTHER HEAVY CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
"23511: PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",23511,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"235110: PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",235110,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",NULL,NULL,NULL,NULL,NULL
23521: PAINTING AND WALL COVERING CONTRACTORS,23521,PAINTING AND WALL COVERING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235210: PAINTING AND WALL COVERING CONTRACTORS,235210,PAINTING AND WALL COVERING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23531: ELECTRICAL CONTRACTORS,23531,ELECTRICAL CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235310: ELECTRICAL CONTRACTORS,235310,ELECTRICAL CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23541: MASONRY AND STONE CONTRACTORS,23541,MASONRY AND STONE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235410: MASONRY AND STONE CONTRACTORS,235410,MASONRY AND STONE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
"23542: DRYWALL, PLASTERING, ACOUSTICAL, AND INSULATION CONTRACTORS",23542,"DRYWALL, PLASTERING, ACOUSTICAL, AND INSULATION CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"235420: DRYWALL, PLASTERING, ACOUSTICAL, AND INSULATION CONTRACTORS",235420,"DRYWALL, PLASTERING, ACOUSTICAL, AND INSULATION CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"235430: TILE, MARBLE, TERRAZZO, AND MOSAIC CONTRACTORS",235430,"TILE, MARBLE, TERRAZZO, AND MOSAIC CONTRACTORS",NULL,NULL,NULL,NULL,NULL
23551: CARPENTRY CONTRACTORS,23551,CARPENTRY CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235510: CARPENTRY CONTRACTORS,235510,CARPENTRY CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23552: FLOOR LAYING AND OTHER FLOOR CONTRACTORS,23552,FLOOR LAYING AND OTHER FLOOR CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235520: FLOOR LAYING AND OTHER FLOOR CONTRACTORS,235520,FLOOR LAYING AND OTHER FLOOR CONTRACTORS,NULL,NULL,NULL,NULL,NULL
"2356: ROOFING, SIDING, AND SHEET METAL CONTRACTORS",2356,"ROOFING, SIDING, AND SHEET METAL CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"23561: ROOFING, SIDING, AND SHEET METAL CONTRACTORS",23561,"ROOFING, SIDING, AND SHEET METAL CONTRACTORS",NULL,NULL,NULL,NULL,NULL
"235610: ROOFING, SIDING, AND SHEET METAL CONTRACTORS",235610,"ROOFING, SIDING, AND SHEET METAL CONTRACTORS",NULL,NULL,NULL,NULL,NULL
23571: CONCRETE CONTRACTORS,23571,CONCRETE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235710: CONCRETE CONTRACTORS,235710,CONCRETE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
2358: WATER WELL DRILLING CONTRACTORS,2358,WATER WELL DRILLING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23581: WATER WELL DRILLING CONTRACTORS,23581,WATER WELL DRILLING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235810: WATER WELL DRILLING CONTRACTORS,235810,WATER WELL DRILLING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
2359: OTHER SPECIAL TRADE CONTRACTORS,2359,OTHER SPECIAL TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23591: STRUCTURAL STEEL ERECTION CONTRACTORS,23591,STRUCTURAL STEEL ERECTION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235910: STRUCTURAL STEEL ERECTION CONTRACTORS,235910,STRUCTURAL STEEL ERECTION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235920: GLASS AND GLAZING CONTRACTORS,235920,GLASS AND GLAZING CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23593: EXCAVATION CONTRACTORS,23593,EXCAVATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235930: EXCAVATION CONTRACTORS,235930,EXCAVATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23594: WRECKING AND DEMOLITION CONTRACTORS,23594,WRECKING AND DEMOLITION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235940: WRECKING AND DEMOLITION CONTRACTORS,235940,WRECKING AND DEMOLITION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23595: BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,23595,BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235950: BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,235950,BUILDING EQUIPMENT AND OTHER MACHINERY INSTALLATION CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23599: ALL OTHER SPECIAL TRADE CONTRACTORS,23599,ALL OTHER SPECIAL TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
235990: ALL OTHER SPECIAL TRADE CONTRACTORS,235990,ALL OTHER SPECIAL TRADE CONTRACTORS,NULL,NULL,NULL,NULL,NULL
23611: RESIDENTIAL BUILDING CONSTRUCTION,23611,RESIDENTIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
236115: NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT OPERATIVE BUILDERS),236115,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT OPERATIVE BUILDERS AND FOR-SALE BUILDERS,23,236,Construction and Renovation,0,0
236116: NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),236116,NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT OPERATIVE BUILDERS AND FOR-SALE BUILDERS),23,236,Construction and Renovation,0,0
236117: NEW HOUSING OPERATIVE BUILDERS,236117,NEW HOUSING OPERATIVE BUILDERS,23,236,Construction and Renovation,0,0
236118: RESIDENTIAL REMODELERS,236118,RESIDENTIAL REMODELERS,23,236,Construction and Renovation,0,0
2362: NONRESIDENTIAL BUILDING CONSTRUCTION,2362,NONRESIDENTIAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
236210: INDUSTRIAL BUILDING CONSTRUCTION,236210,INDUSTRIAL BUILDING CONSTRUCTION,23,236,Construction and Renovation,0,0
23622: COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,23622,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NULL,NULL,NULL,NULL,NULL
236220: COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,23,236,Construction and Renovation,0,0
237110: WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,23,237,Construction and Renovation,0,0
237120: OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,237120,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,23,237,Construction and Renovation,0,0
