Unseperated,systemequipmentcode,systemequipmentcodeText,Rank,IsIdentifiedSystemEquipment
180: DDG 51 ,180,DDG 51 ,95,1
181: KC-135R ,181,KC-135R ,NULL,1
182: LUH ,182,LUH ,NULL,1
183: FCA ,183,FCA ,NULL,1
184: AMRAAM (NAVY) ,184,AMRAAM (NAVY) ,43,1
185: AMRAAM ,185,AMRAAM ,43,1
187: LANTRIN ,187,LANTRIN ,NULL,1
188: A-6E / A-6 UPGRADE ,188,A-6E / A-6 UPGRADE ,NULL,1
191: MH-60R ,191,MH-60R ,69,1
193: SCOUT ,193,SCOUT ,NULL,1
197: DD(X) ,197,DD(X) ,37,1
198: JSF (F-35) ,198,JSF (F-35) ,61,1
199: FAB-T ,199,FAB-T ,NULL,1
1ACE: ,1ACE,C-12,177,1
1ACF: ,1ACF,C-23 SHERPA,581,1
1ACH: ,1ACH,C-20 ACFT,1137,1
1AHA: ,1AHA,UH-1 IROQUOIS,119,1
NULL,1AHB,H-2 SEASPRITE,NULL,1
1AHC: ,1AHC,OH-58 KIOWA (AHIP),48,1
NULL,1AHD,OH-6 CAYUSE,NULL,1
NULL,1AHE,OH-5/6 PAWNEE,NULL,1
NULL,1AHH,AH-56 CHEYENNE,NULL,1
1AHJ: ,1AHJ,CH-46 SEA KNIGHT,565,1
1AHK: ,1AHK,CH-47 CHINOOK,39,1
NULL,1AHL,H-51,NULL,1
1AHM: ,1AHM,AH-1 COBRA,392,1
NULL,1AHN,AH-1J IRANIAN,NULL,1
NULL,1AHO,EH-1H ELECTRONIC,NULL,1
NULL,1AHP,AH-1S COBRA TOW,NULL,1
NULL,1AHQ,CH-54 TARHE,NULL,1
NULL,1AHR,TH-55 OSAGE,NULL,1
1AHS: ,1AHS,214 COMMERCIAL,883,1
NULL,1AHU,UH-19 CHICKASAW,NULL,1
NULL,1AHW,AH-1G HUEYCOBRA,241,1
NULL,1AHZ,NH-41 SENECA,NULL,1
1AIA: ,1AIA,UH-60 BLACKHAWK UTTAS,12,1
NULL,1AIB,QH-50,NULL,1
1AIC: ,1AIC,AH-64 APACHE,25,1
NULL,1AID,YEH-60,NULL,1
1AIE: ,1AIE,SCOUT ASH,688,1
1AIG: ,1AIG,LONGBOW APACHE,127,1
1AIH: ,1AIH,RAH 66 COMMANCHE,68,1
1AII: ,1AII,COMMANCHE,1141,1
NULL,1AOA,0-1 BIRD DOG,NULL,1
1ARA: ,1ARA,RV-1,983,1
NULL,1ARJ,RU-21,NULL,1
NULL,1ATG,2B-24 SYNTHETIC FLIGHT TRN,NULL,1
1ATH: ,1ATH,HELICOPTER NEW TRAINING,509,1
NULL,1AUA,U-1 OTTER,NULL,1
NULL,1AUB,U-8 SEMINOLE,NULL,1
NULL,1AUC,U-6 BEAVER,1222,1
1AUE: ,1AUE,U-21 UTE,1357,1
1AVA: ,1AVA,OV-1 MOHAWK,1795,1
NULL,1AVE,CV-7 BUFFALO,NULL,1
NULL,1AWA,X-19,NULL,1
NULL,1BTB,T-53,NULL,1
NULL,1BTC,T-55,NULL,1
NULL,1BTJ,T-63,NULL,1
NULL,1BTK,T-64,319,1
1BTN: ,1BTN,T-800,346,1
1BTP: ,1BTP,T-700,237,1
1CAA: ,1CAA,BALLISTIC MISSILE DEFENSE SYS,5,1
NULL,1CED,BALL MSL DEF SYS,NULL,1
NULL,1CMA,MIM-14 NIKE HERCULES,NULL,1
NULL,1CMB,XAGM-22 (SS-11) MSL SYS,NULL,1
1CMC: ,1CMC,MIM-23 HAWK,137,1
NULL,1CMD,MGM-29 SERGEANT,NULL,1
NULL,1CME,MGM-31 PERSHING,NULL,1
NULL,1CMF,NULL,NULL,1
NULL,1CMH,MQM-40/42 REDHEAD/ROADRUNNER,NULL,1
NULL,1CMJ,FIM-43 REDEYE (LONGBOW),NULL,1
NULL,1CML,MGM-52 LANCE,NULL,1
1CMN: ,1CMN,MIM-72 CHAPARRAL,606,1
NULL,1CMS,MGM-71 TOW,1783,1
1CMU: ,1CMU,M-77 DRAGON,644,1
1CMZ: ,1CMZ,FAADS C21 (SHORAD),360,1
1CNA: ,1CNA,STINGER (RMP)  MANPORTABLE SAM,148,1
NULL,1CNB,ASSAULT BREAKER,NULL,1
1CNC: ,1CNC,QM-107 GD MSL TGT SYS,434,1
NULL,1CND,FOG-M MISSILE (FAADS NLOS),NULL,1
1CNE: ,1CNE,PATRIOT MISSILE SYS,32,1
NULL,1CNG,U S ROLAND,NULL,1
1CNL: ,1CNL,ARMY TACTICAL MISSILE SYSTEM,207,1
1CNM: ,1CNM,"TOW-2 TB-LH,OP-TRK,WG ANTI ARM",356,1
1CNP: ,1CNP,"AVENGER - FADS, LOS, RPMS",402,1
1CNQ: ,1CNQ,BRLNT ANTI-ARMOR SUBMUNITION,294,1
1CNR: ,1CNR,IMPROVED TARGET ACQ SYS,264,1
1CNS: ,1CNS,JAVELIN,60,1
1CNT: ,1CNT,MLRS - MULTIPLE LNCH ROCK SYS,283,1
1CNU: ,1CNU,CORPS SAM,720,1
1CNV: ,1CNV,GBI - GROUND BASED INTERCEPTOR,209,1
1CNW: ,1CNW,GBR -GROUND BASED RADAR,269,1
1CNX: ,1CNX,THAAD-THEATER HIGH ALT AIR DEF,89,1
1CPA: ,1CPA,HELLFIRE MODULAR MSL SYS,131,1
1CPB: ,1CPB,LASER HELLFIRE,219,1
1CPJ: ,1CPJ,UAV HUNTER (SHORT RANGE UAV),522,1
NULL,1CRC,XMQR-13,NULL,1
1CRG: ,1CRG,2.75" ROCKET ALL TYPES,690,1
NULL,1CRL,M72 66MM HEAT ROCKET,NULL,1
1CRM: ,1CRM,"LAUNCHER, ROCKET 2.75",903,1
1CRN: ,1CRN,,NULL,1
NULL,1CRO,NULL,NULL,1
1CRV: ,1CRV,MULT LNCH ROCKET SYS,126,1
1CRW: ,1CRW,LONGBOW HELLFIRE,189,1
1DAD: ,1DAD,TRUCKS <1T,512,1
1DAE: ,1DAE,TRUCKS 2 1/2T,502,1
1DAF: ,1DAF,TRUCKS 5T,50,1
1DAG: ,1DAG,TRUCKS 10T,550,1
1DAH: ,1DAH,TRUCKS >10T,307,1
1DAI: ,1DAI,RECOVERY VEHICLE M88 IMPROVED,226,1
1DAJ: ,1DAJ,ARMORED SECURITY VEHICLE,586,1
1DAK: ,1DAK,PALLETIZED LOADING SYSTEM  PLS,813,1
1DAL: ,1DAL,Stryker Armored Vehicles,439,1
1DAM: ,1DAM,H. MOB. MP WHEELED VEH (HMMWV),198,1
1DAN: ,1DAN,Family Med Tact Veh (FMTV),1203,1
NULL,1DBA,BRIDGE (ARMORED VEH LAUNCH),NULL,1
NULL,1DBE,LAUNCHER TNK CHASSIS M60/AVB,NULL,1
NULL,1DBF,LACV-30 AIR CUSH VEH 25-30T,NULL,1
NULL,1DBI,BRIDGE FIXED HWY ALUM,NULL,1
NULL,1DBJ,BRIDGE FLOAT RIBBON INT BAY,NULL,1
NULL,1DBK,BRIDGE FLOAT RIBBON RAMP,NULL,1
1DBL: ,1DBL,LANDING VEH TRACKED AMPHIB,1148,1
NULL,1DBN,(ALMSC),NULL,1
NULL,1DBO,COMBAT ENGINEER FT T118 M728,NULL,1
NULL,1DBP,TNK & AUTO TECH,NULL,1
NULL,1DBQ,CAVALRY FIGHTING VEHICLE,NULL,1
NULL,1DBR,NULL,NULL,1
NULL,1DBS,RPV (STING RAY),NULL,1
NULL,1DBT,RECOVERY VEHICLE M88 MED,NULL,1
NULL,1DBU,RECOVERY VEHICLE (FT) M578,NULL,1
1DBV: ,1DBV,"BRADLEY,INFANTRY FT VEH FAMILY",86,1
NULL,1DBW,ASSAULT GEN SHERIDAN XM551,NULL,1
NULL,1DBY,TRAINER SHERDN WPN SYS XM35,NULL,1
NULL,1DCA,CARRIER CARGO M548,NULL,1
NULL,1DCB,CHASSIS CARRIER XM-730,NULL,1
NULL,1DCD,COMMAND POST M577,NULL,1
NULL,1DCE,CARRIER VULCAN SP XM-741,NULL,1
NULL,1DCF,CARRIER FT CHAPARRAL XM730,NULL,1
NULL,1DCG,PERSONNEL CARRIER M113,NULL,1
NULL,1DCI,CARRIER M113-TOW,NULL,1
NULL,1DCK,CARRIER GM901 ITV,NULL,1
NULL,1DCO,MORTAR CARRIER M-106,NULL,1
1DCP: ,1DCP,CARRIER M113 MODS,154,1
1DEB: ,1DEB,CRANE 5 TON 3/8 CU YD,1313,1
1DED: ,1DED,CRANE WHEEL MTD 20T 3/4 CU YD,1493,1
1DEE: ,1DEE,CRANE HYDRAULIC 25 TON (CCE),1242,1
1DEF: ,1DEF,LOADER SCOOP TYPE 4-6 CU YD,882,1
1DEG: ,1DEG,TRUCK CONCRETE,1615,1
NULL,1DGA,AMPHIBIOUS 5 TON LARC,NULL,1
NULL,1DGC,AMPHIBIOUS 15 TON LARC,NULL,1
1DGE: ,1DGE,AMPHIBIOUS 60 TON LARC,1541,1
NULL,1DGG,AIR CUSHION VEH 30 TON,1665,1
1DID: ,1DID,LOW BED 52 1/2 TON M747,1387,1
NULL,1DIE,STAKE 12-16 TON (C/S),NULL,1
1DIF: ,1DIF,TANK (FUEL SVC) M131 SEMI-TRL,1805,1
NULL,1DII,BREAK BULK CONT 34 TON,NULL,1
NULL,1DIJ,SHOP VAN 6 TON M146,1696,1
1DIM: ,1DIM,M-857 SEMI-TRAILER,724,1
1DIN: ,1DIN,VAN ELECTRONIC 6 TON M373,1472,1
1DIQ: ,1DIQ,M871 22.5 TON,918,1
1DIR: ,1DIR,M872 34 TON,673,1
1DIS: ,1DIS,TRAILERS,537,1
NULL,1DJA,M-60 COMBAT 152MM GUN,NULL,1
1DJB: ,1DJB,M-60 COMBAT 105MM GUN,735,1
NULL,1DJC,M-48 TANK,NULL,1
NULL,1DJE,M-1 COMBAT 105MM GUN (ABRAMS),NULL,1
NULL,1DJF,XM-1 FSED TANK PROGRAM,NULL,1
NULL,1DJG,M-728 COMBAT,NULL,1
NULL,1DJH,XM-723 IFV,NULL,1
NULL,1DJI,MBT-70 152MM GUN,NULL,1
NULL,1DJJ,M-2 IFV (BRADLEY),NULL,1
NULL,1DJK,M-3 CFV (BRADLEY),NULL,1
NULL,1DJL,FIRE SUPT TEAM VEH,NULL,1
1DJM: ,1DJM,LIGHT ARMORED VEHICLE (LAV),145,1
1DJN: ,1DJN,ABRAMS SERIES (M1/M1A1/M1A2),23,1
NULL,1DJP,M1A2 UPGRADE,NULL,1
1DKA: ,1DKA,LOW SPEED(FT)DIESEL MEDIUM,987,1
1DKC: ,1DKC,CRAWLER T-11 W/RIPPER CCE,1444,1
1DKE: ,1DKE,UNIVERSAL(FT)W/DOZER,329,1
NULL,1DKJ,INDUSTRIAL(WHEELED)MEDIUM,NULL,1
1DLB: ,1DLB,CARGO 3/4 TON M101,1138,1
NULL,1DLC,HVY EXPANDED MOB. AMMO TRAILER,1392,1
1DLD: ,1DLD,HVY EXPANDED MOB. TAC TRUCK,365,1
1DLE: ,1DLE,H. MOB. MP WHEELED VEH (HMMWV),198,1
1DLF: ,1DLF,CARGO 1 1/2 TON M105 TRAILER,949,1
1DLG: ,1DLG,HIGH MOBILITY TRAILER,805,1
1DLI: ,1DLI,PALLETIZED LOADING SYSTEM,643,1
1DLM: ,1DLM,TANK WATER 400 GAL M149 TRK,1159,1
NULL,1DMA,HEAVY EQ XM523/524 M123/15,NULL,1
NULL,1DNA,3/4 TON 4X2 NTV MAINT TRUCK,NULL,1
NULL,1DNB,3/4 TON 4X4 ALL BDY TYPES,NULL,1
1DNC: ,1DNC,FORK LIFT 4000 LB GE PT,1015,1
1DND: ,1DND,FORK LIFT 10000 LB DD PT RT,1497,1
NULL,1DNE,2 1/2 TON 6X6 ALL BODY TYPES,NULL,1
1DNF: ,1DNF,FORK LIFT 15000 LB,1355,1
NULL,1DNG,2 1/2 TON 8X8 XM410,NULL,1
1DNH: ,1DNH,FORK LIFT 50000 LB,472,1
NULL,1DNI,1 1/4 TON ABT CS,NULL,1
NULL,1DNJ,5 TON 6X6 ALL BODY TYPES M39,NULL,1
NULL,1DNK,CONTAINER HANDL SD LOADER,NULL,1
NULL,1DNL,5 TON 8X8 XM656,NULL,1
NULL,1DNM,DUMP 20T CE,NULL,1
1DNN: ,1DNN,FORK LIFT 6000 LB GE PT,1021,1
NULL,1DNP,CARGO 1/2 TON 4X2 PICKUP,NULL,1
NULL,1DNQ,5 TON M-939,NULL,1
NULL,1DNR,CARGO 1 TON 4X4 M601,NULL,1
NULL,1DNS,CARGO 1 1/4 TON 6X6 M561,NULL,1
NULL,1DNT,CARGO 5 TON(TRUCK),NULL,1
NULL,1DNV,CARGO 8 TON 4X4 XM520(GOER),NULL,1
NULL,1DNY,CARGO 16 TON 4X4 XM437(GOER),NULL,1
1DPA: ,1DPA,FORK LIFT ATLAS,469,1
1DPB: ,1DPB,FORK LIFT FRONT/SIDE LOADER 6K,925,1
NULL,1DPD,NULL,NULL,1
1DPG: ,1DPG,"TANK FUEL 5,000 GAL XM438",1280,1
1DPH: ,1DPH,"TRACTOR M915 50,000 LB",413,1
1DPI: ,1DPI,HVY EXPANDED MOB. TAC TRUCK,365,1
1DPJ: ,1DPJ,"TANK WATER 4,000 GAL M149",1467,1
NULL,1DPM,TRACTOR 10 TON 6X6 M123(TRK),NULL,1
NULL,1DPN,TRACTOR 22 1/2 TON 8X8 XM746,NULL,1
1DPO: ,1DPO,TRACTOR M915A2/M916A LINE HAUL,778,1
1DPP: ,1DPP,"TRACTOR 32,000 GVW",538,1
NULL,1DPQ,UTILITY 1 1/4 TN M561,NULL,1
NULL,1DPS,UTILITY 1/4 TON 4X4 M151,NULL,1
NULL,1DPU,UTILITY 1 1/4 TON M715,NULL,1
NULL,1DPV,FIRE FIGHTING 500 GPM,NULL,1
NULL,1DPW,WRECKER 4X4 M553(GOER),NULL,1
NULL,1DPX,UTILITY 1/4 TON 4X4 ABT,NULL,1
1EBA: ,1EBA,7.62MM M60 MACHINE GUN,446,1
1EBB: ,1EBB,50MM M85 MACHINE GUN,1205,1
NULL,1EBC,7.62MM M73 MACHINE GUN,1656,1
NULL,1EBE,7.62MM M134 AUTOMATIC,NULL,1
1EBG: ,1EBG,50CAL M2 MACHINE GUN,939,1
NULL,1EBH,20MM GUN (HS),1295,1
1EBI: ,1EBI,20MM XM167 TOWED,1309,1
NULL,1EBL,20MM GUN XM163,NULL,1
1EBM: ,1EBM,20MM GUN (VULCAN) M61,1450,1
NULL,1EBN,105MM GUN M68,NULL,1
1EBO: ,1EBO,5.56MM CARBINE,395,1
NULL,1EBP,175MM M-107 GUN SP,NULL,1
NULL,1EBQ,70MM GUN (VIPER),NULL,1
NULL,1EBR,FAADS LOS-R (DIVAD),NULL,1
NULL,1EBS,7.62MM M-240 MACHINE GUN,NULL,1
1EBT: ,1EBT,5.56MM M249 SQD AUTOMATIC WPN,420,1
1EBU: ,1EBU,25MM M242 AUTOMATIC GUN,706,1
1EBV: ,1EBV,9MM PERSONAL DEFENSE WEAPON,761,1
1EBW: ,1EBW,MK 19-3 GRENADE MACHINE GUN,450,1
1EDA: ,1EDA,M101A1 105MM LT TOWED HOW,1319,1
NULL,1EDB,M114A2 155MM TOWED HOW,NULL,1
NULL,1EDC,M110 8'' SP HOWITZER,NULL,1
1EDD: ,1EDD,AFAS (PRE-MS I) 155MM SP,1234,1
1EDE: ,1EDE,M198 155MM TOWED HOW,779,1
1EDG: ,1EDG,M102 105MM LT TOWED HOW,1109,1
NULL,1EDH,M109 155MM SP HOWITZER,NULL,1
1EDK: ,1EDK,M109 155MM MED SP HOW,292,1
1EFA: ,1EFA,60MM,1487,1
1EFB: ,1EFB,81MM M29 ON MOUNT M23,1202,1
1EFC: ,1EFC,81MM SP MORTAR M125,1323,1
1EFD: ,1EFD,120MM,977,1
1EFE: ,1EFE,ARMORED MORTAR SYSTEM,1688,1
1EFF: ,1EFF,IMPROVED MORTAR BALLISTIC COMP,1725,1
1EFH: ,1EFH,MORTAR FIRE CTRL SYSTEM,1187,1
NULL,1EFI,NULL,NULL,1
1EHC: ,1EHC,M16 5.56 MM RIFLE,350,1
NULL,1EHG,M14 7.62 MM RIFLE,NULL,1
NULL,1FAF,ROCKEYE,NULL,1
NULL,1FAI,M-82 BOMB GP,NULL,1
NULL,1FAS,MK-84 GENERAL PURPOSE,NULL,1
NULL,1FAT,BDW 33/B PRACTICE BOMB,NULL,1
NULL,1FBB,30 CAL BALL,NULL,1
NULL,1FBC,30 CAL M1909 BLANK,NULL,1
NULL,1FBD,45 CAL M1911 BALL,NULL,1
NULL,1FBE,4.2" M329/XM502 HE CARTRIDGE,NULL,1
1FBM: ,1FBM,7.62MM ALL TY EXCEPT BLANK,1097,1
1FBT: ,1FBT,20MM AMMUNITION ALL TYPES,639,1
NULL,1FCJ,81MM M374 HE CARTRIDGE,NULL,1
NULL,1FCM,81MM M375 SMOKE WP CARTRIDGE,NULL,1
1FCN: ,1FCN,40MM AMMUNITION ALL TYPES,494,1
NULL,1FDV,NULL,NULL,1
NULL,1FEG,38 CAL ALL TYPES,NULL,1
NULL,1FET,60MM HE XM720,NULL,1
NULL,1FEU,60MM ILLUM LWCMS XM721,NULL,1
NULL,1FEV,"60MM SMK, WP, LWCMS XM722",NULL,1
NULL,1FEX,81MM SMOKE XM819,NULL,1
1FFA: ,1FFA,120MM TANK AMMUNITION,114,1
1FFB: ,1FFB,5.56MM AMMUNITION ALL TYPES,1038,1
1FFE: ,1FFE,9MM AMMUNITION ALL TYPES,1140,1
1FFG: ,1FFG,25MM AMMUNITION ALL TYPES,1644,1
1FFI: ,1FFI,CALIBER .50 AMMO ALL TYPES,971,1
1FFJ: ,1FFJ,60MM AMMUNITION ALL TYPES,739,1
1FFL: ,1FFL,81MM AMMUNITION ALL TYPES,1158,1
1FFN: ,1FFN,105MM TANK AMMO ALL TYPES,902,1
1FFO: ,1FFO,120MM AMMUNITION ALL TYPES,309,1
NULL,1FFP,120MM CTG TANK,NULL,1
1FFQ: ,1FFQ,30MM AMMUNITION ALL TYPES,466,1
1FFS: ,1FFS,105MM ART AMMUNITION ALL TYPES,1068,1
NULL,1FGD,155MM M4 WHITE BAG,NULL,1
NULL,1FGR,8 INCH HE,NULL,1
NULL,1FJE,CBU-3 DISPENSER + BOMB,NULL,1
NULL,1FJJ,CBU-7 DISPENSER + BOMB,NULL,1
NULL,1FKE,M739,NULL,1
NULL,1FKP,XM577 FUZE MT,NULL,1
NULL,1FLA,HAND FRAG ALL TYPES,NULL,1
1FLE: ,1FLE,HAND GRENADES ALL TYPES,745,1
1FLI: ,1FLI,VOLCANO MINES,1029,1
NULL,1FMJ,M18 AP MINE,NULL,1
1FMO: ,1FMO,DEMOLITION MUNITIONS ALL TYPES,1113,1
NULL,1FMR,M128 MINE DISPENSER,NULL,1
1FMX: ,1FMX,WIDE AREA MUNITION (WAM),335,1
NULL,1FMY,MINE CLEARING LINE CHG MICLIC,NULL,1
NULL,1FNC,NULL,NULL,1
NULL,1FPA,M650 E5 8",NULL,1
NULL,1FPC,M731/M692 155MM,NULL,1
NULL,1FPH,155MM HE,NULL,1
NULL,1FPM,M485 155MM ILLUM PROJ,NULL,1
NULL,1FPU,XM454 PROJ,NULL,1
NULL,1FPV,M735 PROJECTILE,NULL,1
NULL,1FPX,M718/M741 ISS MM AT,NULL,1
NULL,1FPY,M712 155MM,NULL,1
NULL,1FPZ,M737 PROJECTILE,NULL,1
NULL,1FQA,M483 155MM PROJECTILE,NULL,1
NULL,1FQB,M509 8" DPICM,1667,1
NULL,1FQD,M825 155MM SMOKE SCREENING,NULL,1
1FQG: ,1FQG,155MM ARTY ALL (EXCLG SADARM),303,1
1FVA: ,1FVA,AMMO COMPONENTS ALL TYPES,312,1
NULL,1FVC,NULL,NULL,1
1FVD: ,1FVD,,NULL,1
1FVE: ,1FVE,BUNKER DEFEATING MUNITION BDM,1733,1
1FVG: ,1FVG,SIGNALS ALL TYPES,1026,1
1FVH: ,1FVH,"SIMULATORS, ALL TYPES",415,1
1FVI: ,1FVI,MISCELLANEOUS AMMUNITION ITEMS,245,1
1GAD: ,1GAD,CX-4566 A/G CABLE ASSEMBLY,1594,1
NULL,1GAH,PP-1451/G ELEC POWER SUPPLY,NULL,1
NULL,1GAI,AN/ASM-146 AIR COND SHELTER,NULL,1
NULL,1GAJ,AN/ASM-147 AIR COND SHELTER,1611,1
1GAK: ,1GAK,AN/TSM-55 ELEC TEST EQUIP,1207,1
1GAL: ,1GAL,MULTI SYS TEST EQUIP (MTE),966,1
1GAM: ,1GAM,LAND COMBAT SUPT SYS (LCS),897,1
NULL,1GAN,AN/USM-207 FREQ MEASUR SET,1555,1
NULL,1GAR,AN/TSW-7,NULL,1
1GAS: ,1GAS,AN/ALQ-133 QUICK LOOK,775,1
NULL,1GAV,AN/TLQ-17 COUNTERMEASURES,NULL,1
NULL,1GAW,AN/MSQ-103 TEAM PACK,NULL,1
1GAY: ,1GAY,AN/ASM-189 AIR COND SHELTER,1252,1
NULL,1GAZ,AN/PAQ-1 TGT DESIGNATE LASER,1601,1
NULL,1GBA,AN/GVS-5 RANGE FINDER LASER,NULL,1
NULL,1GBC,DRAMA,NULL,1
1GBI: ,1GBI,M-551 RANGE FINDER LASER,1714,1
NULL,1GBJ,AN/DVG-2 RANGE FINDER LASER,NULL,1
1GBL: ,1GBL,AN/TSC-61 FLIGHT COORD CNTRL,1468,1
1GBM: ,1GBM,AUTO TEST SUPPORT SYS,1297,1
1GBN: ,1GBN,AN/TSQ-73 AIR DEF MSL SYS,462,1
NULL,1GBP,MX-9644 IMAGE INTENSIFIER,1456,1
1GBQ: ,1GBQ,AN/TVQ-2 LASER DESIGNATOR,970,1
1GBR: ,1GBR,AN/MLQ-34 COUNTERMEASURES,1388,1
NULL,1GBS,AN/GYK-29,1774,1
1GBU: ,1GBU,AN/ALQ-136 COUNTERMEASURES,960,1
NULL,1GBV,AN/ALQ-151 COUNTERMEASURES,1693,1
1GBW: ,1GBW,AN/TYC-39 MESSAGE SWITCH,468,1
1GBX: ,1GBX,AN/TTC-39 CIRCUIT SWITCH,263,1
NULL,1GBY,AN/VVG-2 RANGE FINDER LASER,NULL,1
1GCA: ,1GCA,AN/USM-410 TEST STATION,1475,1
NULL,1GCD,ERINT,1311,1
1GCF: ,1GCF,AN/ALQ-147 COUNTERMEASURES,1243,1
1GCG: ,1GCG,ALL SOURCE ANALYSIS SYS,326,1
1GCH: ,1GCH,GUARDRAIL COMMON SENSOR,501,1
