AgencyID,AgencyIDtext,DepartmentID,CSISName,Customer,SubCustomer,InternationalAssistancePrograms,IsDiscrepency,MinOfStartDate,MaxOfEndDate,IsUnknownAgencyID,IsExceptionToContradictionTest,SubCustomerSum,IsDefense,PlatformPortfolio
0050,HOUSE OF REPRESENTATIVES ZAAA,0050,NULL,Other Agencies,All Other Customers,0,NULL,2009-07-29,2009-07-29,0,0,All Other Customers,0,NULL
0099,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0100,ARCHITECT OF THE CAPITOL,NULL,NULL,NULL,NULL,0,NULL,2004-03-04,2013-09-27,0,0,NULL,NULL,NULL
012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0300,LIBRARY OF CONGRESS,0300,NULL,Other Agencies,Library,0,NULL,1979-01-01,2013-09-23,0,0,Library,0,NULL
031,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0400,GOVERNMENT PRINTING OFFICE,0400,NULL,Other Agencies,All Other Customers,0,NULL,2005-02-01,2009-10-23,0,0,All Other Customers,0,NULL
045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0500,GENERAL ACCOUNTING OFFICE,0500,NULL,Other Agencies,All Other Customers,0,NULL,2004-10-13,2010-02-20,0,0,All Other Customers,0,NULL
0501,COMPTROLLER GENERAL OF THE UNITED STATES,0500,NULL,Other Agencies,Comptroller,0,NULL,2006-09-30,2006-09-30,0,0,Comptroller,0,NULL
051L,051L,NULL,NULL,NULL,NULL,0,NULL,2005-09-28,2005-09-28,0,0,NULL,NULL,NULL
054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0544,0544,NULL,NULL,NULL,NULL,0,NULL,2005-05-02,2005-05-02,0,0,NULL,NULL,NULL
0559,"GAO, EXCEPT COMPTROLLER GENERAL",0559,NULL,Other Agencies,Comptroller,0,NULL,2007-02-21,2013-10-01,0,0,Comptroller,0,NULL
060,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
061,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
077,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0800,CONGRESSIONAL BUDGET OFFICE,0800,NULL,Other Agencies,All Other Customers,0,NULL,2002-09-27,2009-09-28,0,0,All Other Customers,0,NULL
083,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
090,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0900,0900,NULL,NULL,NULL,NULL,0,NULL,2005-03-09,2005-03-09,0,0,NULL,NULL,NULL
0905,DWIGHT D. EISENHOWER MEMORIAL COMMISSION,NULL,NULL,NULL,NULL,0,NULL,2007-12-05,2007-12-05,0,0,NULL,NULL,NULL
091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0911,COMMISSION ON AGRICULTURAL WORKERS,0911,NULL,Other Agencies,All Other Customers,0,NULL,2009-06-25,2009-06-25,0,0,All Other Customers,0,NULL
093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0938,ABRAHAM LINCOLN BICENTENNIAL COMMISSION,NULL,NULL,NULL,NULL,0,NULL,2005-07-14,2009-01-30,0,0,NULL,NULL,NULL
096,CORPS OF ENGINEERS - CIVIL WORKS (USACE),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
097,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
10,"SENATE, THE",10,NULL,Other Agencies,All Other Customers,0,NULL,NULL,NULL,0,0,All Other Customers,0,NULL
1000,THE JUDICIAL BRANCH,1000,NULL,Other Agencies,All Other Customers,0,NULL,2002-04-30,2013-09-30,0,0,All Other Customers,0,NULL
1001,SUPREME COURT OF THE UNITED STATES,1001,NULL,Other Agencies,All Other Customers,0,NULL,NULL,NULL,0,0,All Other Customers,0,NULL
1002,U.S. COURTS OF APPEALS-JUDICIAL CIRCUITS (EXCEPT FED CIR),1002,NULL,Other Agencies,All Other Customers,0,NULL,2003-03-28,2010-01-19,0,0,All Other Customers,0,NULL
1003,U.S. COURT OF APPEALS FOR THE FEDERAL CIRCUIT,1003,NULL,Other Agencies,All Other Customers,0,NULL,2005-07-01,2009-12-16,0,0,All Other Customers,0,NULL
1004,U.S. COURT OF INTERNATIONAL TRADE,1004,NULL,Other Agencies,All Other Customers,0,NULL,2004-03-01,2007-04-12,0,0,All Other Customers,0,NULL
1005,U.S. CLAIMS COURT,1005,NULL,Other Agencies,All Other Customers,0,NULL,2005-03-01,2010-03-05,0,0,All Other Customers,0,NULL
1012,U.S. DISTRICT AND TERRITORIAL COURTS,1012,NULL,Other Agencies,All Other Customers,0,NULL,2004-01-05,2010-03-11,0,0,All Other Customers,0,NULL
1018,JUDICIAL PANEL ON MULTIDISTRICT LITIGATION,1018,NULL,Other Agencies,All Other Customers,0,NULL,NULL,NULL,0,0,All Other Customers,0,NULL
1019,TEMPORARY EMERGENCY COURT OF APPEALS,1019,NULL,Other Agencies,All Other Customers,0,NULL,2007-11-30,2007-11-30,0,0,All Other Customers,0,NULL
1021,BANKRUPTCY COURTS,1021,NULL,Other Agencies,All Other Customers,0,NULL,2002-10-01,2010-03-08,0,0,All Other Customers,0,NULL
1023,FEDERAL PUBLIC DEFENDERS,1023,NULL,Other Agencies,All Other Customers,0,NULL,2006-08-18,2010-01-21,0,0,All Other Customers,0,NULL
1025,COURT SECURITY,1025,NULL,Other Agencies,All Other Customers,0,NULL,2006-08-07,2009-02-10,0,0,All Other Customers,0,NULL
1027,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,1027,NULL,Other Agencies,All Other Customers,0,NULL,2001-01-24,3011-01-03,0,0,All Other Customers,0,NULL
1028,FEDERAL JUDICIAL CENTER,1028,NULL,Other Agencies,All Other Customers,0,NULL,2004-08-18,2008-06-12,0,0,All Other Customers,0,NULL
1037,SPECIAL RAIL REORGANIZATION COURT,1037,NULL,Other Agencies,All Other Customers,0,NULL,2007-09-28,2007-09-28,0,0,All Other Customers,0,NULL
1050,CHIEF JUSITCE OF THE UNITED STATES,1001,NULL,Other Agencies,Supreme Court,0,NULL,NULL,NULL,0,0,Supreme Court,0,NULL
1051,ASSOCIATE JUSTICES OF THE SUPREME COURT,1001,NULL,Other Agencies,Supreme Court,0,NULL,2003-12-16,2008-02-26,0,0,Supreme Court,0,NULL
1059,"SUPREME COURT, EXCEPT JUSTICES",1001,NULL,Other Agencies,Supreme Court,0,NULL,NULL,NULL,0,0,Supreme Court,0,NULL
1060,JUDICIAL CONFERENCE OF THE UNITED STATES,1001,NULL,Other Agencies,Supreme Court,0,NULL,NULL,NULL,0,0,Supreme Court,0,NULL
1100,EXECUTIVE OFFICE OF THE PRESIDENT,NULL,NULL,Other Agencies,Exec Office,0,NULL,1978-10-01,2013-10-25,0,0,Exec Office,0,NULL
1101,PRESIDENT OF THE UNITED STATES,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1102,NATIONAL SECURITY COUNCIL,1100,NULL,Other Agencies,Exec Office,0,NULL,2007-02-09,2010-02-18,0,0,Exec Office,0,NULL
1103,OFFICE OF MANAGEMENT AND BUDGET,1100,NULL,Other Agencies,Exec Office,0,NULL,2005-06-01,2010-07-20,0,0,Exec Office,0,NULL
1105,OFFICE OF ADMINISTRATION,1100,NULL,Other Agencies,Exec Office,0,NULL,1978-10-15,2013-09-30,0,0,Exec Office,0,NULL
1109,OFFICE OF THE UNITED STATES TRADE REPRESENTATIVE,1100,NULL,Other Agencies,Exec Office,0,NULL,2006-06-29,2010-03-09,0,0,Exec Office,0,NULL
1110,OFFICE OF POLICY DEVELOPMENT,1100,NULL,Other Agencies,Exec Office,0,NULL,2007-06-15,2010-02-03,0,0,Exec Office,0,NULL
1112,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,1100,NULL,Other Agencies,Exec Office,0,NULL,2006-10-01,2010-02-12,0,0,Exec Office,0,NULL
1113,COUNCIL OF ECONOMIC ADVISORS,1100,NULL,Other Agencies,Exec Office,0,NULL,2006-09-30,2009-09-30,0,0,Exec Office,0,NULL
1117,WHITE HOUSE OFFICE,1100,NULL,Other Agencies,Exec Office,0,NULL,2004-01-29,2010-02-25,0,0,Exec Office,0,NULL
1118,EXECUTIVE RESIDENCE AT THE WHITE HOUSE,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1119,COUNCIL ON ENVIRONMENTAL QUALITY,1100,NULL,Other Agencies,Exec Office,0,NULL,2006-10-01,2009-05-28,0,0,Exec Office,0,NULL
1120,NATIONAL CRITICAL MATERIALS COUNCIL,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1121,"DIRECTOR, OMB",1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1123,WHITE HOUSE CONFERENCE ON INDIAN EDUCATION,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1127,OFFICE OF THE NATIONAL DRUG CONTROL POLICY,1100,NULL,Other Agencies,Exec Office,0,NULL,2004-04-01,2010-02-22,0,0,Exec Office,0,NULL
1129,"OMB, EXCEPT DIRECTOR",1100,NULL,Other Agencies,Exec Office,0,NULL,2008-02-27,2008-06-05,0,0,Exec Office,0,NULL
1130,NATIONAL SPACE COUNCIL,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1141,AFRICAN DEVELOPMENT FOUNDATION,1141,NULL,State and IAP,AFRICAN DEVELOPMENT FOUNDATION,1,NULL,2003-06-07,2013-10-01,0,0,AFRICAN DEVELOPMENT FOUNDATION,0,NULL
1143,INTER-AMERICAN FOUNDATION,1100,NULL,State and IAP,INTER-AMERICAN FOUNDATION,1,NULL,2003-09-22,2013-10-17,0,0,INTER-AMERICAN FOUNDATION,0,NULL
1145,PEACE CORPS,NULL,NULL,State and IAP,PEACE CORPS,1,NULL,1978-09-30,2013-09-30,0,0,PEACE CORPS,0,NULL
1148,OFFICE OF HOMELAND SECURITY,1100,NULL,Other Agencies,Exec Office,0,NULL,2005-12-01,2010-01-21,0,0,Exec Office,0,NULL
1150,INTL DEVELOPMENT COOPERATION AGENCY (EXCLUDES OPIC),1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1151,"OFFICE OF THE DIRECTOR, IDCA",1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1152,AGENCY FOR INTERNATIONAL DEVELOPMENT,NULL,NULL,State and IAP,USAID,1,NULL,1978-10-01,2013-09-26,0,0,USAID,0,NULL
1153,UNITED STATES TRADE AND DEVELOPMENT AGENCY,NULL,NULL,State and IAP,NULL,0,NULL,1987-06-01,2013-10-01,0,0,NULL,0,NULL
1160,OFFICE OF THE VICE PRESIDENT OF THE UNITED STATES,1100,NULL,Other Agencies,Exec Office,0,NULL,2006-09-29,2010-03-03,0,0,Exec Office,0,NULL
1162,DEVELOPMENT COORDINATION COMMITTEE,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
1170,COMMISSION ON THE INTELLIGENCE CAPABILITIES OF THE U.S REGARDING WEAPONS OF MASS DESTRUCTION,NULL,NULL,NULL,NULL,0,NULL,2009-01-22,2009-01-22,0,0,NULL,NULL,NULL
11CA,WEST AFRICAN RICE DEVELOPMENT ASSOCIATION,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DA,INTERNATIONAL DEVELOPMENT ASSOCIATION,1100,NULL,Other Agencies,Exec Office,0,NULL,2004-03-22,2006-10-02,0,0,Exec Office,0,NULL
11DB,AFRICAN DEVELOPMENT FUND,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DE,ASIAN DEVELOPMENT BANK,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DF,INTERNATIONAL FINANCE CORPORATION,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DG,INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DH,INTER-AMERICAN DEVELOPMENT BANK,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DM,INTERNATIONAL MONETARY FUND,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11DR,INTERNATL BANK FOR RECONSTRUCTION & DEV (WORLD BANK),1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11EA,CONSULTATIVE GROUP ON INTERNATIONAL AGRICULTURAL RESEARCH,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11RF,MULTINATIONAL FORCE AND OBSERVERS,1100,NULL,Other Agencies,Exec Office,0,NULL,NULL,NULL,0,0,Exec Office,0,NULL
11TE,CONVNTN ON INTERNATL TRD IN ENDANGERED SPECIES OF WILD FAUN,1100,NULL,Other Agencies,Exec Office,0,NULL,2008-01-29,2008-01-29,0,0,Exec Office,0,NULL
1200,"AGRICULTURE, DEPARTMENT OF",12C2,NULL,Other Agencies,Agriculture,0,NULL,1978-10-15,2013-09-04,0,0,Agriculture,0,NULL
1201,IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
1202,OFFICE OF EXECUTIVE SECRETARIAT,1200,NULL,Other Agencies,NULL,0,NULL,2004-08-09,2004-08-09,0,0,NULL,0,NULL
1203,OFFICE OF THE GENERAL COUNSEL,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-09-15,2013-09-30,0,0,Agriculture,0,NULL
1204,OFFICE OF INSPECTOR GENERAL,1204,NULL,Other Agencies,Agriculture,0,NULL,1978-10-01,2013-09-30,0,0,Agriculture,0,NULL
1205,"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-09-30,0,0,Agriculture,0,NULL
1207,OFFICE OF GOVERNMENTAL AND PUBLIC AFFAIRS,1200,NULL,Other Agencies,NULL,NULL,NULL,2003-09-30,NULL,0,0,NULL,0,NULL
1208,OFFICE OF COMMUNICATIONS,1200,NULL,Other Agencies,Agriculture,0,NULL,2005-09-30,2013-09-30,0,0,Agriculture,0,NULL
120A,USDA ADMINISTRATION,1200,NULL,Other Agencies,Agriculture,0,NULL,1979-10-15,2013-09-27,0,0,Agriculture,0,NULL
1211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
1215,"USDA, OFFICE OF OPERATIONS",1215,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-09-30,0,0,Agriculture,0,NULL
1217,OFFICE OF FINANCE AND MANAGEMENT,NULL,NULL,Other Agencies,Agriculture,0,NULL,1979-10-15,2013-09-12,0,0,Agriculture,0,NULL
1220,AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1978-10-15,2012-09-13,0,0,Agriculture,0,NULL
1222,FEDERAL CROP INSURANCE CORPORATION,1200,NULL,Other Agencies,Agriculture,0,NULL,1991-06-30,2012-11-29,0,0,Agriculture,0,NULL
1223,FOREIGN AGRICULTURAL SERVICE,1200,NULL,Other Agencies,Agriculture,0,NULL,1979-10-15,2013-09-30,0,0,Agriculture,0,NULL
1224,OFFICE OF INTERNATIONAL COOPERATION AND DEVELOPMENT,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-09-30,2005-01-25,0,0,Agriculture,0,NULL
1226,FOREST SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2009-09-30,0,0,Agriculture,0,NULL
1227,SOIL CONSERVATION SERVICE,1227,NULL,Other Agencies,Agriculture,0,NULL,1978-10-15,2013-01-07,0,0,Agriculture,0,NULL
122E,ECONOMICS,1200,NULL,Other Agencies,NULL,NULL,NULL,2003-09-30,NULL,0,0,NULL,0,NULL
122S,SCIENCE AND EDUCATION,1200,NULL,Other Agencies,NULL,NULL,NULL,1978-10-15,NULL,0,0,NULL,0,NULL
1230,AGRICULTURAL RESEARCH SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1978-10-15,2013-09-25,0,0,Agriculture,0,NULL
1231,EXTENSION xxx,1200,NULL,Other Agencies,NULL,0,NULL,2001-10-15,2002-02-15,0,0,NULL,0,NULL
1232,EXTENSION,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-05-08,2005-09-08,0,0,Agriculture,0,NULL
1236,FARMERS HOME ADMINISTRATION,NULL,NULL,Other Agencies,Agriculture,0,NULL,1978-10-15,2013-09-12,0,0,Agriculture,0,NULL
1237,RURAL ELECTRIFICATION ADMINISTRATION,1200,NULL,Other Agencies,Agriculture,0,NULL,2003-09-30,2013-09-30,0,0,Agriculture,0,NULL
123C,123C,1200,NULL,Other Agencies,NULL,0,NULL,2003-11-12,2005-05-23,0,0,NULL,0,NULL
1241,AGRICULTURAL MARKETING SERVICE,1241,NULL,Other Agencies,Agriculture,0,NULL,1999-01-15,2012-12-11,0,0,Agriculture,0,NULL
1242,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,NULL,NULL,Other Agencies,Agriculture,0,NULL,1978-11-15,2013-09-30,0,0,Agriculture,0,NULL
1251,FOOD AND NUTRITION SERVICE,1251,NULL,Other Agencies,Agriculture,0,NULL,1979-06-15,2013-09-26,0,0,Agriculture,0,NULL
1252,FOOD SAFETY AND INSPECTION SERVICE,1252,NULL,Other Agencies,Agriculture,0,NULL,1999-10-15,2013-01-07,0,0,Agriculture,0,NULL
1259,ECONOMICS MANAGEMENT STAFF,1200,NULL,Other Agencies,Agriculture,0,NULL,NULL,NULL,0,0,Agriculture,0,NULL
