AgencyID	OfficeID	OfficeName	MinOfSignedDate	MaxOfSignedDate
12BC	1212BC	"USDA, OFF OF PARTNERSHIP PUBLIC ENG"	00:00.0	00:00.0
12C2	0355	"R1, CUSTER GALLATIN NF"	00:00.0	00:00.0
12C2	0355	BILLINGS OFFICE	00:00.0	00:00.0
12C2	0398	GALLATIN NF	00:00.0	00:00.0
12C2	0398	CUSTER GALLATIN NATIONAL FOREST	00:00.0	00:00.0
12C2	120109	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120109	"ALASKA REGIONAL OFFICE, R10"	00:00.0	00:00.0
12C2	120112	TONGASS NATIONAL FOREST	00:00.0	00:00.0
12C2	120112	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120114	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120114	TONGASS NF SITKA OFFICE	00:00.0	00:00.0
12C2	120120	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	120120	CHUGACH NATIONAL FOREST	00:00.0	00:00.0
12C2	120252	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	120252	NEZ PERCE-CLEARWATER NATIONAL FOREST	00:00.0	00:00.0
12C2	120261	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120261	BOISE NATIONAL FOREST	00:00.0	00:00.0
12C2	120267	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	120267	SAWTOOTH NATIONAL FOREST	00:00.0	00:00.0
12C2	120281	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120281	IDAHO PANHANDLE NATIONAL FOREST	00:00.0	00:00.0
12C2	120295	"USDA FOREST SERVICE, R1"	00:00.0	00:00.0
12C2	120295	NEZ PERCE-CLEARWATER NFS	00:00.0	00:00.0
12C2	1202L3	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1202L3	SALMON AND CHALLIS NATIONAL FORESTS	00:00.0	00:00.0
12C2	1202NV	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1202NV	CARIBOU-TARGHEE NATIONAL FOREST	00:00.0	00:00.0
12C2	1202SB	INCIDENT PROCUREMENT EQUIP & SVC BR	00:00.0	00:00.0
12C2	1202SB	INCIDENT PROCUREMENT EQUIP&SVC BR	00:00.0	00:00.0
12C2	1202SB	USDA-FS PPS INCIDENT PROCUREMENT	00:00.0	00:00.0
12C2	1202WW	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1202WW	PAYETTE NATIONAL FOREST	00:00.0	00:00.0
12C2	120343	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120343	"REGIONAL OFFICE, R1"	00:00.0	00:00.0
12C2	120345	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120345	AERIAL FIRE DEPOT	00:00.0	00:00.0
12C2	120349	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120349	TRAPPER CREEK JOB CORPS -BITTERROOT NATIONAL FOREST	00:00.0	00:00.0
12C2	120351	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120351	BITTERROOT NATIONAL FOREST	00:00.0	00:00.0
12C2	120391	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120391	FLATHEAD NATIONAL FOREST	00:00.0	00:00.0
12C2	120398	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120398	CUSTER GALLATIN NATIONAL FOREST	00:00.0	00:00.0
12C2	1203H6	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1203H6	HELENA NATIONAL FOREST	00:00.0	00:00.0
12C2	1203J1	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1203J1	KOOTENAI NATIONAL FOREST	00:00.0	00:00.0
12C2	1203K0	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1203K0	LEWIS&CLARK NATIONAL FOREST	00:00.0	00:00.0
12C2	1203K0	LEWIS & CLARK NATIONAL FOREST	00:00.0	00:00.0
12C2	1203L7	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1203L7	ANACONDA JOB CORPS CENTER	00:00.0	00:00.0
12C2	1203R6	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1203R6	LOLO NATIONAL FOREST	00:00.0	00:00.0
12C2	1203TT	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1203TT	MISSOULA TECHNOLOGY AND DEVELOPMENT CENTER	00:00.0	00:00.0
12C2	120467	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120467	MOUNT HOOD NATIONAL FOREST	00:00.0	00:00.0
12C2	1204GG	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1204GG	DESCHUTES NATIONAL FOREST	00:00.0	00:00.0
12C2	1204H1	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204H1	PACIFIC NORTHWEST REGIONAL OFFICE	00:00.0	00:00.0
12C2	1204KK	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204KK	MALHEUR NATIONAL FOREST	00:00.0	00:00.0
12C2	1204M3	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204M3	WALLOWA WHITMAN NATIONAL FOREST	00:00.0	00:00.0
12C2	1204N0	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204N0	OCHOCO NATIONAL FOREST	00:00.0	00:00.0
12C2	1204N7	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204N7	ROGUE RIVER-SISIKIYOU NATL FOREST	00:00.0	00:00.0
12C2	1204N7	ROGUE RIVER-SISKIYOU NATL FOREST	00:00.0	00:00.0
12C2	1204P5	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204P5	FREMONT WINEMA NATIONAL FOREST	00:00.0	00:00.0
12C2	1204R3	"USDA FOREST SERVICE, R6"	00:00.0	00:00.0
12C2	1204R3	UMATILLA NATIONAL FOREST R6	00:00.0	00:00.0
12C2	1204R4	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204R4	WILLAMETTE NATIONAL FOREST	00:00.0	00:00.0
12C2	1204T0	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1204T0	SIUSLAW NATIONAL FOREST	00:00.0	00:00.0
12C2	1204T1	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1204T1	UMPQUA NATIONAL FOREST	00:00.0	00:00.0
12C2	1204T8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204T8	WOLF CREEK JCCC	00:00.0	00:00.0
12C2	1204TT	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1204TT	ANGELL JOB CORPS	00:00.0	00:00.0
12C2	1205G0	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1205G0	CURLEW JOB CORPS	00:00.0	00:00.0
12C2	1205G1	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1205G1	COLVILLE NATIONAL FOREST	00:00.0	00:00.0
12C2	1205GG	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1205GG	OKANOGAN-WENATCHEE NATIONAL FOREST	00:00.0	00:00.0
12C2	1205K3	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1205K3	GIFFORD PINCHOT NATIONAL FOREST	00:00.0	00:00.0
12C2	1205M6	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1205M6	MT BAKER SNOQUALMIE NATIONAL FOREST	00:00.0	00:00.0
12C2	120E02	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120E02	COLUMBIA BASIN JOB CORPS	00:00.0	00:00.0
12C2	120E05	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	120E05	FORT SIMCOE JOB CORPS	00:00.0	00:00.0
12C2	120F10	"USDA  FS,  MOUNT HOOD NF"	00:00.0	00:00.0
12C2	120F10	"TIMBER LAKE CONS CENTER, MT HOOD"	00:00.0	00:00.0
12C2	120M96	USDA  FS  PACIFIC NORTHWEST RES STA	00:00.0	00:00.0
12C2	120M96	PACIFIC NORTHWEST RESEARCH STATION	00:00.0	00:00.0
12C2	121484	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	121484	WHITE MOUNTAIN NATIONAL FOREST	00:00.0	00:00.0
12C2	121681	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	121681	GREEN MOUNTAIN NATIONAL FOREST	00:00.0	00:00.0
12C2	1224H8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1224H8	ALLEGHENY NATIONAL FOREST	00:00.0	00:00.0
12C2	123187	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	123187	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	123187	WASHINGTON OFFICE	00:00.0	00:00.0
12C2	123395	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	123395	GEORGE WASHINGTON/JEFFERSON NATIONAL FOREST	00:00.0	00:00.0
12C2	1233A4	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1233A4	FLATWOODS JOB CORPS CENTER	00:00.0	00:00.0
12C2	1233GX	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1233GX	HARPERS FERRY JOB CORPS	00:00.0	00:00.0
12C2	123434	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	123434	MONONGAHELA NATIONAL FOREST	00:00.0	00:00.0
12C2	12344V	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	12344V	AQM ENTERPRISE ACTIVITIES	00:00.0	00:00.0
12C2	123604	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	123604	NORTHERN RESEARCH STATION	00:00.0	00:00.0
12C2	124146	USDA  FOREST SERIVCE	00:00.0	00:00.0
12C2	124146	NATIONAL FORESTS IN ALABAMA	00:00.0	00:00.0
12C2	124283	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	124283	NATIONAL FORESTS IN FLORIDA	00:00.0	00:00.0
12C2	12435H	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	12435H	CHATTAHOOCHEE OCONNE NATL FOREST	00:00.0	00:00.0
12C2	1243N9	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1243N9	SOUTHERN REGION FIRE AVIATION	00:00.0	00:00.0
12C2	124419	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	124419	USDA FOREST SERVICE-SPOC EAST	00:00.0	00:00.0
12C2	12447U	"USDA  FOREST SERVICE, R8"	00:00.0	00:00.0
12C2	12447U	NATIONAL FORESTS IN MISSISSIPPI	00:00.0	00:00.0
12C2	124550	USDA FS	00:00.0	00:00.0
12C2	124550	NATIONAL FORESTS IN NORTH CAROLINA	00:00.0	00:00.0
12C2	124567	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	124567	SCHENCK JOB CORPS CCC	00:00.0	00:00.0
12C2	124568	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	124568	SOUTHERN RESEARCH STATION	00:00.0	00:00.0
12C2	1245LE	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1245LE	OCONALUFTEE JOB CORPS CCC	00:00.0	00:00.0
12C2	124660	USDA FOREST SERVICE SAVANNAH RIVER	00:00.0	00:00.0
12C2	124660	SAVANNAH RIVER SITE	00:00.0	00:00.0
12C2	124670	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	124670	FRANCIS MARION & SUMTER NATL FORESTS	00:00.0	00:00.0
12C2	124670	FRANCIS MARION&SUMTER NATL FORESTS	00:00.0	00:00.0
12C2	124756	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	124756	CHEROKEE NATIONAL FOREST	00:00.0	00:00.0
12C2	124763	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	124763	JACOBS CREEK JOB CORPS CCC	00:00.0	00:00.0
12C2	124826	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	124826	GREAT ONYX JOB CORPS CENTER	00:00.0	00:00.0
12C2	124870	USDA FS	00:00.0	00:00.0
12C2	124870	LAND BETWEEN THE LAKES NRA	00:00.0	00:00.0
12C2	1251A8	SHAWNEE NATIONAL FOREST	00:00.0	00:00.0
12C2	1251A8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1251KN	MIDEWIN NATIONAL TALLGRASS PRAIRIE	00:00.0	00:00.0
12C2	1251KN	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1252B1	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1252B1	HOOSIER NATIONAL FOREST	00:00.0	00:00.0
12C2	12531A	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	12531A	DANIEL BOONE NATIONAL FOREST	00:00.0	00:00.0
12C2	12531H	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	12531H	FRENCHBURG JOB CORPS CENTER	00:00.0	00:00.0
12C2	12531N	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	12531N	PINE KNOT JOB CORPS CCC	00:00.0	00:00.0
12C2	1254A4	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1254A4	HURON MANISTEE NATIONAL FOREST	00:00.0	00:00.0
12C2	1254A7	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1254A7	OTTAWA NATIONAL FOREST	00:00.0	00:00.0
12C2	1254B0	USDA  US FOREST SERVICE	00:00.0	00:00.0
12C2	1254B0	HIAWATHA NATIONAL FOREST	00:00.0	00:00.0
12C2	1255N9	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1255N9	WAYNE NATIONAL FOREST	00:00.0	00:00.0
12C2	125680	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	125680	FOREST PRODUCTS LABORATORY	00:00.0	00:00.0
12C2	125699	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	125699	BLACKWELL JOB CORPS CENTER	00:00.0	00:00.0
12C2	12569R	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	12569R	USDA-FS PPS INCIDENT PROCUREMENT	00:00.0	00:00.0
12C2	1256A6	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1256A6	CHEQUAMEGON-NICOLET NATIONAL FOREST	00:00.0	00:00.0
12C2	126392	USDA  FS	00:00.0	00:00.0
12C2	126392	CHIPPEWA NATIONAL FOREST	00:00.0	00:00.0
12C2	1263A9	USDA FS	00:00.0	00:00.0
12C2	1263A9	SUPERIOR NATIONAL FOREST	00:00.0	00:00.0
12C2	126441	USDA FS	00:00.0	00:00.0
12C2	126441	MINGO JOB CORPS CENTER	00:00.0	00:00.0
12C2	1264R4	USDA FOREST SERVICE  FOREST SUPVSR	00:00.0	00:00.0
12C2	1264R4	MARK TWAIN NATIONAL FOREST	00:00.0	00:00.0
12C2	1265RA	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1265RA	PINE RIDGE JOB CORPS CCC	00:00.0	00:00.0
12C2	1265T0	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1265T0	NEBRASKA NATIONAL FOREST	00:00.0	00:00.0
12C2	1266X1	"USDA FOREST SERVICE, R1"	00:00.0	00:00.0
12C2	1266X1	DAKOTA PRAIRIE GRASSLANDS	00:00.0	00:00.0
12C2	1267T0	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1267T0	BLACK HILLS NATIONAL FOREST	00:00.0	00:00.0
12C2	1267U4	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1267U4	BOXELDER JOB CORPS CENTER	00:00.0	00:00.0
12C2	127512	USDA FS R3 SOUTHWESTERN REGION	00:00.0	00:00.0
12C2	127512	LINCOLN NATIONAL FOREST	00:00.0	00:00.0
12C2	127A86	OUACHITA NATIONAL FOREST	00:00.0	00:00.0
12C2	127A86	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127DF5	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127DF5	NATIONAL FORESTS & GRASSLANDS IN TEXAS	00:00.0	00:00.0
12C2	127DF5	NATIONAL FORESTS&GRASSLANDS IN TEXAS	00:00.0	00:00.0
12C2	127J07	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127J07	OUACHITA CIVILIAN CONSERVATION CTR	00:00.0	00:00.0
12C2	127J18	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127J18	OZARK/ST. FRANCIS NATIONAL FOREST	00:00.0	00:00.0
12C2	127J28	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127J28	CASS JOB CORPS CENTER	00:00.0	00:00.0
12C2	127K11	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	127K11	KISATCHIE NATIONAL FOREST	00:00.0	00:00.0
12C2	128156	FOREST SERVICE - GC DISPATCH CTR	00:00.0	00:00.0
12C2	128156	KAIBAB NATIONAL FOREST	00:00.0	00:00.0
12C2	128167	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128167	COCONINO NATIONAL FOREST	00:00.0	00:00.0
12C2	128173	USDA FS	00:00.0	00:00.0
12C2	128173	APACHE-SITGREAVES NATIONAL FORESTS	00:00.0	00:00.0
12C2	128180	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128180	TONTO NATIONAL FOREST	00:00.0	00:00.0
12C2	128191	USDA FS	00:00.0	00:00.0
12C2	128191	PRESCOTT NATIONAL FOREST	00:00.0	00:00.0
12C2	128197	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	128197	CORONADO NATIONAL FOREST	00:00.0	00:00.0
12C2	1282AK	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282AK	RIO GRANDE NATIONAL FOREST	00:00.0	00:00.0
12C2	1282AT	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282AT	ARAPAHO AND ROOSEVELT NATIONAL FOREST	00:00.0	00:00.0
12C2	1282B1	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282B1	USDA FOREST SERVICE-SPOC IM	00:00.0	00:00.0
12C2	1282BH	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1282BH	PIKE AND SAN ISABEL NATIONAL FOREST	00:00.0	00:00.0
12C2	1282CS	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282CS	SAN JUAN NATIONAL FOREST	00:00.0	00:00.0
12C2	1282D7	USDA  FOREST SERIVCE	00:00.0	00:00.0
12C2	1282D7	WHITE RIVER NATIONAL FOREST	00:00.0	00:00.0
12C2	1282E6	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282E6	COLLBRAN JOB CORPS	00:00.0	00:00.0
12C2	1282FT	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282FT	ROCKY MTN RESEARCH STATION	00:00.0	00:00.0
12C2	1282X9	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1282X9	ROCKY MOUNTAIN REGIONAL OFFICE	00:00.0	00:00.0
12C2	1282Y9	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1282Y9	"GRAND MESA, UNCOMPAHGRE & GUNNISON NATIONAL FOREST"	00:00.0	00:00.0
12C2	128371	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128371	"SOUTHWESTERN REGIONAL OFFICE, REGION 3"	00:00.0	00:00.0
12C2	128379	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128379	SANTA FE NATIONAL FOREST	00:00.0	00:00.0
12C2	128399	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	128399	GILA NATIONAL FOREST	00:00.0	00:00.0
12C2	1283A7	"USDA, FOREST SERVICE"	00:00.0	00:00.0
12C2	1283A7	CARSON NATIONAL FOREST	00:00.0	00:00.0
12C2	1283D5	USDA FS CIBOLA NATIONAL FOREST	00:00.0	00:00.0
12C2	1283D5	CIBOLA NATIONAL FOREST	00:00.0	00:00.0
12C2	128462	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	128462	FISHLAKE NATIONAL FOREST	00:00.0	00:00.0
12C2	128472	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128472	MANTI-LASAL NATIONAL FOREST	00:00.0	00:00.0
12C2	128486	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128486	DIXIE NATIONAL FOREST	00:00.0	00:00.0
12C2	128499	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128499	ASHLEY NATIONAL FOREST	00:00.0	00:00.0
12C2	1284A0	USDA FOREST SVC  FOREST SUPVSR	00:00.0	00:00.0
12C2	1284A0	UNITA-WASATCH-CACHE NATIONAL FOREST	00:00.0	00:00.0
12C2	1284JC	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1284JC	GEOSPATIAL SERVICE&TECHNOLOGY CENTER	00:00.0	00:00.0
12C2	1284JC	GEOSPATIAL SERVICE & TECHNOLOGY CENTER	00:00.0	00:00.0
12C2	1284JP	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1284JP	WEBER BASIN JOB CORPS	00:00.0	00:00.0
12C2	1284M8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1284M8	"INTERMOUNTAIN REGIONAL OFFICE, REGION 4"	00:00.0	00:00.0
12C2	128508	USDA  FS LARAMIE RANGER DISTRICT	00:00.0	00:00.0
12C2	128508	MEDICINE BOW-ROUTT NATIONAL FOREST	00:00.0	00:00.0
12C2	128538	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	128538	BIGHORN NATIONAL FOREST	00:00.0	00:00.0
12C2	128544	USDA  FOREST SERIVCE	00:00.0	00:00.0
12C2	128544	SHOSHONE NATIONAL FOREST	00:00.0	00:00.0
12C2	128555	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	128555	BRIDGER-TETON NATIONAL FOREST	00:00.0	00:00.0
12C2	1291S8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291S8	"PACIFIC SOUTHWEST REGION, REGION 5"	00:00.0	00:00.0
12C2	1291T5	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1291T5	ANGELES NATIONAL FOREST	00:00.0	00:00.0
12C2	1291U4	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291U4	CLEVELAND NATIONAL FOREST	00:00.0	00:00.0
12C2	1291U9	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291U9	ELDORADO NATIONAL FOREST	00:00.0	00:00.0
12C2	1291V9	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291V9	LAKE TAHOE BASIN MANAGEMENT UNIT	00:00.0	00:00.0
12C2	1291W2	USDA  FOREST SVC	00:00.0	00:00.0
12C2	1291W2	INYO NATIONAL FOREST	00:00.0	00:00.0
12C2	1291W8	KLAMATH NATIONAL FOREST	00:00.0	00:00.0
12C2	1291W8	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291Y9	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	1291Y9	LOS PADRES NATIONAL FOREST	00:00.0	00:00.0
12C2	1291Z9	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1291Z9	MENDOCINO NATIONAL FOREST	00:00.0	00:00.0
12C2	129360	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	129360	HUMBOLDT-TOIYABE NATIONAL FOREST	00:00.0	00:00.0
12C2	1294TZ	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	1294TZ	WESTERN ZONE	00:00.0	00:00.0
12C2	1296J1	"USDA FS, CLEVELAND NF"	00:00.0	00:00.0
12C2	1296J1	DESCANSO RANGER DISTRICT	00:00.0	00:00.0
12C2	129702	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129702	USDA FOREST SERVICE-SPOC SW	00:00.0	00:00.0
12C2	129A08	USDA  FSM MODOC NATIONAL FOREST	00:00.0	00:00.0
12C2	129A08	MODOC NATIONAL FOREST	00:00.0	00:00.0
12C2	129A14	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129A14	SAN BERNARDINO NATIONAL FOREST	00:00.0	00:00.0
12C2	129A23	SEQUOIA NATIONAL FOREST	00:00.0	00:00.0
12C2	129A23	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129A28	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129A28	SHASTA-TRINITY NATIONAL FOREST	00:00.0	00:00.0
12C2	129A40	USDA FOREST SEVICE	00:00.0	00:00.0
12C2	129A40	SIERRA NATIONAL FOREST	00:00.0	00:00.0
12C2	129A47	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129A47	SIX RIVERS NATIONAL FOREST	00:00.0	00:00.0
12C2	129A55	USDA FS STANISLAUS NF	00:00.0	00:00.0
12C2	129A55	STANILAUS NATIONAL FOREST	00:00.0	00:00.0
12C2	129A63	TAHOE NATIONAL FOREST	00:00.0	00:00.0
12C2	129A63	USDA FOREST SVC	00:00.0	00:00.0
12C2	129A72	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129A72	SAN DIMAS TECHNOLOGY AND DEVELOPMENT CENTER	00:00.0	00:00.0
12C2	129AD6	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	129AD6	PACIFIC SOUTHWEST RESEARCH STATION	00:00.0	00:00.0
12C2	129AD6	PACIFIC SOUTHWEST FOREST AND RANGE EXPERIMENT STATION	00:00.0	00:00.0
12C2	129JGA	PLUMAS NATIONAL FOREST	00:00.0	00:00.0
12C2	129JGA	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129JNE	USDA FOREST SERVICE	00:00.0	00:00.0
12C2	129JNE	LASSEN NATIONAL FOREST	00:00.0	00:00.0
12C2	12F31B	USDA  FOREST SERVICE	00:00.0	00:00.0
12C2	12F31B	EL YUNQUE / CARIBBEAN NATIONAL FOREST	00:00.0	00:00.0
12C2	12F430	USDA FS  - IITF	00:00.0	00:00.0
12C2	12F430	INTERNATIONAL INSTITUTE OF TROPICAL FORESTRY	00:00.0	00:00.0
