contract_award_unique_key,Error,AgencyID,awarding_agency_code,award_id_piid,parent_award_id_piid,parent_award_agency_id,award_or_idv_flag,CSIScontractID,CSISidvpiidID,parent_contract_award_unique_key,manual_parent_contract_award_unique_key,manual_award_or_idv_flag,IsParentCSIScontractID
CONT_AWD_DACW4385H0040_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACW4385H0040,,,AWARD,563030,23356,NULL,NULL,NULL,1
CONT_AWD_DACW4385H0046_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACW4385H0046,,,AWARD,563031,23356,NULL,NULL,NULL,1
CONT_AWD_DACW4385H0047_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACW4385H0047,,,AWARD,563032,23356,NULL,NULL,NULL,1
CONT_AWD_DACW2586C0019_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACW2586C0019,,,AWARD,555200,23356,NULL,NULL,NULL,1
CONT_AWD_DACW2586C0020_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACW2586C0020,,,AWARD,555201,23356,NULL,NULL,NULL,1
CONT_AWD_DAKF1978H0066_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAKF1978H0066,,,AWARD,608342,23356,NULL,NULL,NULL,1
CONT_AWD_DAKF5774C0345_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAKF5774C0345,,,AWARD,614959,23356,NULL,NULL,NULL,1
CONT_AWD_DAKF5785C0002_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAKF5785C0002,,,AWARD,614966,23356,NULL,NULL,NULL,1
CONT_AWD_DAKF4074C0320_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAKF4074C0320,,,AWARD,613734,23356,NULL,NULL,NULL,1
CONT_AWD_DAKF4095C0476_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAKF4095C0476,,,AWARD,613741,23356,NULL,NULL,NULL,1
CONT_AWD_DCA20097H0002_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DCA20097H0002,,,AWARD,626107,23356,NULL,NULL,NULL,1
CONT_AWD_DEAC3497RF01328_8900_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,8900,89,DEAC3497RF01328,,,AWARD,629166,23356,NULL,NULL,NULL,1
CONT_AWD_DEAM6597WG29899_8900_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,8900,NULL,DEAM6597WG29899,,,AWARD,633935,23356,NULL,NULL,NULL,1
CONT_AWD_DOLJ049F10022_1605_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,1605,1601,DOLJ049F10022,,,AWARD,1025698,23356,NULL,NULL,NULL,1
CONT_AWD_DOLJ079E25667_1605_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,1605,1601,DOLJ079E25667,,,AWARD,1026201,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300CDNX049_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG2300CDNX049,,,AWARD,1028765,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DADW139_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DADW139,,,AWARD,1028771,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DDNJ001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DDNJ001,,,AWARD,1028776,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DH88041_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DH88041,,,AWARD,1028778,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DMM3A01_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DMM3A01,,,AWARD,1028779,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DPPA209_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DPPA209,,,AWARD,1028780,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300DTE4001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300DTE4001,,,AWARD,1028783,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2300XADW225_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2300XADW225,,,AWARD,1028795,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2301D625211_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,69,DTCG2301D625211,,,AWARD,1028818,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2302CQCX100_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG2302CQCX100,,,AWARD,1028862,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2395DQMAA01_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2395DQMAA01,,,AWARD,1029113,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2396CASR009_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2396CASR009,,,AWARD,1029114,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW001_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2398CADW001,,,AWARD,1029128,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8300C3AC114_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8300C3AC114,,,AWARD,1033154,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8300N3WF040_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8300N3WF040,,,AWARD,1033219,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3803P100001_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG3803P100001,,,AWARD,1030503,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW002_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2398CADW002,,,AWARD,1029129,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CADW003_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2398CADW003,,,AWARD,1029130,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2398CAWL501_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG2398CAWL501,,,AWARD,1029133,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2399DPPH009_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG2399DPPH009,,,AWARD,1029151,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2703P3SDF11_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG2703P3SDF11,,,AWARD,1029415,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG2903P8S3007_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG2903P8S3007,,,AWARD,1029524,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P100122_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P100122,,,AWARD,1029831,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P100416_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P100416,,,AWARD,1029866,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201526_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P201526,,,AWARD,1029926,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201573_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P201573,,,AWARD,1029927,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P201602_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P201602,,,AWARD,1029928,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3800P202014_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3800P202014,,,AWARD,1029946,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3898D200003_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3898D200003,,,AWARD,1030697,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3900DA00012_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3900DA00012,,,AWARD,1030755,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3999DQAD053_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG3999DQAD053,,,AWARD,1030807,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG3999DQXM006_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG3999DQXM006,,,AWARD,1030809,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8400A800099_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8400A800099,,,AWARD,1033789,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8400CAA1001_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8400CAA1001,,,AWARD,1033793,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8400CAA7006_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8400CAA7006,,,AWARD,1033803,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8400NAA5001_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8400NAA5001,,,AWARD,1033814,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8401A100064_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8401A100064,,,AWARD,1033831,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8401A900042_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8401A900042,,,AWARD,1033860,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8401CAA5004_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8401CAA5004,,,AWARD,1033870,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A500107_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8402A500107,,,AWARD,1033904,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A700081_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8402A700081,,,AWARD,1033907,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A900050_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8402A900050,,,AWARD,1033921,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402A900053_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8402A900053,,,AWARD,1033924,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402CAA5003_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8402CAA5003,,,AWARD,1033929,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4002D40002_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG4002D40002,,,AWARD,1031119,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4002D50015_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG4002D50015,,,AWARD,1031128,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4003D50006_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG4003D50006,,,AWARD,1031305,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4003D60007_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG4003D60007,,,AWARD,1031311,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4401PTED179_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG4401PTED179,,,AWARD,1031495,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500F6SKCAE_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4500F6SKCAE,,,AWARD,1031551,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500F6WK021_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4500F6WK021,,,AWARD,1031553,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500N6K3028_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4500N6K3028,,,AWARD,1031564,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500N6WK075_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4500N6WK075,,,AWARD,1031573,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4500P6K3005_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4500P6K3005,,,AWARD,1031580,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4700D3EFK05_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4700D3EFK05,,,AWARD,1031713,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4700D3EFK11_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG4700D3EFK11,,,AWARD,1031714,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4701D3EFK11_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG4701D3EFK11,,,AWARD,1031742,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4703D3EFK04_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG4703D3EFK04,,,AWARD,1031807,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4797D3EFK03_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4797D3EFK03,,,AWARD,1031854,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4798C3EFK15_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4798C3EFK15,,,AWARD,1031859,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG4799D3EFK16_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG4799D3EFK16,,,AWARD,1031872,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402NAA1003_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8402NAA1003,,,AWARD,1033944,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402NAA1006_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8402NAA1006,,,AWARD,1033946,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8402NAA5000_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8402NAA5000,,,AWARD,1033950,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643PK7_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG5000D643PK7,,,AWARD,1031906,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643RV3_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG5000D643RV3,,,AWARD,1031907,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643TE4_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG5000D643TE4,,,AWARD,1031908,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5000D643TN5_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG5000D643TN5,,,AWARD,1031909,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5001D643A44_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG5001D643A44,,,AWARD,1031924,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5002D643J55_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG5002D643J55,,,AWARD,1031944,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG5099D643NG0_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG5099D643NG0,,,AWARD,1031978,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000C3FC704_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8000C3FC704,,,AWARD,1032005,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000C3FCA59_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8000C3FCA59,,,AWARD,1032021,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000D3FCB97_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8000D3FCB97,,,AWARD,1032043,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8000D3N6076_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8000D3N6076,,,AWARD,1032044,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8099D3FC706_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8099D3FC706,,,AWARD,1032537,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8200D3WCA05_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8200D3WCA05,,,AWARD,1032663,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8403NAA5009_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8403NAA5009,,,AWARD,1033996,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8497C3N4046_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8497C3N4046,,,AWARD,1034087,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8497D3TM041_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8497D3TM041,,,AWARD,1034098,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8498CQWF501_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8498CQWF501,,,AWARD,1034139,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA1009_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA1009,,,AWARD,1034190,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA5002_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA5002,,,AWARD,1034193,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA7000_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA7000,,,AWARD,1034195,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA7005_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA7005,,,AWARD,1034199,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA7007_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA7007,,,AWARD,1034201,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8499CAA8003_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8499CAA8003,,,AWARD,1034203,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8700N643080_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8700N643080,,,AWARD,1034885,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8703D643030_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8703D643030,,,AWARD,1034997,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8799D643012_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8799D643012,,,AWARD,1035041,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8800D623073_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8800D623073,,,AWARD,1035075,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8800D623086_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,DTCG8800D623086,,,AWARD,1035076,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8802C623058_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,69,DTCG8802C623058,,,AWARD,1035211,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8900C4AB184_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8900C4AB184,,,AWARD,1035376,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8900C6SH002_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8900C6SH002,,,AWARD,1035396,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8902C68A005_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8902C68A005,,,AWARD,1035504,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8902C6AS004_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8902C6AS004,,,AWARD,1035507,23356,NULL,NULL,NULL,1
CONT_AWD_DTCG8902C6WKAKE_7008_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7008,70,DTCG8902C6WKAKE,,,AWARD,1035521,23356,NULL,NULL,NULL,1
