SourceVariableName,CSISvariableName,IsDuplicate
[maj_agency_cat],[maj_agency_cat],
[mod_agency],[mod_agency],
[maj_fund_agency_cat],[maj_fund_agency_cat],
[contractingofficeagencyid],[contractingofficeagencyid],
[contractingofficeid],[contractingofficeid],
[fundingrequestingagencyid],[fundingrequestingagencyid],
[fundingrequestingofficeid],[fundingrequestingofficeid],
[fundedbyforeignentity],[fundedbyforeignentity],
[signeddate],[signeddate],
[effectivedate],[effectivedate],
[currentcompletiondate],[currentcompletiondate],
[ultimatecompletiondate],[ultimatecompletiondate],
[lastdatetoorder],[lastdatetoorder],
[contractactiontype],[contractactiontype],
[reasonformodification],[reasonformodification],
[typeofcontractpricing],[typeofcontractpricing],
[priceevaluationpercentdifference],[priceevaluationpercentdifference],
[subcontractplan],[subcontractplan],
[lettercontract],[lettercontract],
[multiyearcontract],[multiyearcontract],
[performancebasedservicecontract],[performancebasedservicecontract],
[majorprogramcode],[majorprogramcode],
[contingencyhumanitarianpeacekeepingoperation],[contingencyhumanitarianpeacekeepingoperation],
[contractfinancing],[contractfinancing],
[costorpricingdata],[costorpricingdata],
[costaccountingstandardsclause],[costaccountingstandardsclause],
[descriptionofcontractrequirement],[descriptionofcontractrequirement],
[purchasecardaspaymentmethod],[purchasecardaspaymentmethod],
[numberofactions],[numberofactions],
[nationalinterestactioncode],[nationalinterestactioncode],
[progsourceagency],[progsourceagency],
[progsourceaccount],[progsourceaccount],
[progsourcesubacct],[progsourcesubacct],
[account_title],[account_title],
[rec_flag],[rec_flag],
[typeofidc],[typeofidc],
[multipleorsingleawardidc],[multipleorsingleawardidc],
[programacronym],[programacronym],
[vendorname],[vendorname],
[vendoralternatename],[vendoralternatename],
[vendorlegalorganizationname],[vendorlegalorganizationname],
[vendordoingasbusinessname],[vendordoingasbusinessname],
[divisionname],[divisionname],
[divisionnumberorofficecode],[divisionnumberorofficecode],
[vendorenabled],[vendorenabled],
[vendorlocationdisableflag],[vendorlocationdisableflag],
[ccrexception],[ccrexception],
[streetaddress],[streetaddress],
[streetaddress2],[streetaddress2],
[streetaddress3],[streetaddress3],
[city],[city],
[state],[state],TRUE
[zipcode],[zipcode],
[vendorcountrycode],[vendorcountrycode],
[vendor_state_code],[vendor_state_code],
[vendor_cd],[vendor_cd],
[congressionaldistrict],[congressionaldistrict],TRUE
[vendorsitecode],[vendorsitecode],
[vendoralternatesitecode],[vendoralternatesitecode],
[dunsnumber],[dunsnumber],
[parentdunsnumber],[parentdunsnumber],
[phoneno],[phoneno],
[faxno],[faxno],
[registrationdate],[registrationdate],
[renewaldate],[renewaldate],
[mod_parent],[mod_parent],
[locationcode],[locationcode],
[statecode],[statecode],
[pop_state_code],[pop_state_code],
[placeofperformancecountrycode],[placeofperformancecountrycode],
[placeofperformancezipcode],[placeofperformancezipcode],
[pop_cd],[pop_cd],TRUE
[placeofperformancecongressionaldistrict],[placeofperformancecongressionaldistrict],
[psc_cat],[psc_cat],
[productorservicecode],[productorservicecode],
[systemequipmentcode],[systemequipmentcode],
[claimantprogramcode],[claimantprogramcode],
[principalnaicscode],[principalnaicscode],
[informationtechnologycommercialitemcategory],[informationtechnologycommercialitemcategory],
[gfe_gfp],[gfe_gfp],
[useofepadesignatedproducts],[useofepadesignatedproducts],
[recoveredmaterialclauses],[recoveredmaterialclauses],
[seatransportation],[seatransportation],
[contractbundling],[contractbundling],
[consolidatedcontract],[consolidatedcontract],
[countryoforigin],[countryoforigin],
[placeofmanufacture],[placeofmanufacture],
[manufacturingorganizationtype],[manufacturingorganizationtype],
[agencyid],[agencyid],
[piid],[piid],
[modnumber],[modnumber],
[transactionnumber],[transactionnumber],
[fiscal_year],[fiscal_year],
[idvagencyid],[idvagencyid],
[idvpiid],[idvpiid],
[idvmodificationnumber],[idvmodificationnumber],
[solicitationid],[solicitationid],
[extentcompeted],[extentcompeted],
[reasonnotcompeted],[reasonnotcompeted],
[numberofoffersreceived],[numberofoffersreceived],
[commercialitemacquisitionprocedures],[commercialitemacquisitionprocedures],
[commercialitemtestprogram],[commercialitemtestprogram],
[smallbusinesscompetitivenessdemonstrationprogram],[smallbusinesscompetitivenessdemonstrationprogram],
[a76action],[a76action],
[competitiveprocedures],[competitiveprocedures],
[solicitationprocedures],[solicitationprocedures],
[typeofsetaside],[typeofsetaside],
[localareasetaside],[localareasetaside],
[evaluatedpreference],[evaluatedpreference],
[fedbizopps],[fedbizopps],
[statutoryexceptiontofairopportunity],[statutoryexceptiontofairopportunity],
[organizationaltype],[organizationaltype],
[numberofemployees],[numberofemployees],
[annualrevenue],[annualrevenue],
[firm8aflag],[firm8aflag],
[hubzoneflag],[hubzoneflag],
[sdbflag],[sdbflag],
[issbacertifiedsmalldisadvantagedbusiness],[issbacertifiedsmalldisadvantagedbusiness],
[shelteredworkshopflag],[shelteredworkshopflag],
[hbcuflag],[hbcuflag],
[educationalinstitutionflag],[educationalinstitutionflag],
[womenownedflag],[womenownedflag],
[veteranownedflag],[veteranownedflag],
[srdvobflag],[srdvobflag],
[localgovernmentflag],[localgovernmentflag],
[minorityinstitutionflag],[minorityinstitutionflag],
[aiobflag],[aiobflag],
[stategovernmentflag],[stategovernmentflag],
[federalgovernmentflag],[federalgovernmentflag],
[minorityownedbusinessflag],[minorityownedbusinessflag],
[apaobflag],[apaobflag],
[tribalgovernmentflag],[tribalgovernmentflag],
[baobflag],[baobflag],
[naobflag],[naobflag],
[saaobflag],[saaobflag],
[nonprofitorganizationflag],[nonprofitorganizationflag],
[isothernotforprofitorganization],[isothernotforprofitorganization],
[isforprofitorganization],[isforprofitorganization],
[isfoundation],[isfoundation],
[haobflag],[haobflag],
[ishispanicservicinginstitution],[ishispanicservicinginstitution],
[emergingsmallbusinessflag],[emergingsmallbusinessflag],
[hospitalflag],[hospitalflag],
[contractingofficerbusinesssizedetermination],[contractingofficerbusinesssizedetermination],
[is1862landgrantcollege],[is1862landgrantcollege],
[is1890landgrantcollege],[is1890landgrantcollege],
[is1994landgrantcollege],[is1994landgrantcollege],
[isveterinarycollege],[isveterinarycollege],
[isveterinaryhospital],[isveterinaryhospital],
[isprivateuniversityorcollege],[isprivateuniversityorcollege],
[isschoolofforestry],[isschoolofforestry],
[isstatecontrolledinstitutionofhigherlearning],[isstatecontrolledinstitutionofhigherlearning],
[isserviceprovider],[isserviceprovider],
[receivescontracts],[receivescontracts],
[receivesgrants],[receivesgrants],
[receivescontractsandgrants],[receivescontractsandgrants],
[isairportauthority],[isairportauthority],
[iscouncilofgovernments],[iscouncilofgovernments],
[ishousingauthoritiespublicortribal],[ishousingauthoritiespublicortribal],
[isinterstateentity],[isinterstateentity],
[isplanningcommission],[isplanningcommission],
[isportauthority],[isportauthority],
[istransitauthority],[istransitauthority],
[issubchapterscorporation],[issubchapterscorporation],
[islimitedliabilitycorporation],[islimitedliabilitycorporation],
[isforeignownedandlocated],[isforeignownedandlocated],
[isarchitectureandengineering],[isarchitectureandengineering],
[isdotcertifieddisadvantagedbusinessenterprise],[isdotcertifieddisadvantagedbusinessenterprise],
[iscitylocalgovernment],[iscitylocalgovernment],
[iscommunitydevelopedcorporationownedfirm],[iscommunitydevelopedcorporationownedfirm],
[iscommunitydevelopmentcorporation],[iscommunitydevelopmentcorporation],
[isconstructionfirm],[isconstructionfirm],
[ismanufacturerofgoods],[ismanufacturerofgoods],
[iscorporateentitynottaxexempt],[iscorporateentitynottaxexempt],
[iscountylocalgovernment],[iscountylocalgovernment],
[isdomesticshelter],[isdomesticshelter],
[isfederalgovernmentagency],[isfederalgovernmentagency],
[isfederallyfundedresearchanddevelopmentcorp],[isfederallyfundedresearchanddevelopmentcorp],
[isforeigngovernment],[isforeigngovernment],
[isindiantribe],[isindiantribe],
[isintermunicipallocalgovernment],[isintermunicipallocalgovernment],
[isinternationalorganization],[isinternationalorganization],
[islaborsurplusareafirm],[islaborsurplusareafirm],
[islocalgovernmentowned],[islocalgovernmentowned],
[ismunicipalitylocalgovernment],[ismunicipalitylocalgovernment],
[isnativehawaiianownedorganizationorfirm],[isnativehawaiianownedorganizationorfirm],
[isotherbusinessororganization],[isotherbusinessororganization],
[isotherminorityowned],[isotherminorityowned],
[ispartnershiporlimitedliabilitypartnership],[ispartnershiporlimitedliabilitypartnership],
[isschooldistrictlocalgovernment],[isschooldistrictlocalgovernment],
[issmallagriculturalcooperative],[issmallagriculturalcooperative],
[issoleproprietorship],[issoleproprietorship],
[istownshiplocalgovernment],[istownshiplocalgovernment],
[istriballyownedfirm],[istriballyownedfirm],
[istribalcollege],[istribalcollege],
[isalaskannativeownedcorporationorfirm],[isalaskannativeownedcorporationorfirm],
[iscorporateentitytaxexempt],[iscorporateentitytaxexempt],
[iswomenownedsmallbusiness],[iswomenownedsmallbusiness],
[isecondisadvwomenownedsmallbusiness],[isecondisadvwomenownedsmallbusiness],
[isjointventurewomenownedsmallbusiness],[isjointventurewomenownedsmallbusiness],
[isjointventureecondisadvwomenownedsmallbusiness],[isjointventureecondisadvwomenownedsmallbusiness],
[walshhealyact],[walshhealyact],
[servicecontractact],[servicecontractact],
[davisbaconact],[davisbaconact],
[clingercohenact],[clingercohenact],
[otherstatutoryauthority],[otherstatutoryauthority],
[interagencycontractingauthority],[interagencycontractingauthority],
[PlaceofPerformanceCity],[PlaceofPerformanceCity],
[last_modified_date],[last_modified_date],
[TypeOfBusiness],[TypeOfBusiness],
[award_id_piid],[award_id_piid],
[modification_number],[modification_number],
[transaction_number],[transaction_number],
[parent_award_agency_id],[parent_award_agency_id],
[parent_award_agency_name],[parent_award_agency_name],
[parent_award_id],[parent_award_id],
[parent_award_modification_number],[parent_award_modification_number],
[federal_action_obligation],[federal_action_obligation],
[change_in_current_award_amount],[change_in_current_award_amount],
[change_in_potential_award_amount],[change_in_potential_award_amount],
[action_date],[action_date],
[period_of_performance_start_date],[period_of_performance_start_date],
[period_of_performance_current_end_date],[period_of_performance_current_end_date],
[period_of_performance_potential_end_date],[period_of_performance_potential_end_date],
[ordering_period_end_date],[ordering_period_end_date],
[awarding_agency_code],[awarding_agency_code],
[awarding_agency_name],[awarding_agency_name],
[awarding_sub_agency_code],[awarding_sub_agency_code],
[awarding_sub_agency_name],[awarding_sub_agency_name],
[awarding_office_code],[awarding_office_code],
[awarding_office_name],[awarding_office_name],
[funding_agency_code],[funding_agency_code],
[funding_agency_name],[funding_agency_name],
[funding_sub_agency_code],[funding_sub_agency_code],
[funding_sub_agency_name],[funding_sub_agency_name],
[funding_office_code],[funding_office_code],
[funding_office_name],[funding_office_name],
[foreign_funding],[foreign_funding],
[sam_exception],[sam_exception],
[recipient_duns],[recipient_duns],
[recipient_name],[recipient_name],
[recipient_doing_business_as_name],[recipient_doing_business_as_name],
[recipient_parent_name],[recipient_parent_name],
[recipient_parent_duns],[recipient_parent_duns],
[recipient_country_code],[recipient_country_code],
[recipient_country_name],[recipient_country_name],
[recipient_address_line_1],[recipient_address_line_1],
[recipient_address_line_2],[recipient_address_line_2],
[recipient_address_line_3],[recipient_address_line_3],
[recipient_city_name],[recipient_city_name],
[recipient_state_code],[recipient_state_code],
[recipient_state_name],[recipient_state_name],
[recipient_zip_4_code],[recipient_zip_4_code],
[recipient_congressional_district],[recipient_congressional_district],
[recipient_phone_number],[recipient_phone_number],
[recipient_fax_number],[recipient_fax_number],
[primary_place_of_performance_country_code],[primary_place_of_performance_country_code],
[primary_place_of_performance_country_name],[primary_place_of_performance_country_name],
[primary_place_of_performance_city_name],[primary_place_of_performance_city_name],
[primary_place_of_performance_county_name],[primary_place_of_performance_county_name],
[primary_place_of_performance_state_code],[primary_place_of_performance_state_code],
[primary_place_of_performance_state_name],[primary_place_of_performance_state_name],
[primary_place_of_performance_zip_4],[primary_place_of_performance_zip_4],
[primary_place_of_performance_congressional_district],[primary_place_of_performance_congressional_district],
[primary_place_of_performance_location_code],[primary_place_of_performance_location_code],
[award_type_code],[award_type_code],
[award_type],[award_type],
[idv_type_code],[idv_type_code],
[idv_type],[idv_type],
[multiple_or_single_award_idv_code],[multiple_or_single_award_idv_code],
[multiple_or_single_award_idv],[multiple_or_single_award_idv],
[type_of_idc_code],[type_of_idc_code],
[type_of_idc],[type_of_idc],
[type_of_contract_pricing_code],[type_of_contract_pricing_code],
[type_of_contract_pricing],[type_of_contract_pricing],
[award_description],[award_description],
[action_type_code],[action_type_code],
[action_type],[action_type],
[solicitation_identifier],[solicitation_identifier],
[number_of_actions],[number_of_actions],
[product_or_service_code],[product_or_service_code],
[product_or_service_code_description],[product_or_service_code_description],
[contract_bundling_code],[contract_bundling_code],
[contract_bundling],[contract_bundling],
[dod_claimant_program_code],[dod_claimant_program_code],
[dod_claimant_program_description],[dod_claimant_program_description],
[naics_code],[naics_code],
[naics_description],[naics_description],
[recovered_materials_sustainability_code],[recovered_materials_sustainability_code],
[recovered_materials_sustainability],[recovered_materials_sustainability],
[domestic_or_foreign_entity_code],[domestic_or_foreign_entity_code],
[domestic_or_foreign_entity],[domestic_or_foreign_entity],
[dod_acquisition_program_code],[dod_acquisition_program_code],
[dod_acquisition_program_description],[dod_acquisition_program_description],
[information_technology_commercial_item_category_code],[information_technology_commercial_item_category_code],
[information_technology_commercial_item_category],[information_technology_commercial_item_category],
[epa_designated_product_code],[epa_designated_product_code],
[epa_designated_product],[epa_designated_product],
[country_of_product_or_service_origin_code],[country_of_product_or_service_origin_code],
[country_of_product_or_service_origin],[country_of_product_or_service_origin],
[place_of_manufacture_code],[place_of_manufacture_code],
[place_of_manufacture],[place_of_manufacture],
[subcontracting_plan_code],[subcontracting_plan_code],
[subcontracting_plan],[subcontracting_plan],
[extent_competed_code],[extent_competed_code],
[extent_competed],[extent_competed],
[solicitation_procedures_code],[solicitation_procedures_code],
[solicitation_procedures],[solicitation_procedures],
[type_of_set_aside_code],[type_of_set_aside_code],
[type_of_set_aside],[type_of_set_aside],
[evaluated_preference_code],[evaluated_preference_code],
[evaluated_preference],[evaluated_preference],
[research_code],[research_code],
[research],[research],
[fair_opportunity_limited_sources_code],[fair_opportunity_limited_sources_code],
[fair_opportunity_limited_sources],[fair_opportunity_limited_sources],
[other_than_full_and_open_competition_code],[other_than_full_and_open_competition_code],
[other_than_full_and_open_competition],[other_than_full_and_open_competition],
[number_of_offers_received],[number_of_offers_received],
[commercial_item_acquisition_procedures_code],[commercial_item_acquisition_procedures_code],
[commercial_item_acquisition_procedures],[commercial_item_acquisition_procedures],
[small_business_competitiveness_demonstration_program],[small_business_competitiveness_demonstration_program],
[commercial_item_test_program_code],[commercial_item_test_program_code],
[commercial_item_test_program],[commercial_item_test_program],
[a76_fair_act_action_code],[a76_fair_act_action_code],
[a76_fair_act_action],[a76_fair_act_action],
[fed_biz_opps_code],[fed_biz_opps_code],
[fed_biz_opps],[fed_biz_opps],
[local_area_set_aside_code],[local_area_set_aside_code],
[local_area_set_aside],[local_area_set_aside],
[price_evaluation_adjustment_preference_percent_difference],[price_evaluation_adjustment_preference_percent_difference],
[clinger_cohen_act_planning_code],[clinger_cohen_act_planning_code],
[clinger_cohen_act_planning],[clinger_cohen_act_planning],
[walsh_healey_act_code],[walsh_healey_act_code],
[walsh_healey_act],[walsh_healey_act],
[service_contract_act_code],[service_contract_act_code],
[service_contract_act],[service_contract_act],
[davis_bacon_act_code],[davis_bacon_act_code],
[davis_bacon_act],[davis_bacon_act],
[interagency_contracting_authority_code],[interagency_contracting_authority_code],
[interagency_contracting_authority],[interagency_contracting_authority],
[other_statutory_authority],[other_statutory_authority],
[program_acronym],[program_acronym],
[parent_award_type_code],[parent_award_type_code],
[parent_award_type],[parent_award_type],
[parent_award_single_or_multiple_code],[parent_award_single_or_multiple_code],
[parent_award_single_or_multiple],[parent_award_single_or_multiple],
[major_program],[major_program],
[national_interest_action_code],[national_interest_action_code],
[national_interest_action],[national_interest_action],
[cost_or_pricing_data_code],[cost_or_pricing_data_code],
[cost_or_pricing_data],[cost_or_pricing_data],
[cost_accounting_standards_clause_code],[cost_accounting_standards_clause_code],
[cost_accounting_standards_clause],[cost_accounting_standards_clause],
[gfe_gfp_code],[gfe_gfp_code],
[sea_transportation_code],[sea_transportation_code],
[sea_transportation],[sea_transportation],
[undefinitized_action_code],[undefinitized_action_code],
[undefinitized_action],[undefinitized_action],
[consolidated_contract_code],[consolidated_contract_code],
[consolidated_contract],[consolidated_contract],
[performance_based_service_acquisition_code],[performance_based_service_acquisition_code],
[performance_based_service_acquisition],[performance_based_service_acquisition],
[multi_year_contract_code],[multi_year_contract_code],
[multi_year_contract],[multi_year_contract],
[contract_financing_code],[contract_financing_code],
[contract_financing],[contract_financing],
[purchase_card_as_payment_method_code],[purchase_card_as_payment_method_code],
[purchase_card_as_payment_method],[purchase_card_as_payment_method],
[contingency_humanitarian_or_peacekeeping_operation_code],[contingency_humanitarian_or_peacekeeping_operation_code],
[contingency_humanitarian_or_peacekeeping_operation],[contingency_humanitarian_or_peacekeeping_operation],
[alaskan_native_owned_corporation_or_firm],[alaskan_native_owned_corporation_or_firm],
[american_indian_owned_business],[american_indian_owned_business],
[indian_tribe_federally_recognized],[indian_tribe_federally_recognized],
[native_hawaiian_owned_business],[native_hawaiian_owned_business],
[tribally_owned_business],[tribally_owned_business],
[veteran_owned_business],[veteran_owned_business],
[service_disabled_veteran_owned_business],[service_disabled_veteran_owned_business],
[woman_owned_business],[woman_owned_business],
[women_owned_small_business],[women_owned_small_business],
[economically_disadvantaged_women_owned_small_business],[economically_disadvantaged_women_owned_small_business],
[joint_venture_women_owned_small_business],[joint_venture_women_owned_small_business],
[joint_venture_economic_disadvantaged_women_owned_small_bus],[joint_venture_economic_disadvantaged_women_owned_small_bus],
[minority_owned_business],[minority_owned_business],
[subcontinent_asian_asian_indian_american_owned_business],[subcontinent_asian_asian_indian_american_owned_business],
[asian_pacific_american_owned_business],[asian_pacific_american_owned_business],
[black_american_owned_business],[black_american_owned_business],
[hispanic_american_owned_business],[hispanic_american_owned_business],
[native_american_owned_business],[native_american_owned_business],
[other_minority_owned_business],[other_minority_owned_business],
[contracting_officers_determination_of_business_size],[contracting_officers_determination_of_business_size],
[ContractingOfficerBusinessSizeDeterminationText],[ContractingOfficerBusinessSizeDeterminationText],
[contracting_officers_determination_of_business_size_code],[contracting_officers_determination_of_business_size_code],
[emerging_small_business],[emerging_small_business],
[community_developed_corporation_owned_firm],[community_developed_corporation_owned_firm],
[labor_surplus_area_firm],[labor_surplus_area_firm],
[us_federal_government],[us_federal_government],
[federally_funded_research_and_development_corp],[federally_funded_research_and_development_corp],
[federal_agency],[federal_agency],
[us_state_government],[us_state_government],
[us_local_government],[us_local_government],
[city_local_government],[city_local_government],
[county_local_government],[county_local_government],
[inter_municipal_local_government],[inter_municipal_local_government],
[local_government_owned],[local_government_owned],
[municipality_local_government],[municipality_local_government],
[school_district_local_government],[school_district_local_government],
[township_local_government],[township_local_government],
[us_tribal_government],[us_tribal_government],
[foreign_government],[foreign_government],
[corporate_entity_not_tax_exempt],[corporate_entity_not_tax_exempt],
[corporate_entity_tax_exempt],[corporate_entity_tax_exempt],
[partnership_or_limited_liability_partnership],[partnership_or_limited_liability_partnership],
[sole_proprietorship],[sole_proprietorship],
[small_agricultural_cooperative],[small_agricultural_cooperative],
[international_organization],[international_organization],
[us_government_entity],[us_government_entity],
[community_development_corporation],[community_development_corporation],
[domestic_shelter],[domestic_shelter],
[educational_institution],[educational_institution],
[foundation],[foundation],
[hospital_flag],[hospital_flag],
[manufacturer_of_goods],[manufacturer_of_goods],
[veterinary_hospital],[veterinary_hospital],
[hispanic_servicing_institution],[hispanic_servicing_institution],
[receives_contracts],[receives_contracts],
[receives_grants],[receives_grants],
[receives_contracts_and_grants],[receives_contracts_and_grants],
[airport_authority],[airport_authority],
[council_of_governments],[council_of_governments],
[housing_authorities_public_tribal],[housing_authorities_public_tribal],
[interstate_entity],[interstate_entity],
[planning_commission],[planning_commission],
[port_authority],[port_authority],
[transit_authority],[transit_authority],
[subchapter_scorporation],[subchapter_scorporation],
[limited_liability_corporation],[limited_liability_corporation],
[foreign_owned_and_located],[foreign_owned_and_located],
[for_profit_organization],[for_profit_organization],
[nonprofit_organization],[nonprofit_organization],
[other_not_for_profit_organization],[other_not_for_profit_organization],
[the_ability_one_program],[the_ability_one_program],
[private_university_or_college],[private_university_or_college],
[state_controlled_institution_of_higher_learning],[state_controlled_institution_of_higher_learning],
[1862_land_grant_college],[1862_land_grant_college],
[1890_land_grant_college],[1890_land_grant_college],
[1994_land_grant_college],[1994_land_grant_college],
[minority_institution],[minority_institution],
[historically_black_college],[historically_black_college],
[tribal_college],[tribal_college],
[alaskan_native_servicing_institution],[alaskan_native_servicing_institution],
[native_hawaiian_servicing_institution],[native_hawaiian_servicing_institution],
[school_of_forestry],[school_of_forestry],
[veterinary_college],[veterinary_college],
[dot_certified_disadvantage],[dot_certified_disadvantage],
[self_certified_small_disadvantaged_business],[self_certified_small_disadvantaged_business],
[small_disadvantaged_business],[small_disadvantaged_business],
[c8a_program_participant],[c8a_program_participant],
[historically_underutilized_business_zone_hubzone_firm],[historically_underutilized_business_zone_hubzone_firm],
[sba_certified_8a_joint_venture],[sba_certified_8a_joint_venture],
[gfe_gfp_name],[gfe_gfp_name],
[research_name],[research_name],
[award_type_name],[award_type_name],
[idv_type_name],[idv_type_name],
[multiple_or_single_award_idv_name],[multiple_or_single_award_idv_name],
[type_of_idc_name],[type_of_idc_name],
[type_of_contract_pricing_name],[type_of_contract_pricing_name],
[action_type_name],[action_type_name],
[contract_bundling_name],[contract_bundling_name],
[recovered_materials_sustainability_name],[recovered_materials_sustainability_name],
[domestic_or_foreign_entity_name],[domestic_or_foreign_entity_name],
[information_technology_commercial_item_category_name],[information_technology_commercial_item_category_name],
[epa_designated_product_name],[epa_designated_product_name],
[country_of_product_or_service_origin_name],[country_of_product_or_service_origin_name],
[place_of_manufacture_name],[place_of_manufacture_name],
[subcontracting_plan_name],[subcontracting_plan_name],
[extent_competed_name],[extent_competed_name],
[solicitation_procedures_name],[solicitation_procedures_name],
[type_of_set_aside_name],[type_of_set_aside_name],
