SourceVariableName,CSISvariableName,IsEmpty,UnmatchedPostgres
[native_hawaiian_owned_busi],[isnativehawaiianownedorganizationorfirm],,
[native_hawaiian_servicing],[native_hawaiian_servicing_institution],,
[nonprofit_organization],[nonprofitorganizationflag],,
[number_of_actions],[numberofactions],,
[number_of_employees],[numberofemployees],,
[number_of_offers_received],[numberofoffersreceived],,
[ordering_period_end_date],[lastdatetoorder],,
[organizational_type],[organizationaltype],,
[other_minority_owned_busin],[other_minority_owned_business],,
[other_not_for_profit_organ],[isothernotforprofitorganization],,
[other_statutory_authority],[otherstatutoryauthority],,
[other_than_full_and_o_desc],[other_than_full_and_open_competition_name],,
[other_than_full_and_open_c],[reasonnotcompeted],,
[parent_award_id],[idvpiid],,
[partnership_or_limited_lia],[ispartnershiporlimitedliabilitypartnership],,
[performance_based_se_desc],[performance_based_service_acquisition_name],,
[performance_based_service],[performancebasedservicecontract],,
[period_of_perf_potential_e],[ultimatecompletiondate],,
[period_of_performance_curr],[currentcompletiondate],,
[period_of_performance_star],[effectivedate],,
[piid],[piid],,
[place_of_manufacture],[placeofmanufacture],,
[place_of_manufacture_desc],[place_of_manufacture_name],,
[place_of_perf_country_desc],[primary_place_of_performance_country_name],,
[place_of_perfor_state_desc],[primary_place_of_performance_state_name],,
[place_of_perform_city_name],[PlaceofPerformanceCity],,
[place_of_perform_country_c],[placeofperformancecountrycode],,
[place_of_perform_country_n],[place_of_perform_country_n],TRUE,TRUE
[place_of_perform_county_co],[prime_award_transaction_place_of_performance_county_fips_code],,
[place_of_perform_county_na],[primary_place_of_performance_county_name],,
[place_of_perform_state_nam],[place_of_perform_state_nam],TRUE,TRUE
[place_of_perform_zip_last4],[place_of_perform_zip_last4],,TRUE
[place_of_performance_congr],[prime_award_transaction_place_of_performance_cd_current],,
[place_of_performance_locat],[locationcode],,
[place_of_performance_state],[pop_state_code],,
[place_of_performance_zip4a],[placeofperformancezipcode],,
[place_of_performance_zip5],[place_of_performance_zip5],,
[planning_commission],[isplanningcommission],,
[port_authority],[isportauthority],,
[potential_total_value_awar],[potential_total_value_of_award],,
[price_evaluation_adjustmen],[priceevaluationpercentdifference],,
[private_university_or_coll],[isprivateuniversityorcollege],,
[product_or_service_co_desc],[product_or_service_code_description],,
[product_or_service_code],[productorservicecode],,
[program_acronym],[programacronym],,
[program_system_or_equ_desc],[dod_acquisition_program_description],,
[program_system_or_equipmen],[systemequipmentcode],,
[pulled_from],[pulled_from],,TRUE
[purchase_card_as_paym_desc],[purchase_card_as_payment_method_name],,
[purchase_card_as_payment_m],[purchasecardaspaymentmethod],,
[receives_contracts_and_gra],[receivescontractsandgrants],,
[recovered_materials_s_desc],[recovered_materials_sustainability_name],,
[recovered_materials_sustai],[recoveredmaterialclauses],,
[referenced_idv_agency_desc],[parent_award_agency_name],,
[referenced_idv_agency_iden],[idvagencyid],,
[referenced_idv_agency_name],[referenced_idv_agency_name],TRUE,TRUE
[referenced_idv_modificatio],[idvmodificationnumber],,
[referenced_idv_type],[parent_award_type_code],,
[referenced_idv_type_desc],[parent_award_type_name],,
[referenced_mult_or_si_desc],[parent_award_single_or_multiple_name],,
[referenced_mult_or_single],[parent_award_single_or_multiple_code],,
[research],[research_code],,
[research_description],[research_name],,
[sam_exception],[ccrexception],,
[sam_exception_description],[sam_exception_description],,
[sba_certified_8_a_joint_ve],[sba_certified_8a_joint_venture],,
[school_district_local_gove],[isschooldistrictlocalgovernment],,
[school_of_forestry],[isschoolofforestry],,
[sea_transportation],[seatransportation],,
[sea_transportation_desc],[sea_transportation_name],,
[self_certified_small_disad],[sdbflag],,
[service_disabled_veteran_o],[srdvobflag],,
[small_agricultural_coopera],[issmallagriculturalcooperative],,
[small_business_competitive],[smallbusinesscompetitivenessdemonstrationprogram],,
[small_disadvantaged_busine],[issbacertifiedsmalldisadvantagedbusiness],,
[sole_proprietorship],[issoleproprietorship],,
[solicitation_date],[solicitation_date],,
[solicitation_identifier],[solicitationid],,
[solicitation_procedur_desc],[solicitation_procedures_name],,
[solicitation_procedures],[solicitationprocedures],,
[state_controlled_instituti],[isstatecontrolledinstitutionofhigherlearning],,
[subchapter_s_corporation],[issubchapterscorporation],,
[subcontinent_asian_asian_i],[saaobflag],,
[subcontracting_plan],[subcontractplan],,
[subcontracting_plan_desc],[subcontracting_plan_name],,
[the_ability_one_program],[shelteredworkshopflag],,
[total_obligated_amount],[total_dollars_obligated],,
[township_local_government],[istownshiplocalgovernment],,
[transaction_number],[transactionnumber],,
[transit_authority],[istransitauthority],,
[tribal_college],[istribalcollege],,
[tribally_owned_business],[istriballyownedfirm],,
[type_of_contract_pric_desc],[type_of_contract_pricing_name],,
[type_of_contract_pricing],[typeofcontractpricing],,
[type_of_idc],[typeofidc],,
[type_of_idc_description],[type_of_idc_name],,
[type_set_aside],[typeofsetaside],,
[type_set_aside_description],[type_of_set_aside_name],,
[ultimate_parent_legal_enti],[recipient_parent_name_raw],,
[ultimate_parent_uei],[recipient_parent_uei],,
[ultimate_parent_unique_ide],[parentdunsnumber],,
[undefinitized_action],[lettercontract],,
[undefinitized_action_desc],[undefinitized_action_name],,
[unique_award_key],[contract_award_unique_key],,
[updated_at],[updated_at],,TRUE
[us_federal_government],[federalgovernmentflag],,
[us_government_entity],[us_government_entity],,
[us_local_government],[localgovernmentflag],,
[us_state_government],[stategovernmentflag],,
[us_tribal_government],[tribalgovernmentflag],,
[vendor_alternate_name],[vendoralternatename],,
[vendor_alternate_site_code],[vendoralternatesitecode],,
[vendor_doing_as_business_n],[vendordoingasbusinessname],,
[vendor_enabled],[vendor_enabled],TRUE,TRUE
[vendor_fax_number],[faxno],,
[vendor_legal_org_name],[vendorlegalorganizationname],,
[vendor_location_disabled_f],[vendorlocationdisableflag],TRUE,
[vendor_phone_number],[phoneno],,
[vendor_site_code],[vendorsitecode],,
[veteran_owned_business],[veteranownedflag],,
[veterinary_college],[isveterinarycollege],,
[veterinary_hospital],[isveterinaryhospital],,
[woman_owned_business],[womenownedflag],,
[women_owned_small_business],[iswomenownedsmallbusiness],,
[CSIScreatedDate],[CSIScreatedDate],,
[CSISmodifiedDate],[CSISmodifiedDate],,
[temp_uei],[temp_uei],,
