colname,destinationtype,varcharsize
receives_financial_assistance,bit,
receives_contracts_and_financial_assistance,bit,
airport_authority,bit,
council_of_governments,bit,
housing_authorities_public_tribal,bit,
interstate_entity,bit,
planning_commission,bit,
port_authority,bit,
transit_authority,bit,
subchapter_scorporation,bit,
limited_liability_corporation,bit,
foreign_owned,bit,
for_profit_organization,bit,
nonprofit_organization,bit,
other_not_for_profit_organization,bit,
the_ability_one_program,bit,
private_university_or_college,bit,
state_controlled_institution_of_higher_learning,bit,
1862_land_grant_college,bit,
1890_land_grant_college,bit,
1994_land_grant_college,bit,
minority_institution,bit,
historically_black_college,bit,
tribal_college,bit,
alaskan_native_servicing_institution,bit,
native_hawaiian_servicing_institution,bit,
school_of_forestry,bit,
veterinary_college,bit,
dot_certified_disadvantage,bit,
self_certified_small_disadvantaged_business,bit,
small_disadvantaged_business,bit,
c8a_program_participant,bit,
historically_underutilized_business_zone_hubzone_firm,bit,
sba_certified_8a_joint_venture,bit,
CSISmodifiedDate,datetime2,
CSIScreatedDate,datetime2,
current_total_value_of_award,decimal,
potential_total_value_of_award,decimal,
sam_exception_description,varchar,255
cage_code,varchar,5
award_or_idv_flag,varchar,5
inherently_governmental_functions,varchar,10
inherently_governmental_functions_description,varchar,255
organizational_type,varchar,30
total_dollars_obligated,decimal,
foreign_funding_description,varchar,255
contract_transaction_unique_key,varchar,154
contract_award_unique_key,varchar,120
solicitation_date,date,
treasury_accounts_funding_this_award,varchar,4000
federal_accounts_funding_this_award,varchar,1000
highly_compensated_officer_1_name,varchar,100
highly_compensated_officer_1_amount,decimal,
highly_compensated_officer_2_name,varchar,100
highly_compensated_officer_2_amount,decimal,
highly_compensated_officer_3_name,varchar,100
highly_compensated_officer_3_amount,decimal,
highly_compensated_officer_4_name,varchar,100
highly_compensated_officer_4_amount,decimal,
highly_compensated_officer_5_name,varchar,100
highly_compensated_officer_5_amount,decimal,
usaspending_permalink,varchar,150
action_date_fiscal_year,smallint,
disaster_emergency_fund_codes_for_overall_award,varchar,500
outlayed_amount_from_COVID-19_supplementals_for_overall_award,decimal,
obligated_amount_from_COVID-19_supplementals_for_overall_award,decimal,
object_classes_funding_this_award,varchar,1000
program_activities_funding_this_award,varchar,5000
recipient_county_name,varchar,30
recipient_uei,varchar,12
recipient_parent_uei,varchar,12
prime_award_base_transaction_description,varchar,4008
obligated_amount_from_IIJA_supplemental_for_overall_award,decimal,
outlayed_amount_from_IIJA_supplemental_for_overall_award,decimal,
recipient_name_raw,nvarchar,
recipient_parent_name_raw,nvarchar,
prime_award_transaction_recipient_county_fips_code,int,
prime_award_transaction_recipient_state_fips_code,tinyint,
prime_award_transaction_place_of_performance_county_fips_code,int,
prime_award_transaction_place_of_performance_state_fips_code,tinyint,
prime_award_transaction_recipient_cd_original,varchar,22
prime_award_transaction_place_of_performance_cd_original,varchar,22
total_outlayed_amount_for_overall_award,decimal,
USAspending_file_name,varchar,255
initial_report_date,datetime2,
agency_id,varchar,4
