Column Name,FY2018 Blank,FY2018 % Blank
cost_or_pricing_data_name," 1,431,072 ",25%
costaccountingstandardsclause," 5,192,349 ",92%
cost_accounting_standards_clause_name," 5,192,342 ",92%
gfe_gfp_code, 2 ,0%
seatransportation," 1,107,592 ",20%
sea_transportation_name," 1,107,592 ",20%
lettercontract," 55,370 ",1%
undefinitized_action_name," 55,370 ",1%
consolidatedcontract," 49,447 ",1%
consolidated_contract_name," 49,447 ",1%
performancebasedservicecontract, 8 ,0%
performance_based_service_acquisition_name, -   ,0%
multiyearcontract," 1,437,083 ",26%
multi_year_contract_name," 1,437,083 ",26%
contractfinancing," 1,077,128 ",19%
contract_financing_name," 1,077,133 ",19%
purchasecardaspaymentmethod," 221,647 ",4%
purchase_card_as_payment_method_name," 221,647 ",4%
contingencyhumanitarianpeacekeepingoperation," 87,694 ",2%
contingency_humanitarian_or_peacekeeping_operation_name," 87,694 ",2%
isalaskannativeownedcorporationorfirm, -   ,0%
aiobflag, -   ,0%
indian_tribe_federally_recognized, -   ,0%
isnativehawaiianownedorganizationorfirm, -   ,0%
istriballyownedfirm, -   ,0%
veteranownedflag, -   ,0%
srdvobflag, -   ,0%
womenownedflag, -   ,0%
iswomenownedsmallbusiness, -   ,0%
isecondisadvwomenownedsmallbusiness, -   ,0%
isjointventurewomenownedsmallbusiness, -   ,0%
isjointventureecondisadvwomenownedsmallbusiness, -   ,0%
minorityownedbusinessflag, -   ,0%
saaobflag, -   ,0%
apaobflag, -   ,0%
baobflag, -   ,0%
haobflag, -   ,0%
naobflag, -   ,0%
other_minority_owned_business, -   ,0%
ContractingOfficerBusinessSizeDeterminationText, 10 ,0%
contractingofficerbusinesssizedetermination, 10 ,0%
emergingsmallbusinessflag, -   ,0%
community_developed_corporation_owned_firm, -   ,0%
labor_surplus_area_firm, -   ,0%
federalgovernmentflag, -   ,0%
isfederallyfundedresearchanddevelopmentcorp, -   ,0%
isfederalgovernmentagency, -   ,0%
stategovernmentflag, -   ,0%
localgovernmentflag, -   ,0%
city_local_government, -   ,0%
county_local_government, -   ,0%
inter_municipal_local_government, -   ,0%
local_government_owned, -   ,0%
ismunicipalitylocalgovernment, -   ,0%
isschooldistrictlocalgovernment, -   ,0%
istownshiplocalgovernment, -   ,0%
tribalgovernmentflag, -   ,0%
isforeigngovernment, -   ,0%
corporate_entity_not_tax_exempt, -   ,0%
iscorporateentitytaxexempt, -   ,0%
ispartnershiporlimitedliabilitypartnership, -   ,0%
issoleproprietorship, -   ,0%
issmallagriculturalcooperative, -   ,0%
international_organization, -   ,0%
us_government_entity, -   ,0%
community_development_corporation, -   ,0%
domestic_shelter, -   ,0%
educationalinstitutionflag, -   ,0%
isfoundation, -   ,0%
hospitalflag, -   ,0%
manufacturer_of_goods, -   ,0%
isveterinaryhospital, -   ,0%
ishispanicservicinginstitution, -   ,0%
receivescontracts, -   ,0%
receivesgrants, -   ,0%
receivescontractsandgrants, -   ,0%
isairportauthority, -   ,0%
iscouncilofgovernments, -   ,0%
ishousingauthoritiespublicortribal, -   ,0%
isinterstateentity, -   ,0%
isplanningcommission, -   ,0%
isportauthority, -   ,0%
istransitauthority, -   ,0%
issubchapterscorporation, -   ,0%
islimitedliabilitycorporation, -   ,0%
isforeignownedandlocated, -   ,0%
isforprofitorganization, -   ,0%
nonprofitorganizationflag, -   ,0%
isothernotforprofitorganization, -   ,0%
shelteredworkshopflag, -   ,0%
isprivateuniversityorcollege, -   ,0%
isstatecontrolledinstitutionofhigherlearning, -   ,0%
is1862landgrantcollege, -   ,0%
is1890landgrantcollege, -   ,0%
is1994landgrantcollege, -   ,0%
minorityinstitutionflag, -   ,0%
hbcuflag, -   ,0%
istribalcollege, -   ,0%
alaskan_native_servicing_institution, -   ,0%
native_hawaiian_servicing_institution, -   ,0%
isschoolofforestry, -   ,0%
isveterinarycollege, -   ,0%
dot_certified_disadvantage, -   ,0%
sdbflag, -   ,0%
issbacertifiedsmalldisadvantagedbusiness, -   ,0%
firm8aflag, -   ,0%
hubzoneflag, -   ,0%
sba_certified_8a_joint_venture, -   ,0%
CSISmodifiedDate, -   ,0%
CSIScreatedDate, -   ,0%
Fiscal_Year, -   ,0%
CSIStransactionID, -   ,0%
CSISstage2id, -   ,0%
current_total_value_of_award," 221,645 ",4%
potential_total_value_of_award, -   ,0%
sam_exception_description," 5,606,974 ",100%
CAGE," 1,375,329 ",24%
award_or_idv_flag, -   ,0%
inherently_governmental_functions," 4,760,318 ",85%
inherently_governmental_functions_description," 4,760,340 ",85%
organizationaltype," 1,485,027 ",26%
numberofemployees," 5,615,466 ",100%
annualrevenue," 5,615,466 ",100%
total_dollars_obligated," 1,788,310 ",32%
foreign_funding_description, 2 ,0%
contract_transaction_unique_key, -   ,0%
contract_award_unique_key, -   ,0%
solicitation_date," 5,235,522 ",93%
treasury_accounts_funding_this_award," 4,790,157 ",85%
federal_accounts_funding_this_award," 4,790,157 ",85%
prime_awardee_executive1," 5,063,095 ",90%
prime_awardee_executive1_compensation," 5,063,095 ",90%
prime_awardee_executive2," 5,072,214 ",90%
prime_awardee_executive2_compensation," 5,072,214 ",90%
prime_awardee_executive3," 5,080,079 ",90%
prime_awardee_executive3_compensation," 5,080,079 ",90%
prime_awardee_executive4," 5,086,898 ",91%
prime_awardee_executive4_compensation," 5,086,898 ",91%
prime_awardee_executive5," 5,092,518 ",91%
prime_awardee_executive5_compensation," 5,092,518 ",91%
usaspending_permalink, -   ,0%
awarding_agency_code, -   ,0%
recipient_county_name," 159,858 ",3%
disaster_emergency_fund_codes_for_overall_award," 5,615,466 ",100%
object_classes_funding_this_award," 4,790,157 ",85%
program_activities_funding_this_award," 5,082,871 ",91%
obligated_amount_funded_by_COVID19_supplementals_for_overall_award," 5,615,466 ",100%
outlayed_amount_funded_by_COVID19_supplementals_for_overall_award," 5,615,466 ",100%
