colname,destinationtype,varcharsize
ordering_period_end_date, datetime2,7
organizational_type, varchar,30
other_statutory_authority, varchar,1000
other_than_full_and_o_desc, varchar,255
other_than_full_and_open_c, varchar,3
parent_award_id, varchar,50
performance_based_se_desc, varchar,255
performance_based_service, varchar,38
period_of_perf_potential_e, datetime2,7
period_of_performance_curr, datetime2,7
period_of_performance_star, datetime2,7
piid, varchar,50
place_of_manufacture, varchar,1
place_of_manufacture_desc, varchar,255
place_of_perf_country_desc, varchar,255
place_of_perfor_state_desc, varchar,255
place_of_perform_city_name, varchar,100
place_of_perform_country_c, varchar,3
place_of_perform_country_n, varchar,255
place_of_perform_county_co, int, 
place_of_perform_county_na, varchar,26
place_of_perform_state_nam, varchar,255
place_of_perform_zip_last4, varchar,255
place_of_performance_congr, varchar,22
place_of_performance_locat, varchar,9
place_of_performance_state, varchar,2
place_of_performance_zip4a, varchar,10
place_of_performance_zip5, varchar,255
potential_total_value_awar, decimal, 
price_evaluation_adjustmen, smallint, 
product_or_service_co_desc, varchar,255
product_or_service_code, varchar,4
program_acronym, varchar,29
program_system_or_equ_desc, varchar,255
program_system_or_equipmen, varchar,4
pulled_from, varchar,255
purchase_card_as_paym_desc, varchar,255
purchase_card_as_payment_m, bit, 
recovered_materials_s_desc, varchar,255
recovered_materials_sustai, varchar,1
referenced_idv_agency_desc, varchar,255
referenced_idv_agency_iden, varchar,4
referenced_idv_agency_name, varchar,255
referenced_idv_modificatio, varchar,25
referenced_idv_type, varchar,1
referenced_idv_type_desc, varchar,255
referenced_mult_or_si_desc, varchar,255
referenced_mult_or_single, varchar,1
research, varchar,3
research_description, varchar,255
sam_exception, varchar,70
sam_exception_description, varchar,71
sea_transportation, varchar,1
sea_transportation_desc, varchar,255
solicitation_date, date, 
solicitation_identifier, varchar,69
solicitation_procedur_desc, varchar,255
solicitation_procedures, varchar,5
subcontracting_plan, varchar,1
subcontracting_plan_desc, varchar,255
total_obligated_amount, decimal, 
transaction_number, bigint, 
type_of_contract_pric_desc, varchar,255
type_of_contract_pricing, varchar,2
type_of_idc, varchar,41
type_of_idc_description, varchar,255
type_set_aside, varchar,10
type_set_aside_description, varchar,255
ultimate_parent_legal_enti, nvarchar,150
ultimate_parent_unique_ide, varchar,255
undefinitized_action, varchar,1
undefinitized_action_desc, varchar,255
unique_award_key, varchar,120
updated_at, datetime2,7
vendor_alternate_name, varchar,150
vendor_alternate_site_code, varchar,20
vendor_doing_as_business_n, nvarchar,150
vendor_enabled, varchar,255
vendor_fax_number, varchar,30
vendor_legal_org_name, nvarchar,150
vendor_location_disabled_f, varchar,255
vendor_phone_number, varchar,20
vendor_site_code, varchar,15
awardee_or_recipient_uei, varchar,12
ultimate_parent_uei, varchar,12
small_business_competitive, bit, 
city_local_government, bit, 
county_local_government, bit, 
inter_municipal_local_gove, bit, 
local_government_owned, bit, 
municipality_local_governm, bit, 
school_district_local_gove, bit, 
township_local_government, bit, 
us_state_government, bit, 
us_federal_government, bit, 
federal_agency, bit, 
federally_funded_research, bit, 
us_tribal_government, bit, 
foreign_government, bit, 
community_developed_corpor, bit, 
labor_surplus_area_firm, bit, 
corporate_entity_not_tax_e, bit, 
corporate_entity_tax_exemp, bit, 
partnership_or_limited_lia, bit, 
sole_proprietorship, bit, 
small_agricultural_coopera, bit, 
international_organization, bit, 
us_government_entity, bit, 
emerging_small_business, bit, 
c8a_program_participant, bit, 
sba_certified_8_a_joint_ve, bit, 
dot_certified_disadvantage, bit, 
self_certified_small_disad, bit, 
historically_underutilized, bit, 
small_disadvantaged_busine, bit, 
the_ability_one_program, bit, 
historically_black_college, bit, 
c1862_land_grant_college, bit, 
c1890_land_grant_college, bit, 
c1994_land_grant_college, bit, 
minority_institution, bit, 
private_university_or_coll, bit, 
school_of_forestry, bit, 
state_controlled_instituti, bit, 
tribal_college, bit, 
veterinary_college, bit, 
educational_institution, bit, 
alaskan_native_servicing_i, bit, 
community_development_corp, bit, 
native_hawaiian_servicing, bit, 
domestic_shelter, bit, 
manufacturer_of_goods, bit, 
hospital_flag, bit, 
veterinary_hospital, bit, 
hispanic_servicing_institu, bit, 
foundation, bit, 
woman_owned_business, bit, 
minority_owned_business, bit, 
women_owned_small_business, bit, 
economically_disadvantaged, bit, 
joint_venture_women_owned, bit, 
joint_venture_economically, bit, 
veteran_owned_business, bit, 
service_disabled_veteran_o, bit, 
contracts, bit, 
grants, bit, 
receives_contracts_and_gra, bit, 
airport_authority, bit, 
council_of_governments, bit, 
housing_authorities_public, bit, 
interstate_entity, bit, 
planning_commission, bit, 
port_authority, bit, 
transit_authority, bit, 
subchapter_s_corporation, bit, 
limited_liability_corporat, bit, 
foreign_owned_and_located, bit, 
american_indian_owned_busi, bit, 
alaskan_native_owned_corpo, bit, 
indian_tribe_federally_rec, bit, 
native_hawaiian_owned_busi, bit, 
tribally_owned_business, bit, 
asian_pacific_american_own, bit, 
black_american_owned_busin, bit, 
hispanic_american_owned_bu, bit, 
native_american_owned_busi, bit, 
subcontinent_asian_asian_i, bit, 
other_minority_owned_busin, bit, 
for_profit_organization, bit, 
nonprofit_organization, bit, 
other_not_for_profit_organ, bit, 
us_local_government, bit, 
entity_data_source, varchar,255
