CSISvariableName,IsDroppedNameField,Pair
[congressionaldistrict],,[vendor_cd]
[vendorsitecode],,
[vendoralternatesitecode],,
[recipient_duns],,
[recipient_parent_duns],,
[recipient_phone_number],,
[recipient_fax_number],,
[registrationdate],,
[renewaldate],,
[recipient_parent_name],,
[locationcode],,
[statecode],,
[primary_place_of_performance_state_code],,[primary_place_of_performance_state_name]
[primary_place_of_performance_country_code],,[primary_place_of_performance_country_name]
[primary_place_of_performance_zip_4],,
[pop_cd],,placeofperformancecongressionaldistrict
[prime_award_transaction_place_of_performance_cd_current],,
[prime_award_transaction_place_of_performance_cd_original],,
[psc_cat],,
[government_furnished_property],TRUE,[government_furnished_property_code]
[agency_id],,
[awarding_agency_code],,[awarding_agency_name]
[award_id_piid],,
[modification_number],,
[transaction_number],,
[action_date_fiscal_year],,
[parent_award_id_piid],,
[parent_award_modification_number],,
[solicitation_identifier],,
[number_of_offers_received],,
[small_business_competitiveness_demonstration_program],,
[competitiveprocedures],,
[organizational_type],,
[numberofemployees],,
[annualrevenue],,
[c8a_program_participant],,
[historically_underutilized_business_zone_hubzone_firm],,
[self_certified_small_disadvantaged_business],,
[small_disadvantaged_business],,
[the_ability_one_program],,
[historically_black_college],,
[educational_institution],,
[woman_owned_business],,
[veteran_owned_business],,
[service_disabled_veteran_owned_business],,
[us_local_government],,
[minority_institution],,
[american_indian_owned_business],,
[us_state_government],,
[us_federal_government],,
[minority_owned_business],,
[asian_pacific_american_owned_business],,
[us_tribal_government],,
[black_american_owned_business],,
[native_american_owned_business],,
[subcontinent_asian_asian_indian_american_owned_business],,
[nonprofit_organization],,
[other_not_for_profit_organization],,
[for_profit_organization],,
[foundation],,
[hispanic_american_owned_business],,
[hispanic_servicing_institution],,
[emerging_small_business],,
[hospital_flag],,
[1862_land_grant_college],,
[1890_land_grant_college],,
[1994_land_grant_college],,
[veterinary_college],,
[veterinary_hospital],,
[private_university_or_college],,
[school_of_forestry],,
[state_controlled_institution_of_higher_learning],,
[isserviceprovider],,
[receives_contracts],,
[receives_financial_assistance],,
[receives_contracts_and_financial_assistance],,
[airport_authority],,
[council_of_governments],,
[housing_authorities_public_tribal],,
[interstate_entity],,
[planning_commission],,
[port_authority],,
[transit_authority],,
[subchapter_scorporation],,
[limited_liability_corporation],,
[foreign_owned],,
[isarchitectureandengineering],,
[isdotcertifieddisadvantagedbusinessenterprise],,
[iscitylocalgovernment],,
[iscommunitydevelopedcorporationownedfirm],,
[iscommunitydevelopmentcorporation],,
[isconstructionfirm],,
[ismanufacturerofgoods],,
[iscorporateentitynottaxexempt],,
[iscountylocalgovernment],,
[isdomesticshelter],,
[federal_agency],,
[federally_funded_research_and_development_corp],,
[foreign_government],,
[isindiantribe],,
[isintermunicipallocalgovernment],,
[isinternationalorganization],,
[islaborsurplusareafirm],,
[islocalgovernmentowned],,
[municipality_local_government],,
[native_hawaiian_organization_owned_firm],,
[isotherbusinessororganization],,
[isotherminorityowned],,
[partnership_or_limited_liability_partnership],,
[school_district_local_government],,
[small_agricultural_cooperative],,
[sole_proprietorship],,
[township_local_government],,
[tribally_owned_firm],,
[tribal_college],,
[alaskan_native_corporation_owned_firm],,
[corporate_entity_tax_exempt],,
[women_owned_small_business],,
[economically_disadvantaged_women_owned_small_business],,
[joint_venture_women_owned_small_business],,
[joint_venture_economic_disadvantaged_women_owned_small_bus],,
[materials_supplies_articles_equipment_code],,[materials_supplies_articles_equipment]
[other_statutory_authority],,
[primary_place_of_performance_city_name],,
[last_modified_date],,
[TypeOfBusiness],,
[parent_award_agency_name],TRUE,[parent_award_agency_id]
[awarding_agency_name],TRUE,[awarding_agency_code]
[awarding_sub_agency_name],TRUE,[awarding_sub_agency_code]
[awarding_office_name],TRUE,[awarding_office_code]
[funding_agency_name],TRUE,[funding_agency_code]
[funding_sub_agency_name],TRUE,[funding_sub_agency_code]
[funding_office_name],TRUE,[funding_office_code]
[sam_exception],,[sam_exception_description]
[recipient_country_name],TRUE,[recipient_country_code]
[recipient_state_code],,[recipient_state_name]
[recipient_state_name],TRUE,[recipient_state_code]
[prime_award_transaction_recipient_cd_current],,
[prime_award_transaction_recipient_cd_original],,
[primary_place_of_performance_country_name],TRUE,[primary_place_of_performance_country_code]
[primary_place_of_performance_county_name],,
[primary_place_of_performance_state_name],TRUE,[primary_place_of_performance_state_code]
[award_type_code],,[award_type]
[award_type],TRUE,[award_type_code]
[idv_type_code],,[idv_type]
[idv_type],TRUE,[idv_type_code]
[multiple_or_single_award_idv_code],,[multiple_or_single_award_idv]
[multiple_or_single_award_idv],TRUE,[multiple_or_single_award_idv_code]
[type_of_idc_code],,[type_of_idc]
[type_of_idc],TRUE,[type_of_idc_code]
[type_of_contract_pricing],TRUE,[type_of_contract_pricing_code]
[action_type],TRUE,[action_type_code]
[product_or_service_code],,[product_or_service_code_description]
[product_or_service_code_description],TRUE,[product_or_service_code]
[contract_bundling_code],,[contract_bundling]
[contract_bundling],TRUE,[contract_bundling_code]
[dod_claimant_program_code],,[dod_claimant_program_description]
[dod_claimant_program_description],TRUE,[dod_claimant_program_code]
[naics_code],,[naics_description]
[naics_description],TRUE,[naics_code]
[recovered_materials_sustainability_code],,[recovered_materials_sustainability]
[recovered_materials_sustainability],TRUE,[recovered_materials_sustainability_code]
[domestic_or_foreign_entity_code],,[domestic_or_foreign_entity]
[domestic_or_foreign_entity],TRUE,[domestic_or_foreign_entity_code]
[dod_acquisition_program_code],,[dod_acquisition_program_description]
[dod_acquisition_program_description],,[dod_acquisition_program_code]
[information_technology_commercial_item_category_code],,[information_technology_commercial_item_category]
[information_technology_commercial_item_category],TRUE,[information_technology_commercial_item_category_code]
[epa_designated_product_code],,[epa_designated_product]
[epa_designated_product],TRUE,[epa_designated_product_code]
[country_of_product_or_service_origin_code],,[country_of_product_or_service_origin]
[country_of_product_or_service_origin],TRUE,[country_of_product_or_service_origin_code]
[place_of_manufacture_code],,[place_of_manufacture]
[place_of_manufacture],TRUE,[place_of_manufacture_code]
[subcontracting_plan],TRUE,[subcontracting_plan_code]
[extent_competed_code],,[extent_competed]
[extent_competed],TRUE,[extent_competed_code]
[solicitation_procedures_code],,[solicitation_procedures]
[solicitation_procedures],TRUE,[solicitation_procedures_code]
[type_of_set_aside_code],,[type_of_set_aside]
[type_of_set_aside],TRUE,[type_of_set_aside_code]
[evaluated_preference_code],,[evaluated_preference]
[evaluated_preference],TRUE,[evaluated_preference_code]
[research_code],,[research]
[research],TRUE,[research_code]
[fair_opportunity_limited_sources_code],,[fair_opportunity_limited_sources]
[fair_opportunity_limited_sources],TRUE,[fair_opportunity_limited_sources_code]
[other_than_full_and_open_competition_code],,[other_than_full_and_open_competition]
[other_than_full_and_open_competition],TRUE,[other_than_full_and_open_competition_code]
[commercial_item_acquisition_procedures_code],,[commercial_item_acquisition_procedures]
[commercial_item_acquisition_procedures],TRUE,[commercial_item_acquisition_procedures_code]
[simplified_procedures_for_certain_commercial_items_code],,[simplified_procedures_for_certain_commercial_items]
[simplified_procedures_for_certain_commercial_items],TRUE,[simplified_procedures_for_certain_commercial_items_code]
[a76_fair_act_action_code],,[a76_fair_act_action]
[a76_fair_act_action],TRUE,[a76_fair_act_action_code]
[fed_biz_opps_code],,[fed_biz_opps]
[fed_biz_opps],TRUE,[fed_biz_opps_code]
[local_area_set_aside_code],,[local_area_set_aside]
[local_area_set_aside],TRUE,[local_area_set_aside_code]
[clinger_cohen_act_planning_code],,[clinger_cohen_act_planning]
[clinger_cohen_act_planning],TRUE,[clinger_cohen_act_planning_code]
[materials_supplies_articles_equipment],TRUE,[materials_supplies_articles_equipment_code]
[labor_standards_code],,[labor_standards]
[labor_standards],TRUE,[labor_standards_code]
[construction_wage_rate_requirements_code],,[construction_wage_rate_requirements]
[construction_wage_rate_requirements],TRUE,[construction_wage_rate_requirements_code]
[interagency_contracting_authority_code],,[interagency_contracting_authority]
[interagency_contracting_authority],TRUE,[interagency_contracting_authority_code]
[parent_award_type_code],,[parent_award_type]
[parent_award_type],TRUE,[parent_award_type_code]
[parent_award_single_or_multiple_code],,[parent_award_single_or_multiple]
[parent_award_single_or_multiple],TRUE,[parent_award_single_or_multiple_code]
[national_interest_action_code],,[national_interest_action]
[national_interest_action],TRUE,[national_interest_action_code]
[cost_or_pricing_data_code],,[cost_or_pricing_data]
[cost_or_pricing_data],TRUE,[cost_or_pricing_data_code]
[cost_accounting_standards_clause_code],,[cost_accounting_standards_clause]
[cost_accounting_standards_clause],TRUE,[cost_accounting_standards_clause_code]
[government_furnished_property_code],,[government_furnished_property]
[sea_transportation_code],,[sea_transportation]
[sea_transportation],TRUE,[sea_transportation_code]
[undefinitized_action_code],,[undefinitized_action]
[undefinitized_action],TRUE,[undefinitized_action_code]
[consolidated_contract_code],,[consolidated_contract]
[consolidated_contract],TRUE,[consolidated_contract_code]
[performance_based_service_acquisition_code],,[performance_based_service_acquisition]
[performance_based_service_acquisition],TRUE,[performance_based_service_acquisition_code]
[multi_year_contract],TRUE,[multi_year_contract_code]
[contract_financing_code],,[contract_financing]
[contract_financing],TRUE,[contract_financing_code]
[purchase_card_as_payment_method_code],,[purchase_card_as_payment_method]
[purchase_card_as_payment_method],TRUE,[purchase_card_as_payment_method_code]
[contingency_humanitarian_or_peacekeeping_operation_code],,[contingency_humanitarian_or_peacekeeping_operation]
[contingency_humanitarian_or_peacekeeping_operation],TRUE,[contingency_humanitarian_or_peacekeeping_operation_code]
[indian_tribe_federally_recognized],,
[other_minority_owned_business],,
[contracting_officers_determination_of_business_size_code],,[contracting_officers_determination_of_business_size]
[community_developed_corporation_owned_firm],,
[labor_surplus_area_firm],,
[city_local_government],,
[county_local_government],,
[inter_municipal_local_government],,
[local_government_owned],,
[corporate_entity_not_tax_exempt],,
[international_organization],,
[us_government_entity],,
[community_development_corporation],,
[domestic_shelter],,
[manufacturer_of_goods],,
[alaskan_native_servicing_institution],,
[native_hawaiian_servicing_institution],,
[dot_certified_disadvantage],,
[sba_certified_8a_joint_venture],,
[contracting_officers_determination_of_business_size],TRUE,[contracting_officers_determination_of_business_size_code]
[CSIStransactionID],,
[CSISstage2id],TRUE,
[DepartmentID],,
[awarding_department_name],TRUE,[DepartmentID]
[totalcontractvalue],,
[totaldollaramountinvoiced],,
[numberofcontractorhoursinvoiced],,
[numberofcontractorfulltimeequivalentemployeesftes],,
[totalactionobligation],,
[totalbaseandalloptionsvalue],,
[primecontractorhoursinvoiced],,
[primecontractorfulltimeequivalentemployeesftes],,
[subcontractor],,
[subcontractnumber],,
[subcontractorname],,
[usaspending_file_name],TRUE,
[fundingrequestingdepartmentid],,[Funding_Department_ID]
[totalbaseandexercisedvalue],,
[sam_exception_description],TRUE,[sam_exception]
[cage_code],,
[award_or_idv_flag],,
[inherently_governmental_functions],,[inherently_governmental_functions_description]   
[inherently_governmental_functions_description],TRUE,[inherently_governmental_functions]
[foreign_funding_description],TRUE,[foreign_funding]
[transaction_number_bigint],,
[last_modified_date_datetime2],,
[contract_transaction_unique_key],,
[contract_award_unique_key],,
[solicitation_date],,
[treasury_accounts_funding_this_award],,
[federal_accounts_funding_this_award],,
[usaspending_permalink],,
[contractactiontypedd350],,
[headquartercode],,
[contractnumber],,
[current_total_value_of_award],,
[potential_total_value_of_award],,
[total_dollars_obligated],,
[PByear],,
[AccountDSI],,[MainAccountName]
[MainAccountCode],,[MainAccountName]
[MainAccountName],,[MainAccountCode]
[defenseorganization],,[DefenseOrganizationName]
[DefenseOrganizationName],,[defenseorganization]
[BudgetActivity],,[BudgetActivityTitle]
[BudgetActivityTitle],,[BudgetActivity]
[BudgetSubActivity],,[BudgetSubActivityTitle]
[BudgetSubActivityTitle],,[BudgetSubActivity]
[LineItem],,[LineItemTitle]
[LineItemTitle],,[LineItem]
[CostType],,[CostTypeTitle]
[CostTypeTitle],,[CostType]
[AddOrNonAdd],,
[Classified],,[ClassifiedName]
[FiscalYear],,
[BaseOther],,
[ProjectionType],,
[Quantity],,
[Value],,
[LineNumber],,
[BaseOtherSum],,
[BaseOtherInclude],,
[OriginType],,
[PBtotal],,
[PBtype],,
[EnactedTotal],,
[EnactedType],,
[SpecialType],,
[ActualTotal],,
[QuantPBtotal],,
[QuantPBtype],,
[QuantEnactedTotal],,
[QuantEnactedType],,
[QuantSpecialType],,
[QuantActualTotal],,
[programelement],,[programelementtitle]
[programelementtitle],,[programelement]
[includeintoa],,
[description],,
[programelementsforcodebitems],,
[otherrelatedprogramelements],,
[iscontinuing],,
[exhibits],,
[idcode],,
[mdap],,
[type],,
[header1],,
[book],,
[isrevisedjbook],,
[ClassifiedName],,[Classified]
[recipient_county_name],,
[disaster_emergency_fund_codes_for_overall_award],,
[object_classes_funding_this_award],,
[program_activities_funding_this_award],,
[obligated_amount_from_covid-19_supplementals_for_overall_award],,
[outlayed_amount_from_covid-19_supplementals_for_overall_award],,
[csistiebreakerid],,
[ismissingfromupdate],,
[recipient_uei],,
[recipient_parent_uei],,
[prime_award_base_transaction_description],,
[obligated_amount_from_iija_supplemental_for_overall_award],,
[outlayed_amount_from_iija_supplemental_for_overall_award],,
[recipient_name_raw],,
[recipient_parent_name_raw],,
[prime_award_transaction_recipient_county_fips_code],,
[prime_award_transaction_recipient_state_fips_code],,
[prime_award_transaction_place_of_performance_county_fips_code],,
[prime_award_transaction_place_of_performance_state_fips_code],,
[total_outlayed_amount_for_overall_award],,
[initial_report_date],,
[entity_data_source],,
[pulled_from],,
[created_at],,
[updated_at],,
[detached_award_procurement_id],,
[additional_reporting],,
[vendor_enabled],,
[foreign_owned_and_located],,
[legal_entity_zip5],,
[legal_entity_zip_last4],TRUE,[recipient_zip_4_code]
[place_of_perform_zip_last4],TRUE,[primary_place_of_performance_zip_4]
[place_of_performance_zip5],,
[place_of_perform_country_n],,
[place_of_perform_state_nam],,
[ultimate_parent_unique_ide],,
[referenced_idv_agency_name],,
[business_categories],,
[temp_uei],,
[correction_delete_ind],TRUE,
