coloration.key,variable,Label,Display.Order,Color,RGB,shape,size,alpha,text.color,text.RGB,abbreviation
Source,R-2,R-2,2,green,#92D050,,,,default grey,#554449,
Source,P-1,P-1,3,green,#92D050,,,,default grey,#554449,
Source,P-40,P-40,4,green,#92D050,,,,default grey,#554449,
,,,,,,,,,,,
Overall,Services Contract Spend,Services Contract Spend,1,"Blue, Accent 1",,,,,default grey,#554449,
Overall,Other Services Outlays,Other Services Outlays,2,"Orange, Accent 6",,,,,default grey,#554449,
Overall,Services Contract %,Services Contract %,3,"Blue, Accent 1, Darler 50%",,,,,default grey,#554449,
Overall,Other Outlays %,Other Outlays %,4,"Orange, Accent 6, 40% Darker",,,,,default grey,#554449,
,,,,,,,,,,,
Performance,Terminated,Terminated,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Performance,Complete or Partial Termination,Complete or Partial Termination,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Performance,Unterminated,NotTerminated,2,orange,#DB8403,,,,default grey,#554449,
,,,,,,,,,,,
Topline,DHS Services Contract Spend,DHS Contract Spending,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Topline,Other DHS Outlays,Other DHS Outlays,2,Light Blue Accent 6,#4BA5E3,,,,default grey,#554449,
Topline,Services Contract %,Contract Outlays as Percent of DHS Outlays,3,"Blue, Accent 1, Darler 50%",#0D0DD1,,,,default grey,#554449,
,,,,,,,,,,,
Dollar Type,Contract Obligations,Contract Obligations,1,orange,#DB8403,,,,default grey,#554449,
Dollar Type,Contract,Contract,1,orange,#DB8403,,,,default grey,#554449,
Dollar Type,Grant Awards,Grant Awards,2,olive green,#89A54E,,,,default grey,#554449,
Dollar Type,Grant,Grant,2,olive green,#89A54E,,,,default grey,#554449,
Dollar Type,Gross Outlays,Gross Outlays,3,purple,#71588F,,,,default grey,#554449,
Dollar Type,Outlay,Outlay,3,purple,#71588F,,,,default grey,#554449,
Dollar Type,Outlays,Outlays,3,purple,#71588F,,,,default grey,#554449,
Dollar Type,Offset-Financed Outlays,Offset-Financed Outlays,6,red,#AA4643,,,,default grey,#554449,
Dollar Type,Outlay Residual,Outlay Residual,6,red,#AA4643,,,,default grey,#554449,
Dollar Type,Net Outlays,Net Outlays,5,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Dollar Type,Gross Outlays (Net Outlays+Outlays Financed by Offsets),Gross Outlays (Net Outlays+Outlays Financed by Offsets),7,purple,#71588F,,,,default grey,#554449,
Dollar Type,Other Outlays (Gross Outlays - Contract Obligations - Grant Awards),Other Outlays (Gross Outlays - Contract Obligations - Grant Awards),8,purple,#71588F,,,,default grey,#554449,
Dollar Type,Other Outlays (Contract Obligations - Grant Awards),Other Outlays (Gross Outlays - Contract Obligations),4,purple,#71588F,,,,default grey,#554449,
Dollar Type,Contract Obligations / Gross Outlays,Contract Obligations / Gross Outlays,1,orange,#DB8403,,,,default grey,#554449,
Dollar Type,Grant Awards / Gross Outlays,Grant Awards / Gross Outlays,2,olive green,#89A54E,,,,default grey,#554449,
,,,,,,,,,,,
Crisis,Remainder [0],Remainder [0],1,red,#AA4643,,,,default grey,#554449,
Crisis,Possible OCO [1-2],Possible OCO [1-2],2,pink,#D99694,,,,default grey,#554449,
Crisis,Borderline OCO [3-5],Borderline OCO [3-5],3,yellow,#FFC000,,,,default grey,#554449,
Crisis,Confident OCO [6-10],Confident OCO [6-10],4,blue,#4572A7,,,,default grey,#554449,
Crisis,Confident OCO,Confident OCO,4,blue,#4572A7,,,,default grey,#554449,
Crisis,Confirmed OCO,Confirmed OCO,5,green,#92D050,,,,default grey,#554449,
Crisis,All Other,All Other,90,dark gray,#808080,,,,default grey,#554449,
Crisis,All Non-OCO,All Non-OCO,90,dark gray,#808080,,,,default grey,#554449,
Crisis,OCO,OCO,5,green,#92D050,,,,default grey,#554449,
Crisis,Missed OCO,Missed OCO,98,lime,#00FF00,,,,default grey,#554449,
Crisis,Disaster,Disaster,7,orange,#DB8403,,,,default grey,#554449,
Crisis,Excluded,Excluded,100,purple,#71588F,,,,default grey,#554449,
Crisis,Remainder,Remainder,1,red,#AA4643,,,,default grey,#554449,
Crisis,ARRA,Recovery,8,light blue,#93A9CF,,,,default grey,#554449,
Crisis,Recovery,Recovery,8,light blue,#93A9CF,,,,default grey,#554449,
Crisis,OCO ('07-11),OCO ('07-11),1,green,#92D050,,,,default grey,#554449,
Crisis,OCO ('12+),OCO ('12+),2,olive green,#89A54E,,,,default grey,#554449,
Crisis,Disaster ('07+),Disaster ('07+),3,orange,#DB8403,,,,default grey,#554449,
Crisis,ARRA ('09-'13),ARRA ('09-'13),4,light blue,#93A9CF,,,,default grey,#554449,
Crisis,Other U.S. Civilian ('07+),Other U.S. Civilian ('07+),5,dark purple,#663366,,,,default grey,#554449,
Crisis,Other Intl. Civilian ('07+),Other Intl. Civilian ('07+),6,light purple,#cc33ff,,,,default grey,#554449,
Crisis,Other U.S. Defense ('07+),Other U.S. Defense ('07+),7,dark purple,#663366,,,,default grey,#554449,
Crisis,Other Intl. Defense ('07+),Other Intl. Defense ('07+),8,light teal,#33FFCC,,,,default grey,#554449,
Crisis,Other U.S. Defense ('12+),Other U.S. Defense ('12+),7,dark blue,#4572A7,,,,default grey,#554449,
Crisis,Other Intl. Defense ('12+),Other Intl. Defense ('12+),8,light teal,#33FFCC,,,,default grey,#554449,
Crisis,Other U.S. Civilian,Other U.S. Civilian ('07+),5,dark purple,#663366,,,,default grey,#554449,
Crisis,Other Intl. Civilian,Other Intl. Civilian ('07+),6,light purple,#cc33ff,,,,default grey,#554449,
Crisis,Other U.S. Defense,Other U.S. Defense ('07+),7,dark purple,#663366,,,,default grey,#554449,
Crisis,Other Intl. Defense,Other Intl. Defense ('07+),8,light teal,#33FFCC,,,,default grey,#554449,
Crisis,Deployed in Military Operations,Deployed in Military Operations,3,green,#92D050,,,,default grey,#554449,
Crisis,Emergency Operations,Emergency Operations,7,orange,#DB8403,,,,default grey,#554449,
Crisis,Other Exception,Other Exception,90,yellow,#FFC000,,,,default grey,#554449,
Crisis,No Exception,No Exception,98,reddish gray,#967878,,,,default grey,#554449,
Crisis,Contingency Operation As Defined In 10 U.S.C. 101(A)(13),Contingency Operation,1,olive green,#89A54E,,,,default grey,#554449,
Crisis,Humanitarian Or Peacekeeping Operation As Defined In 10 U.S.C. 2302(8),Humanitarian Or Peacekeeping Operation,2,aqua,#00FFFF,,,,default grey,#554449,
Crisis,Not Applicable,Not Applicable,98,red,#AA4643,,,,default grey,#554449,
Crisis,Operation Enduring Freedom (OEF),Operation Enduring Freedom (OEF),1,green,#92D050,,,,default grey,#554449,
Crisis,Hurricane Katrina 2005,Hurricane Katrina 2005,6,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Ophelia 2005,Hurricane Ophelia 2005,7,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Rita 2005,Hurricane Rita 2005,8,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Wilma 2005,Hurricane Wilma 2005,9,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Chris 2006,Hurricane Chris 2006,10,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Ernesto 2006,Hurricane Ernesto 2006,11,orange,#DB8403,,,,default grey,#554449,
Crisis,California Wildfires 2008,California Wildfires 2008,12,orange,#DB8403,,,,default grey,#554449,
Crisis,Midwest Storms And Flooding 2008,Midwest Storms And Flooding 2008,13,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Gustav 2008,Hurricane Gustav 2008,14,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Hanna 2008,Hurricane Hanna 2008,15,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Ike 2008,Hurricane Ike 2008,16,orange,#DB8403,,,,default grey,#554449,
Crisis,Inauguration 2009,Inauguration 2009,17,red,#AA4643,,,,default grey,#554449,
Crisis,"American Samoa Earthquake, Tsunami And Flooding",American Samoa Disasters 2010,17,orange,#DB8403,,,,default grey,#554449,
Crisis,Haiti Earthquake 2010,Haiti Earthquake 2010,19,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Earl 2010,Hurricane Earl 2010,20,orange,#DB8403,,,,default grey,#554449,
Crisis,Gulf Oil Spill 0410,Gulf Oil Spill 2010,21,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Irene 2011,Hurricane Irene 2011,22,orange,#DB8403,,,,default grey,#554449,
Crisis,Pacific Earthquake/Tsunami 2011,Pacific Earthquake/Tsunami 2011,23,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Isaac 2012 ,Hurricane Isaac 2012 ,25,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Sandy 2013,Hurricane Sandy 2013,26,orange,#DB8403,,,,default grey,#554449,
Crisis,Oklahoma Tornado And Storm 2013,Oklahoma Tornado And Storm 2013,27,orange,#DB8403,,,,default grey,#554449,
Crisis,Operation United Assistance (OUA) - Ebola Outbreak West Africa,Ebola Outbreak West Africa (OUA),28,green,#92D050,,,,default grey,#554449,
Crisis,Operations In Iraq And Syria,Operations In Iraq And Syria,29,green,#92D050,,,,default grey,#554449,
Crisis,Operation Freedom'S Sentinel (OFS),Operation Freedom's Sentinel (OFS),30,green,#92D050,,,,default grey,#554449,
Crisis,Hurricane Harvey 2017,Hurricane Harvey 2017,31,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Irma 2017,Hurricane Irma 2017,32,orange,#DB8403,,,,default grey,#554449,
Crisis,Hurricane Maria 2017,Hurricane Maria 2017,33,orange,#DB8403,,,,default grey,#554449,
Crisis,None,None,99,red,#AA4643,,,,default grey,#554449,
Crisis,-4,-4,-4,red,#AA4643,,,,default grey,#554449,
Crisis,-3,-3,-3,red,#AA4643,,,,default grey,#554449,
Crisis,-2,-2,-2,red,#AA4643,,,,default grey,#554449,
Crisis,-1,-1,-1,red,#AA4643,,,,default grey,#554449,
Crisis,0,0,0,red,#AA4643,,,,default grey,#554449,
Crisis,1,1,1,pink,#D99694,,,,default grey,#554449,
Crisis,1 point,1 point,12,pink,#D99694,,,,default grey,#554449,
Crisis,2,2,2,pink,#D99694,,,,default grey,#554449,
Crisis,3,3,3,yellow,#FFC000,,,,default grey,#554449,
Crisis,4,4,4,yellow,#FFC000,,,,default grey,#554449,
Crisis,2 points,2 points,11,yellow,#FFC000,,,,default grey,#554449,
Crisis,3 points,3 points,10,blue,#4572A7,,,,default grey,#554449,
Crisis,5,5,5,yellow,#FFC000,,,,default grey,#554449,
Crisis,6,6,6,blue,#4572A7,,,,default grey,#554449,
Crisis,7,7,7,blue,#4572A7,,,,default grey,#554449,
Crisis,8,8,8,blue,#4572A7,,,,default grey,#554449,
Crisis,9,9,9,blue,#4572A7,,,,default grey,#554449,
Crisis,10,10,10,blue,#4572A7,,,,default grey,#554449,
Crisis,Not in Sample,Not in Sample,25,reddish gray,#967878,,,,,,
,,,,,,,,,,,
International,Other OMB OCO list,Other OMB OCO list,2,yellow,#FFC000,,,,default grey,#554449,
International,Domestic,Domestic,10,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
International,FALSE,Domestic,10,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
International,0,Domestic,10,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
International,International,International,3,green,#92D050,,,,default grey,#554449,
International,TRUE,International,3,green,#92D050,,,,default grey,#554449,
International,1,International,3,green,#92D050,,,,default grey,#554449,
International,Afghanistan and Iraq,Afghanistan and Iraq,1,red,#AA4643,,,,default grey,#554449,
International,Afghanistan,Afghanistan,1,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
International,Iraq,Iraq,2,"DIIG Secondary, Tangelo",#e58846,,,,default grey,#554449,
International,Regional Support,Regional Support,3,yellow,#FFC000,,,,default grey,#554449,
International,Rest of World ,Rest of World ,4,green,#92D050,,,,default grey,#554449,
International,US99,Cont. Office 99% Domestic,10,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
International,Mixed,Cont. Office 1-50% Intl.,4,green,#92D050,,,,default grey,#554449,
International,Intl,Cont. Office 50%+ Intl.,3,yellow,#eec260,,,,default grey,#554449,
International,"PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT","PERFORMED OR MANUFACTURED IN US, BUT SERVICES PERFORMED BY A FOREIGN CONCERN OR MORE THAN 50% FOREIGN CONTENT",2,green,#92D050,,,,default grey,#554449,
International,PERFORMED OR MANUFACTURED OUTSIDE US,PERFORMED OR MANUFACTURED OUTSIDE US,11,"DIIG Secondary, Tangelo",#e58846,,,,default grey,#554449,
International,NOT A MANUFACTURED END PRODUCT,NOT A MANUFACTURED END PRODUCT,12,"DIIG Secondary, Marine",#999999,,,,default grey,#554449,
International,MFG IN U.S.,MFG IN U.S.,1,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,3,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - RESALE,MFG OUTSIDE U.S. - RESALE,4,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - TRADE AGREEMENTS,MFG OUTSIDE U.S. - TRADE AGREEMENTS,5,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - COMMERCIAL INFORMATION TECHNOLOGY,MFG OUTSIDE U.S. - COMMERCIAL INFORMATION TECHNOLOGY,6,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - PUBLIC INTEREST DETERMINATION,MFG OUTSIDE U.S. - PUBLIC INTEREST DETERMINATION,7,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - DOMESTIC NONAVAILABILITY,MFG OUTSIDE U.S. - DOMESTIC NONAVAILABILITY,8,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - UNREASONABLE COST,MFG OUTSIDE U.S. - UNREASONABLE COST,9,yellow,#eec260,,,,default grey,#554449,
International,MFG OUTSIDE U.S. - QUALIFYING COUNTRY (DOD ONLY),MFG OUTSIDE U.S. - QUALIFYING COUNTRY (DOD ONLY),10,yellow,#eec260,,,,default grey,#554449,
International,In U.S. but Foreign Services or Content,In U.S. but Foreign Services or Content,2,green,#92D050,,,,default grey,#554449,
International,Performed/Manufactured Outside U.S.,Performed/Manufactured Outside U.S.,11,"DIIG Secondary, Tangelo",#e58846,,,,default grey,#554449,
International,Not Manufactured End Product,Not Manufactured End Product,12,"DIIG Secondary, Marine",#999999,,,,default grey,#554449,
International,Manufactured in U.S.,Manufactured in U.S.,1,blue,#4572A7,,,,default grey,#554449,
International,Manufactured Outside U.S.,Manufactured Outside U.S.,3,yellow,#eec260,,,,default grey,#554449,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PBL,No history [0-3],No history [0-3],1,red,#AA4643,,,,default grey,#554449,
PBL,Outer edge [4-5],Outer edge [4-5],2,pink,#D99694,,,,default grey,#554449,
PBL,Uncommon [6-8],Uncommon [6-8],3,yellow,#FFC000,,,,default grey,#554449,
PBL,Promising [9-10],Promising [9-10],4,blue,#4572A7,,,,default grey,#554449,
PBL,1,1,1,red,#AA4643,,,,default grey,#554449,
PBL,2,2,2,red,#AA4643,,,,default grey,#554449,
PBL,3,3,3,red,#AA4643,,,,default grey,#554449,
PBL,4,4,4,pink,#D99694,,,,default grey,#554449,
PBL,5,5,5,pink,#D99694,,,,default grey,#554449,
PBL,6,6,6,yellow,#FFC000,,,,default grey,#554449,
PBL,7,7,7,yellow,#FFC000,,,,default grey,#554449,
PBL,8,8,8,yellow,#FFC000,,,,default grey,#554449,
PBL,9,9,9,blue,#4572A7,,,,default grey,#554449,
PBL,10,10,10,blue,#4572A7,,,,default grey,#554449,
PBL,Official PBL,Official PBL,1,olive green,#89A54E,,,,default grey,#554449,
PBL,Other,Other,2,orange,#DB8403,,,,default grey,#554449,
PBL,Not PBL,Not PBL,3,dark gray,#808080,,,,default grey,#554449,
,,,,,,,,,,,
Budget,O&S,O&S,4,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Budget,RDT&E,RDT&E,2,"DIIG Primary, Air Force",#72a0c1,,,,default grey,#554449,
Budget,Procurement,Procurement,3,"DIIG Primary, Red",#BB4243,,,,default grey,#554449,
Budget,Upgrade,Upgrade,1,"DIIG Additional, Yellowish Orange",#eec260,,,,default grey,#554449,
,,,,,,,,,,,
ProjectionType,ToComplete,ToComplete,1,Olive Green,#9BBB59,,,,default grey,#554449,
ProjectionType,FYDP5,FYDP5,2,Blue,#0070C0,,,,default grey,#554449,
ProjectionType,FYDP4,FYDP4,3,light Blue,#93CDDD,,,,default grey,#554449,
ProjectionType,FYDP3,FYDP3,4,Peach,#FAC090,,,,default grey,#554449,
ProjectionType,FYDP2,FYDP2,5,teal,#4198AF,,,,default grey,#554449,
ProjectionType,PB,PB,6,Orange,#DB843D,,,,default grey,#554449,
ProjectionType,Enacted,Enacted,7,Purpleblue,#93A9CF,,,,default grey,#554449,
ProjectionType,Actual,Actual,8,Light Red,#D19392,,,,default grey,#554449,
ProjectionType,Prior,Prior,9,Olive Green,#9BBB59,,,,default grey,#554449,
ProjectionType,Total,Total,10,dark blue,#4572A7,,,,default grey,#554449,
,,,,,,,,,,,
BaseOther,ProjectionBase,Base,1,"DIIG Primary, Navy",#1d2d5c,,,,default grey,#554449,
BaseOther,Base,Base,1,"DIIG Primary, Navy",#1d2d5c,,,,default grey,#554449,
BaseOther,ProjectionOCO,OCO,2,"DIIG Primary, Red",#BB4243,,,,default grey,#554449,
BaseOther,OCO,OCO,2,"DIIG Primary, Red",#BB4243,,,,default grey,#554449,
BaseOther,ProjectionTotal,Total,3,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
BaseOther,Total,Total,3,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
,,,,,,,,,,,
,,,,,,,,,,,
BudgetMatch,No FYDP Expected,No FYDP Expected,1,"DIIG Primary, Navy",#1d2d5c,,,,default grey,#554449,
BudgetMatch,Classified,Classified,1,"DIIG Primary, Navy",#1d2d5c,,,,default grey,#554449,
BudgetMatch,Classified/NSA,Classified/NSA,1,"DIIG Primary, Navy",#1d2d5c,,,,default grey,#554449,
BudgetMatch,Defense-Wide Non-Standard,Defense-Wide Non-Standard,2,"DIIG Secondary, Sea Green",#b2e1ea,,,,default grey,#554449,
BudgetMatch,Missing J-Book XML,Missing J-Book XML,3,"DIIG Additional, Pale Gray",#bcbcbc,,,,default grey,#554449,
BudgetMatch,No Key Match,No Key Match,4,"DIIG Primary, Red",#BB4243,,,,default grey,#554449,
BudgetMatch,Zero vs. Non-Zero,Zero vs. Non-Zero,5,"DIIG Secondary, Tangelo",#e58846,,,,default grey,#554449,
BudgetMatch,Different Values,Different Values,6,"DIIG Additional, Yellowish Orange",#eec260,,,,default grey,#554449,
BudgetMatch,Nigh Value Match,Nigh Value Match,7,"DIIG Primary, National Guard",#0e99d6,,,,default grey,#554449,
BudgetMatch,Value Match,Value Match,8,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
,,,,,,,,,,,
PByear,Actual,Actual,1,,#000000,,,,default grey,#554449,
PByear,Obama,Obama,2,,#e58846,,,,default grey,#554449,
PByear,2010,PB10,2,,#e58846,,,,default grey,#554449,
PByear,PB10,PB10,2,,#e58846,,,,default grey,#554449,
PByear,2011,PB11,3,,#999999,,,,default grey,#554449,
PByear,PB11,PB11,3,,#999999,,,,default grey,#554449,
PByear,2012,PB12,4,,#E69F00 ,,,,default grey,#554449,
PByear,PB12,PB12,4,,#E69F00 ,,,,default grey,#554449,
PByear,2013,PB13,5,,#56B4E9,,,,default grey,#554449,
PByear,PB13,PB13,5,,#56B4E9,,,,default grey,#554449,
PByear,2014,PB14,6,,#009E73 ,,,,default grey,#554449,
PByear,PB14,PB14,6,,#009E73 ,,,,default grey,#554449,
PByear,2015,PB15,6,,#F0E442,,,,default grey,#554449,
PByear,PB15,PB15,6,,#F0E442,,,,default grey,#554449,
PByear,2016,PB16,7,,#0072B2,,,,default grey,#554449,
PByear,PB16,PB16,7,,#0072B2,,,,default grey,#554449,
PByear,2017,PB17,8,,#D55E00,,,,default grey,#554449,
PByear,PB17,PB17,8,,#D55E00,,,,default grey,#554449,
PByear,2018,PB18,9,,#CC79A7,,,,default grey,#554449,
PByear,PB18,PB18,9,,#CC79A7,,,,default grey,#554449,
PByear,Trump,Trump,10,,#e58846,,,,default grey,#554449,
PByear,2019,PB19,10,,#e58846,,,,default grey,#554449,
PByear,PB19,PB19,10,,#e58846,,,,default grey,#554449,
PByear,2020,PB20,11,,#999999,,,,default grey,#554449,
PByear,PB20,PB20,11,,#999999,,,,default grey,#554449,
PByear,2021,PB21,12,,#E69F00 ,,,,default grey,#554449,
PByear,PB21,PB21,12,,#E69F00 ,,,,default grey,#554449,
,,,,,,,,,,,
Area,Services (Non-R&D),Services (Non-R&D),1,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
Area,Services (All),Services (All),1,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Area,Services,Services,1,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Area,All Services,All Services,1,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Area,Services & R&D,Services & R&D,1,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Area,PAMS,PAMS,2,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
Area,ICT,ICT,3,blue,#0e99d6,,,,default grey,#554449,
Area,Equipment-Related Services,Equipment-Related Services,4,"DIIG Additional, Sea Pink",#d37d7d,,,,default grey,#554449,
Area,ERS,ERS,4,"DIIG Additional, Sea Pink",#d37d7d,,,,default grey,#554449,
Area,FRS&C,FRS&C,5,"DIIG Additional, Yellowish Orange",#eec260,,,,default grey,#554449,
Area,MED,MED,7,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
Area,Other Services,Services (All),8,"Red, Accent 1",#C0504D,,,,default grey,#554449,
Area,R&D,R&D,9,"DIIG Primary, Air Force",#72a0c1,,,,default grey,#554449,
Area,Supplies,Supplies,10,light blue,#93A9CF,,,,default grey,#554449,
Area,Products,Products,10,,#BB4243,,,,default grey,#554449,
Area,Products (All),Products,10,,#BB4243,,,,default grey,#554449,
Area,Other,Other,10,peach,#FDC8C8,,,,default grey,#554449,
Area,Aircraft,Aircraft,11,light Blue,#93CDDD,,,,default grey,#554449,
Area,Ground Vehicles,Ground Vehicles,12,dark olive green,#556B2F,,,,default grey,#554449,
Area,Ships,Ships,13,Blue,#0070C0,,,,default grey,#554449,
Area,Missiles & Space,Missiles & Space,14,Light Red,#D19392,,,,default grey,#554449,
Area,Engines & Power Plants,Engines & Power Plants,15,red,#C0504D,,,,default grey,#554449,
Area,Electronics & Communications,Electronics & Communications,16,dodger blue,#1E90FF,,,,default grey,#554449,
Area,Launchers & Munitions,Launchers & Munitions,18,dark orange,#FF8C00,,,,default grey,#554449,
Area,Clothing & Subsistence,Clothing & Subsistence,19,purple,#B3A2C7,,,,default grey,#554449,
Area,Fuels,Fuels,21,dark gray,#808080,,,,default grey,#554449,
Area,Fuel,Fuel,21,dark gray,#808080,,,,default grey,#554449,
Area,Unlabeled,Unlabeled,25,reddish gray,#967878,,,,default grey,#554449,
Area,Other Products,Products,21,light blue,#93A9CF,,,,default grey,#554449,
Area,Launchers & Mun.,Launchers & Munitions,18,dark orange,#FF8C00,,,,default grey,#554449,
Area,Engines & Power Pl.,Engines & Power Plants,15,red,#C0504D,,,,default grey,#554449,
Area,Electronics & Comm.,Electronics & Communications,16,dodger blue,#1E90FF,,,,default grey,#554449,
Area,Clothing & Sub.,Clothing & Subsistence,19,purple,#B3A2C7,,,,default grey,#554449,
Area,Other Platform/Weap.,,13,Light Red,#D19392,,,,default grey,#554449,
Area,Operation of Government R&D Facilities,Operation of Government\nR&D Facilities,30,"DIIG Secondary, Mallard",#3D4936,,,,default grey,#554449,
Area,Basic Research (6.1),Basic Research (6.1),31,"DIIG Primary, Blue",#0054A4,,,,default grey,#554449,
Area,Applied Research (6.2),Applied Research (6.2),32,dark orange,#0e99d6,,,,default grey,#554449,
Area,Advanced Technology Development (6.3),Advanced Technology\nDevelopment (6.3),33,"DIIG Primary, Air Force",#72a0c1,,,,default grey,#554449,
Area,Advanced Component Development & Prototypes (6.4),Advanced Component\nDevelopment & Prototypes (6.4),34,Light Red,#D19392,,,,default grey,#554449,
