projectText	ProjectID	MinOfstartFiscalYear	MaxOfEndFiscalYear
1GIK	491	NULL	NULL
1GIM	493	NULL	NULL
1GPA	511	NULL	NULL
1GVM	541	NULL	NULL
1HDO	570	NULL	NULL
1HYA	585	NULL	NULL
2 1/2 TON 6X6 ALL BODY TY	269	NULL	NULL
2 1/2 TON 6X6 ALL BODY TYPES	269	1990	1993
2 1/2 TON 8X8 XM410	271	1991	1991
2.75" ROCKET ALL TYPES	173	1991	2003
200 KW MOD MEP-009	1754	1991	2000
2000 KW SSTG	1147	1990	1990
205	2032	NULL	NULL
20MM AMMUNITION ALL TYPES	349	1994	2003
20MM GUN (HS)	308	1991	1998
20MM GUN (VULCAN) M61	311	1992	2003
20MM GUN XM163	310	1991	1994
20MM XM167 TOWED	309	1991	2003
214 COMMERCIAL	107	1991	2003
25/MK 58 LOCATION MARKER	1154	1990	1996
2500 LM GAS TURBINE	1148	1990	2003
25MM AMMUNITION ALL TYPES	362	2002	2002
25MM M242 AUTOMATIC GUN	319	1991	2012
2ACJ	722	NULL	NULL
2ACS	727	NULL	NULL
2B-24 SYNTHETIC FLIGHT TR	122	NULL	NULL
2B-24 SYNTHETIC FLIGHT TRN	122	1990	1991
2B-31 SYN FLGT TRN CHINOO	786	NULL	NULL
2B-31 SYN FLGT TRN CHINOOK	786	1990	1997
2CNR	861	NULL	NULL
2CPJ	870	NULL	NULL
2DBE	881	NULL	NULL
2GDM	991	NULL	NULL
2GEB	999	NULL	NULL
2GFM	1010	NULL	NULL
2GID	1026	NULL	NULL
2GMQ	1041	NULL	NULL
2GNB	1048	NULL	NULL
2GNR	1057	NULL	NULL
2GRB	1085	NULL	NULL
2GRP	1095	NULL	NULL
2GRR	1096	NULL	NULL
2GSQ	1108	NULL	NULL
2SGK	1238	NULL	NULL
2SGO	1242	NULL	NULL
2SIP	1257	NULL	NULL
2SMO	1300	NULL	NULL
3/4 TON 4X2 NTV MAINT TRU	265	NULL	NULL
3/4 TON 4X2 NTV MAINT TRUCK	265	1991	1992
3/4 TON 4X4 ALL BDY TYPES	266	1991	1993
30 CAL BALL	344	1992	1992
30 CAL M1909 BLANK	345	1993	1994
30-E EMU GENERATOR	1748	1992	1998
30MM AMMUNITION ALL TYPES	369	1998	2003
30MM GUN MOUNT/COASTAL PT	896	NULL	NULL
30MM GUN MOUNT/COASTAL PTRL	896	1990	1997
319	1322	NULL	NULL
375	1369	NULL	NULL
38 CAL ALL TYPES	354	1991	1991
38 CALIBER	1593	1992	1992
384	2033	NULL	NULL
39A	2034	NULL	NULL
3CNA	1534	NULL	NULL
3FBU	1594	NULL	NULL
3HXG	1763	NULL	NULL
3HXX	1775	NULL	NULL
4.2" M329/XM502 HE CARTRI	347	NULL	NULL
4.2" M329/XM502 HE CARTRIDGE	347	NULL	NULL
400 HZ POWER GENERATOR	1143	1991	2001
404L TRAFF CNTRL & LAND S	1708	NULL	NULL
404L TRAFF CNTRL & LAND SYS	1708	1990	2003
407L TACTICAL AIR CONTROL	1707	NULL	NULL
407L TACTICAL AIR CONTROL SY	1707	1990	2003
40MM AMMUNITION ALL TYPES	352	1996	2011
411L AWACS	1713	1990	2009
413L DEW LINE	1715	1990	1996
417	2035	NULL	NULL
418	1803	NULL	NULL
419	1804	NULL	NULL
420	2036	NULL	NULL
421	2037	NULL	NULL
424	1805	NULL	NULL
425L NORAD COC	1709	1992	1992
426	1806	NULL	NULL
427M CHEYENNE	1724	1990	2002
429	2038	NULL	NULL
433	2039	NULL	NULL
433L WEATHER SYSTEM	1710	1990	2002
436M SAC CMD & CTRL	1726	1991	1991
437	2040	NULL	NULL
439	2041	NULL	NULL
440L FWD SCATTER OTH RAD	1711	1990	1995
442	2042	NULL	NULL
443	2043	NULL	NULL
45 CAL M1911 BALL	346	1991	1992
45/69 KW 60 CYCLE DIESEL	566	1992	1993
4500 PSI AIR COMPRESSOR S	1161	NULL	NULL
4500 PSI AIR COMPRESSOR SYS	1161	1990	1996
466	2044	NULL	NULL
466L ELECTROMAGNETIC INTE	1712	NULL	NULL
466L ELECTROMAGNETIC INTEL S	1712	1990	1996
469	2045	NULL	NULL
470	2046	NULL	NULL
474	2047	NULL	NULL
474L BMEWS	1714	1990	2002
478T CTC (TRI-TAC)	1727	1991	1992
479	2048	NULL	NULL
483	2049	NULL	NULL
483L DIGITAL COMM SYS	1722	1990	1994
485L TAC AIR CTRL SYS	1725	1991	1993
486L DEEP SEA	1716	1990	1994
487L SLFCS	1717	1990	1993
487M SPECIAL PURP COMM SY	1723	NULL	NULL
487M SPECIAL PURP COMM SYS	1723	1990	1993
490L AUTOVON DCS AUTOMATI	1718	NULL	NULL
490L AUTOVON DCS AUTOMATIC V	1718	1990	1997
492L US STRICOM COMMAND C	1719	NULL	NULL
492L US STRICOM COMMAND CONT	1719	1991	1993
494L ERCS EMERG RKT COMM 	1720	NULL	NULL
494L ERCS EMERG RKT COMM SYS	1720	1990	1997
496L SPADATS SPACETRACK	1721	1990	1998
5 TON 6X6 ALL BODY TYPES 	274	NULL	NULL
5 TON 6X6 ALL BODY TYPES M39	274	1990	1993
5 TON 8X8 XM656	276	1990	1993
5 TON M-939	280	1990	1993
5"/38 CAL CARTRIDGE	910	1991	2001
5./54 CAL CARTRIDGE	911	1989	1989
5./54 MK-41 PROJECTILE	917	1990	2001
5.56MM AMMUNITION ALL TYP	360	NULL	NULL
5.56MM AMMUNITION ALL TYPES	360	1999	2002
5.56MM CARBINE	313	1996	2004
5.56MM M249 SQD AUTOMATIC	318	NULL	NULL
5.56MM M249 SQD AUTOMATIC WPN	318	1991	2004
5.56MM RIFLE M16	904	1991	1995
50CAL M2 MACHINE GUN	307	1991	2003
50MM M85 MACHINE GUN	304	1991	2002
511	1810	NULL	NULL
532	1820	NULL	NULL
536	1822	NULL	NULL
5-INCH GUIDED PROJ 	10	2007	NULL
60 KW	1751	1990	1998
60MM	330	1997	2003
60MM AMMUNITION ALL TYPES	364	1996	2010
60MM HE M49A2	912	1991	1995
60MM HE XM720	355	1991	1991
60MM ILLUM LWCMS XM721	356	NULL	NULL
60MM SMK, WP, LWCMS XM722	357	1992	1992
7.62MM ALL TY EXCEPT BLAN	348	NULL	NULL
7.62MM ALL TY EXCEPT BLANK	348	1991	2001
7.62MM M134 AUTOMATIC	306	1993	1993
7.62MM M-240 MACHINE GUN	317	1991	1993
7.62MM M60 MACHINE GUN	303	1991	2003
7.62MM M73 MACHINE GUN	305	1991	1993
70MM GUN (VIPER)	315	1991	1991
716	1852	NULL	NULL
72 KW	1752	1990	1993
750 KW	1753	1991	2003
750 KW TURBINE	1145	1992	1993
8 INCH HE	372	1991	1993
81MM AMMUNITION ALL TYPES	365	1994	2002
81MM M29 ON MOUNT M23	331	1991	2003
81MM M374 HE CARTRIDGE	350	1991	1993
81MM M375 SMOKE WP CARTRI	351	NULL	NULL
81MM M375 SMOKE WP CARTRIDGE	351	NULL	NULL
81MM MORTAR	1588	1991	1993
81MM SMOKE XM819	358	1991	1991
81MM SP MORTAR M125	332	1991	2003
8711	1874	NULL	NULL
8712	1875	NULL	NULL
9 MM HANDGUN	1589	1992	1992
9MM AMMUNITION ALL TYPES	361	1996	2003
9MM PERSONAL DEFENSE WEAP	320	NULL	NULL
9MM PERSONAL DEFENSE WEAPON	320	1995	2003
A/EA-3 SKYWARRIOR	709	1990	2003
A/P22P-9(V) CBR	1165	1997	2002
A-1 SKYRAIDER	704	1990	2010
A-10	1499	1990	2013
A-12 AVENGER (TO REPLACE 	710	NULL	NULL
A-12 AVENGER (TO REPLACE A-6)	710	1990	2003
A-37	711	1990	2003
A-4 SKYHAWK	1879	1989	2012
A6	1878	NULL	NULL
A-6 INTRUDER	707	1988	2002
A-6E / A-6 UPGRADE 	83	2006	2012
A-6E/F	2214	NULL	NULL
A-7 CORSAIR II	708	1990	2003
A-7D 	1318	2006	NULL
A-7E 	1314	2008	NULL
A-9	1393	1990	1992
AABNCP-E4	1461	1990	2003
AAE	2050	NULL	NULL
AAG	2192	2017	NULL
AAK	1880	NULL	NULL
ABH	1882	NULL	NULL
ABL 	639	2004	NULL
ABRAMS SERIES (M1/M1A1/M1	250	NULL	NULL
ABRAMS SERIES (M1/M1A1/M1A2)	250	1994	2009
ABRAMS UPGRADE 	1839	2000	NULL
ACA	1884	NULL	NULL
ACC	1885	NULL	NULL
ACD	1886	NULL	NULL
ACM 	1850	2006	NULL
ACN	1887	NULL	NULL
ACS 	1365	2003	NULL
ACWS	2190	2017	NULL
ADG	1888	NULL	NULL
ADM-141C ITALD	872	1998	2003
ADM-20 QUAIL	1527	1990	2013
ADS 	1379	2005	NULL
ADV AVIATION BASED SHIP-A	1250	NULL	NULL
ADV AVIATION BASED SHIP-AVB	1250	1990	1990
ADV WIDEBAND 	699	2004	NULL
ADVANCED CRUISE MISSILE	1551	1992	1992
AEB	1889	NULL	NULL
AEC	1890	NULL	NULL
AEGIS 	11	2006	NULL
Aegis Mk 7	2219	NULL	NULL
AEGIS SM-3 Block IIA Co-D	2030	NULL	NULL
AEGIS SM-3 Block IIA Co-Development	2030	NULL	NULL
AEHF 	668	2004	NULL
AESA 	1329	2004	NULL
AF INT COM CTRL SYS	1728	1991	2010
AFAS (PRE-MS I) 155MM SP	325	1994	2003
AFATDS (ATCCS) 	1817	2005	NULL
AFATDS ADV FLD ART TAC DA	461	NULL	NULL
AFATDS ADV FLD ART TAC DATA SY	461	1995	2013
AFN	2052	NULL	NULL
AFSATCOMM	1734	1990	2009
AFSCN	1745	1991	2012
AFU	1895	NULL	NULL
AFV	2053	NULL	NULL
AGM-129/A ADV CRUISE MISS	1553	NULL	NULL
AGM-129/A ADV CRUISE MISSILE	1553	1994	2003
AGM-154A	874	1998	2009
AGM-154B	875	1999	1999
AGM-154C	876	2003	2003
AGM-28 HOUND DOG	1529	1991	1991
AGM-45 SHRIKE	838	1991	1994
AGM-62 WALLEYE	840	1990	2002
AGM-62/A WALLEYE	1590	1991	1992
AGM-65 MAVERICK	1530	1990	2011
AGM-65C	2216	NULL	NULL
AGM-65D	2217	1973	NULL
AGM-69 SRAM(SHT RG ATTK M	1531	NULL	NULL
AGM-69 SRAM(SHT RG ATTK MSL)	1531	1990	2000
AGM-80 VIPER	1533	1990	1993
AGM-84 HARPOON	863	1989	2013
AGM-87	858	1990	1991
AGM-88 HARM	859	1989	2010
AGM-88E AARGM 	1362	2004	NULL
AH-1 COBRA	101	1990	NULL
AH-1G HUEYCOBRA	109	1990	2011
AH-1J IRANIAN	102	1990	1991
AH-1J SEA COBRA	750	1990	2013
AH-1S COBRA TOW	104	1990	1993
AH-1W SUPER COBRA	751	1996	2013
AH-56 CHEYENNE	97	1991	1991
AH-64	113	1972	NULL
AH-64 APACHE	113	1990	2003
AHD	1899	NULL	NULL
AHE	2054	NULL	NULL
AHJ	2055	NULL	NULL
AHK	1900	NULL	NULL
AHP	1902	NULL	NULL
AHTSQ-111(Z)	1644	1990	1991
AHW	1904	NULL	NULL
AIG	2056	NULL	NULL
AIM-54 PHOENIX	839	1988	1997
AIM-54C	65	1976	NULL
AIM-7 SPARROW	831	1990	2011
AIM-7M(F)	61	1974	NULL
AIM-7M(N)	43	1974	NULL
AIM-9 SIDEWINDER	1913	1989	2011
AIM-95 AGILE	864	1990	2001
AIM-97	1537	NULL	NULL
AIM-9L(F)	42	1970	NULL
AIM-9L(N)	41	1970	NULL
AIM-9M(F)	59	NULL	NULL
AIM-9M(N)	58	NULL	NULL
AIM-9X 	1842	2004	NULL
AIR CARGO MATERIALS HAND 	1757	NULL	NULL
AIR CARGO MATERIALS HAND 463L	1757	1990	2003
AIR CONDITIONER A3	1760	1991	1999
AIR CONDITIONER AM32C10C	1759	1990	1999
AIR CONDITIONER MA-3	1762	1990	1995
AIR CONDITIONERS	586	1994	2002
AIR CUSHION VEH 30 TON	227	1990	1999
AIR DEFENSE TARGETS	485	2001	2003
AIR TRAFFIC CNTL COMM CON	487	NULL	NULL
AIR TRAFFIC CNTL COMM CONSOLE	487	1998	2011
AIRBORNE ECM/ECCM NKC-135	1011	1990	2003
AIRBORNE RECON LOW (ARL)	476	1999	2012
AIRCOM SPACECOM	1732	1992	1993
AIRCRAFT CARRIER -CVA-64	1180	1989	2003
AIRCRAFT CARRIER CVAN-65	1184	1990	2011
AIRCRAFT CARRIER -CVAN-69	1183	1989	2000
AIRCRAFT CARRIER -CVN-71	1175	1990	2003
AIRCRAFT CARRIER -CVN-72	1172	1989	2003
AIRCRAFT TOW MB-2	1563	1991	2003
AIRCRAFT TOW MB-4	1564	1991	1997
ALAM 	1330	2004	2006
ALCM 	12	2006	NULL
ALL SOURCE ANALYSIS SYS	439	1994	2003
AMMO COMPONENTS ALL TYPES	399	1995	2010
AMMUNITION BOX M2A1	573	1991	1993
AMMUNITION SHIP-AE	1251	1989	2003
AMMUNITION SIMULATORS, AL	1935	NULL	NULL
AMMUNITION SIMULATORS, ALL TYPES	1935	2000	NULL
AMPHIBIOUS 15 TON LARC	225	1991	1991
AMPHIBIOUS 5 TON LARC	224	1991	1991
AMPHIBIOUS 60 TON LARC	226	1996	2000
AMPV	2146	2015	NULL
AMRAAM 	81	1990	2010
AMRAAM (NAVY) 	80	2004	NULL
AN/AFQ-137	1605	1990	2000
AN/ALE-40 COUNTERMEASURES	1621	1990	2011
AN/ALE-41	965	1989	2003
AN/ALE-50	968	1997	2012
AN/ALQ-100 ECM	929	1991	1991
AN/ALQ-101 ECM	1624	1990	2000
AN/ALQ-119	1619	1990	2013
AN/ALQ-122 ECM SYS	1609	1990	2011
AN/ALQ-123	978	1991	1993
AN/ALQ-125 TEREC	1622	1990	1998
AN/ALQ-126 ECM	966	1990	2001
AN/ALQ-131	1612	1990	2010
AN/ALQ-133 QUICK LOOK	415	1990	2000
AN/ALQ-135	1608	1990	2013
AN/ALQ-136 COUNTERMEASURE	431	NULL	NULL
AN/ALQ-136 COUNTERMEASURES	NULL	1990	2012
AN/ALQ-147 COUNTERMEASURE	438	NULL	NULL
AN/ALQ-147 COUNTERMEASURES	438	1999	2001
AN/ALQ-151 COUNTERMEASURE	432	NULL	NULL
AN/ALQ-151 COUNTERMEASURES	432	1990	1995
AN/ALQ-153 TAIL WARNING S	1623	NULL	NULL
AN/ALQ-153 TAIL WARNING SYSTM	1623	1990	1999
AN/ALQ-155	1610	1990	2003
AN/ALQ-165 (V) (ASPJ)	1022	1991	2000
AN/ALQ-26 PAVE TACK	1620	1990	1994
AN/ALQ-61 ECM	931	1991	2003
AN/ALR-31 ELEC COUNTERMEA	1617	NULL	NULL
AN/ALR-31 ELEC COUNTERMEASUR	1617	1990	2002
AN/ALR-45	933	1990	2002
AN/ALR-46	1611	1990	2003
AN/ALR-56 WARNING RECVR	1654	1990	2011
AN/ALR-62 COUNTERMEASURES	1616	1990	2003
AN/ALR-67 COUNT WARNING S	1023	NULL	NULL
AN/ALR-67 COUNT WARNING SYS	1023	1993	2011
AN/ALR-69	1677	1990	2008
AN/APA-74	1669	1992	1992
AN/APA-92	1670	1990	1992
AN/APD-7 RADAR	1062	1991	1991
AN/APG-59 RADAR	1053	1993	2001
AN/APN-147 DOPPLER	1664	1991	1994
AN/APN-153 DOPPLER	1665	1990	1994
AN/APN-159 BOMB NAV & FR 	1666	NULL	NULL
AN/APN-159 BOMB NAV & FR CTRL	1666	1992	2001
AN/APN-169 STATION KEEPIN	1667	NULL	NULL
AN/APN-169 STATION KEEPING	1667	1990	2003
AN/APN-175 DOPPLER	1668	1992	1997
AN/APN-194	1035	1990	2003
AN/APN-218 DOPPLER	1679	1991	1995
AN/APN-221 DOPPLER	1680	1993	2002
AN/APN-59 WEATHER RADAR	1674	1991	2003
AN/APQ-102 RADAR SYS	1678	1992	1992
AN/APQ-103	1049	1990	1990
AN/APQ-109 RADAR	1055	1991	2003
AN/APQ-113 ATTACK	1660	1990	1995
AN/APQ-114 ATTACK	1661	1991	1991
AN/APQ-119	1671	1991	1991
AN/APQ-161	1675	1990	1995
AN/APR-38	1656	1990	2003
AN/APR-39	498	1990	2013
AN/APS-107	1659	1992	1992
AN/APS-88	1038	1990	1995
AN/APX-72	497	1990	2003
AN/ARA-63	1094	1990	2003
AN/ARC-143 RADIO SET	1693	1990	1990
AN/ARC-159	1093	1991	2003
AN/ARC-164 (V)	1700	1991	2003
AN/ARC-186 RADIO	1695	1990	2003
AN/ARC-34	1685	1990	1990
AN/ARC-51 RADIO	1066	1990	1994
AN/ARC-88	1686	1991	1991
AN/ARN-52 TACAN	1072	1990	2002
AN/ARN-84 TACAN NAVIG	1064	1991	2003
AN/ARN-92 LORAN D	1690	NULL	NULL
AN/ARQ-33 QUICK FIX	515	1992	1992
AN/ASC-15 COMM CENTRAL	450	1990	1993
AN/ASD-1 ARBNE ELECT SUB-	1652	NULL	NULL
AN/ASD-1 ARBNE ELECT SUB-SYS	1652	1991	1999
AN/ASM-146 AIR COND SHELT	408	NULL	NULL
AN/ASM-146 AIR COND SHELTER	408	1991	1993
AN/ASM-147 AIR COND SHELT	409	NULL	NULL
AN/ASM-147 AIR COND SHELTER	409	1990	1999
AN/ASM-189 AIR COND SHELT	418	NULL	NULL
AN/ASM-189 AIR COND SHELTER	418	1995	2003
AN/ASN-84 INER NAV SYS	1032	1990	1999
AN/ASQ-104 NAVIGATION SYS	943	1990	2003
AN/ASW-20	997	1990	2000
AN/AXQ-16 COCKPIT TV SENS	1701	NULL	NULL
AN/AXQ-16 COCKPIT TV SENSOR	1701	1991	1998
AN/BLR-14 ECM	972	1989	1992
AN/BPS-15 RADAR	1077	1992	2003
AN/BQH-2	1115	1991	1994
AN/BQH-4 (SSEP)	1120	1992	1996
AN/BQN-17	1101	1990	2003
AN/BQQ-1  SONAR	1121	1990	1995
AN/BQQ-5	1129	1989	2002
AN/BQQ-6 SONAR	1104	1990	2003
AN/BQR-15 TOWED ARRAY	1125	1989	2003
AN/BQR-19 TOPHAT	1127	1990	1991
AN/BQR-20	1098	1990	1994
AN/BQR-23	1100	1990	1995
AN/BQR-7 SONAR	1119	1990	1990
AN/BQS-13 	6	1989	1992
AN/BQS-15 SONAR	1113	1990	2002
AN/BQS-4	1099	1992	1997
AN/BQU-17 DEPTH SOUNDER	1132	1990	1991
AN/BRD() LF-VHF-DF	949	1990	2003
AN/BRD-4	1075	1992	1992
AN/BRD-7	1086	NULL	NULL
AN/BSY-1 	646	2008	2008
AN/BSY-1 (V) SONAR	1110	1990	NULL
AN/BSY-2 SUBMARINE COMBAT	1938	NULL	NULL
AN/BSY-2 SUBMARINE COMBAT SYS	1938	1990	2010
AN/DKT-26/27/36	969	1991	1991
AN/DLQ-3B ECM SET	1615	1990	1990
AN/DVG-2 RANGE FINDER LAS	423	NULL	NULL
AN/DVG-2 RANGE FINDER LASER	423	1991	1992
AN/FLR-11	930	1989	1992
AN/FPN-16 PRECISION APPRO	1052	NULL	NULL
AN/FPN-16 PRECISION APPROACH	1052	1990	1997
AN/FPQ-16	1704	1991	2003
AN/FPS-108 PHASED ARRAY R	1653	NULL	NULL
AN/FPS-108 PHASED ARRAY RADAR	1653	1990	2003
AN/FPS-117 RADAR SEEK IGL	1682	NULL	NULL
AN/FPS-117 RADAR SEEK IGLOO	1682	1990	2010
AN/FQQ-1/2/3/9 CAESAR/SOS	1116	NULL	NULL
AN/FQQ-1/2/3/9 CAESAR/SOSUS	1116	1990	2003
AN/FRC-155 162	527	1991	1991
AN/FRT-84 TRANSMITTER	1069	1992	2003
AN/FSA-52 COMM CTRL EQUIP	1004	1991	2001
AN/FSC-78	1639	1990	1998
AN/FSD JOINT STARS	1676	1990	2013
AN/GPS-6	1672	1991	1998
AN/GRA-114	530	1990	1990
AN/GRC-103 RADIO	512	1990	2003
AN/GRC-106 RADIO	514	1991	1998
AN/GRC-142/122 RADIO	521	1990	2003
AN/GRC-143 RADIO	522	1991	2003
AN/GRC-144 RADIO	520	1998	1998
AN/GRC-171	1689	1990	2003
AN/GRC-171 TRANSCEIVER	526	1990	1997
AN/GRC-193	1092	1991	2003
AN/GRC-206	1698	1991	2003
AN/GRC-212	1696	1991	2001
AN/GRN-9	1065	1991	2001
AN/GRT-21/22	1692	1992	1995
AN/GSG-10 (TACFIRE)	467	1990	2000
AN/GVS-5 RANGE FINDER LAS	420	NULL	NULL
AN/GVS-5 RANGE FINDER LASER	420	1990	1994
AN/GXC-7	1015	1991	2002
AN/GYK-29	430	1990	1996
AN/GYK-3 (V)	954	1996	1999
AN/MES-T1 RADAR SETS	1657	1990	1990
AN/MLQ-34 COUNTERMEASURES	429	1991	2003
AN/MPS-T1 RADAR CONTROL V	1655	NULL	NULL
AN/MPS-T1 RADAR CONTROL VAN	1655	1990	2003
AN/MRC-HF	1089	1992	1992
AN/MSC-46 SAT COMM TERM	459	1990	2003
AN/MSQ-103 TEAM PACK	417	1990	1990
AN/PAQ-1 TGT DESIGNATE LA	419	NULL	NULL
AN/PAQ-1 TGT DESIGNATE LASER	419	1990	1996
AN/PAS-7	503	1990	1991
AN/PPS-15	504	1991	1993
AN/PPS-5 RADAR PORTABLE	499	1991	2003
AN/PRC-104	1090	1991	2000
AN/PRC-25 PRC-77 RADIO SE	524	NULL	NULL
AN/PRC-25 PRC-77 RADIO SET	524	1991	1992
AN/PRC-25 RADIO	516	1991	1992
AN/PRC-68	1091	1990	1994
AN/PRC-70 RADIO SET	528	1991	1992
AN/PRC-75 RADIO SET	1070	1991	1995
AN/PRC-77 RADIO SET	529	1990	1999
AN/PRC-90 RADIO	1694	1991	2001
AN/PRC-90 SURVIVAL RADIO	513	1990	1990
AN/PSC-2 DIG COMM TERM	1009	1991	1991
AN/PSG-2 MESSAGE DEVICE	466	1990	1992
AN/PSW-1	967	1991	1998
AN/PVS-4 SIGHT	1141	1991	2003
AN/PVS-5 SIGHT	1142	1990	1997
AN/SLQ-12 ECM	937	1992	1994
AN/SLQ-13	939	1990	2003
AN/SLQ-17	936	1991	1993
AN/SLQ-19	934	1991	1991
AN/SLQ-21 ECM	935	1993	2003
AN/SLQ-25 TORP CM TRANS S	962	NULL	NULL
AN/SLQ-25 TORP CM TRANS SYS	962	1990	2009
AN/SLQ-32	1007	1989	NULL
AN/SLR-13	941	1990	1990
AN/SLR-24 SONAR	1111	1992	1999
AN/SPA 25	1058	1989	2003
AN/SPG-51 RADAR	1051	1992	1995
AN/SPG-55 RADAR ANTENNA	1076	1990	2003
AN/SPN-43	1040	1991	1994
AN/SPN-46(V)	1083	1990	2001
AN/SPS 30	1060	1991	1991
AN/SPS 40	1056	1990	2003
AN/SPS 49	1059	1990	2003
AN/SPS-48 AIR SEARCH RADA	1050	NULL	NULL
AN/SPS-48 AIR SEARCH RADAR	1050	1989	2012
AN/SPS-52 RADAR	1034	1991	2003
AN/SPS-58	1033	1995	2003
AN/SQQ-14 SONAR	1117	1990	1994
AN/SQQ-16 MINE SONAR	1114	1990	2003
AN/SQQ-23	1123	1991	1991
AN/SQQ-32 SONAR	1112	1990	2003
AN/SQQ-89 	49	2007	NULL
AN/SQQ-89 SONAR	1109	1990	NULL
AN/SQR-15	1130	1989	1992
AN/SQR-17 SONAR	1105	1990	2003
AN/SQR-18	1107	1990	1997
AN/SQR-19	1106	1973	NULL
AN/SQR-19 SONAR	1106	1990	1997
AN/SQS-23 SONAR	1122	1991	1993
AN/SQS-26 SONAR	1118	1990	1994
AN/SQS-35	1102	1990	2003
AN/SQS-53 SONAR	1128	1990	2010
AN/SQS-56	1103	1989	2001
AN/SRC-27 RADIO	1073	1993	1998
AN/SSQ-1(DIRECTIONAL)	1134	1991	1991
AN/SSQ-36	1136	1990	2003
AN/SSQ-53 (DIFAR)	1133	1990	2003
AN/SSQ-57 SPECIAL PURPOSE	1135	1990	2003
AN/SSQ-62 DICASS	1137	1989	2003
AN/SSQ-77(VLAD)	1138	1989	2003
AN/SWG-1A HSCLLS	877	1997	2003
AN/SYA-12 GARD	953	1990	1990
AN/SYQ 2/3/4 NTDS DATA SY	946	NULL	NULL
AN/SYQ 2/3/4 NTDS DATA SYS	946	1990	1995
AN/SYR-1 TRACKING SET	1006	1990	2003
AN/TCC-45 MULTIPLEXER SET	496	1990	1997
AN/TGC-37 COMM CENTRAL	982	1991	1997
AN/TLQ-17 COUNTERMEASURES	416	1992	1992
AN/TPM-25	500	1991	1991
AN/TPN-22	1045	1992	1992
AN/TPQ-36	505	1990	2013
AN/TPQ-37	507	1990	NULL
AN/TPS-32	1054	1990	1994
AN/TPS-43	1702	1991	2003
AN/TPS-47	1036	1990	1992
AN/TPS-59 RADAR SYS	1078	1990	2010
AN/TPS-63 RADAR SET	1046	1990	2003
AN/TPS-71 ROHR	1081	1990	1994
AN/TPX-42V	1044	1992	1997
AN/TPX-46 (MARK XIFF)	501	1990	2003
AN/TPX-50 (MARK XIFF ATCR	502	NULL	NULL
AN/TPX-50 (MARK XIFF ATCRBS)	502	1991	1991
AN/TRC-110 RADIO	518	1991	2001
AN/TRC-112 RADIO	519	1991	2003
AN/TRC-170 RADIO	1691	1990	2003
AN/TRC-97A	1697	1990	1993
AN/TRN-28	1063	1990	1995
AN/TRN-30 V-1	525	1991	1992
AN/TRQ-32 RADIO	533	NULL	NULL
AN/TRQ-35(V)	1706	1992	1995
AN/TRS-2	531	1990	1993
AN/TRU-6 TRANSMITTER	1687	1990	1990
AN/TSC-26 BASE RADIO	517	1993	1993
AN/TSC-60	1688	1990	1991
AN/TSC-61 FLIGHT COORD CN	424	NULL	NULL
AN/TSC-61 FLIGHT COORD CNTRL	424	1990	2001
AN/TSC-61 FLIGHT COORD CT	454	NULL	NULL
AN/TSC-61 FLIGHT COORD CTRL	454	1991	1995
