CSISbudgetLineKey,AccountDSI,DefenseOrganization,BudgetActivity,BudgetSubActivity,LineItem,ProgramElement,CSISbudgetLineTitle,IsLineItemAlsoLineNumber,CSIScreateddate,CSISmodifiedDate,CSISmodifiedBy
PROC~0300D~MDA~1~17~350,0300D,MDA,1,17,350,NULL,NAVY AREA TBDM PROGRAM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~MDA~1~17~355,0300D,MDA,1,17,355,NULL,AEGIS FIELDING,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~AP09,0300D,MDA,1,17,AP09,NULL,Aegis BMD Advance Procurement,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD07,0300D,MDA,1,17,MD07,NULL,THAAD,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD08,0300D,MDA,1,17,MD08,NULL,Ground Based Midcourse,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD09,0300D,MDA,1,17,MD09,NULL,Aegis BMD,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD11,0300D,MDA,1,17,MD11,NULL,BMDS AN/TPY-2 Radars,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD14,0300D,MDA,1,17,MD14,NULL,SM-3 IIAs,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD20,0300D,MDA,1,17,MD20,NULL,Arrow Upper Tier,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD26,0300D,MDA,1,17,MD26,NULL,Israeli Programs,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD34,0300D,MDA,1,17,MD34,NULL,Short Range Ballistic Missile Defense (SRBMD),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD73,0300D,MDA,1,17,MD73,NULL,Aegis Ashore Phase III,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD77,0300D,MDA,1,17,MD77,NULL,Radar Spares,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD83,0300D,MDA,1,17,MD83,NULL,Iron Dome,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD90,0300D,MDA,1,17,MD90,NULL,Aegis BMD Hardware and Software,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~MD97,0300D,MDA,1,17,MD97,NULL,Improved Homeland Defense (HLD) Interceptors,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~NDU~1~40~10,0300D,NDU,1,40,10,NULL,NATIONAL DEFENSE UNIVERSITY,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~NSA~1~2~40,0300D,NSA,1,2,40,NULL,DEFENSE AIRBORNE RECONNAISSANCE PROGRAM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~NSA~1~2~60,0300D,NSA,1,2,60,NULL,Information Systems Security Program (ISSP),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~NSA~1~2~80,0300D,NSA,1,2,80,NULL,COUNTERDRUG INTELLIGENCE,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~OSD~1~1~30,0300D,OSD,1,1,30,NULL,"Major Equipment, OSD",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~OSD~1~1~32,0300D,OSD,1,1,32,NULL,"Major Equipment, Intelligence",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~OSD~1~99~31,0300D,OSD,1,99,31,NULL,"Major Equipment, Intelligence",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201ARMOWT,0300D,SOCOM,2,1,0201ARMOWT,NULL,Armed Overwatch/Targeting,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201MANISR,0300D,SOCOM,2,1,0201MANISR,NULL,Manned ISR,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201MC12,0300D,SOCOM,2,1,0201MC12,NULL,MC12 Javaman,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201MH60,0300D,SOCOM,2,1,0201MH60,NULL,MH-60 Blackhawk,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201RWUPGR,0300D,SOCOM,2,1,0201RWUPGR,NULL,Rotary Wing Upgrades and Sustainment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~SOCOM~2~1~0201SOFTRG,0300D,SOCOM,2,1,0201SOFTRG,NULL,SOF TRAINING SYSTEMS,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
