ProjectID	ProjectName	ProjectPrettyName	ProjectAbbreviation	IsJointDevelopmentCaseStudy	CSISmodifiedDate	CSISmodifiedBy	IsPerformanceBasedLogistics	PlatformPortfolio	ObligatedAmount	MinOfFiscalYear	MaxOfFiscalYear	TopPlatformPortfolio	TopPlatformPortfolioObligatedAmount	TopParentID	TopParentIDObligatedAmount	Notes	IsUnknown	WasUncategorizedMissilesOrSpaceSystem	IsUninvestigated	IsRemotelyOperated	RANDID	IsParentProjectID	ParentProjectID	IDAID
46	STINGER 	STINGER 	150	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	219621813.6057	2005	2018	NULL	78690633.8429	RAYTHEON	188174972.3506	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
47	SURTASS 	SURTASS 	151	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	16034720.1571	2007	2018	Electronics, Comms, & Sensors	2441792.0000	NULL	15756803.7608	Surveillance Towed Array System	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
48	TACFIRE 	TACFIRE 	152	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	556133.0000	2007	2013	Electronics, Comms, & Sensors	511400.0000	HARRIS	511400.0000		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
49	AN/SQQ-89 	AN/SQQ-89 	153	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	70611201.1902	2007	2018	Electronics, Comms, & Sensors	22567422.6720	NULL	35278335.6786	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
50	TOMAHAWK 	TOMAHAWK 	154	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	80205435.7846	2007	2018	Ordnance and Missiles	37718522.1801	RAYTHEON	70832584.1608	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
51	TRIDENT SUB 	TRIDENT SUB 	155	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	13082670.1369	2005	2018	Ships & Submarines	4336273.3500	L3 COMMUNICATIONS	5685305.0000	NULL	NULL	NULL	0	NULL	Trident I (SUB)	NULL	NULL	NULL
52	BLACK HAWK (UH-60A/L) 	BLACK HAWK (UH-60A/L) 	156	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	6237107657.5648	2004	2018	Aircraft	1048158991.0314	UNITED TECH	2112812402.2008	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
53	M1/M1A1 ABRAMS TANK 	M1/M1A1 ABRAMS TANK 	157	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Land Vehicles	4040804792.2796	2004	2018	Land Vehicles	880360309.8243	GENERAL DYNAMICS	2668355971.2048	NULL	NULL	NULL	0	NULL	M-1 (Abrams)	NULL	NULL	NULL
54	APACHE (AH-64A) 	APACHE (AH-64A) 	158	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	5856809827.1300	2004	2018	Aircraft	1318148919.3340	BOEING	3770540149.2503	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
55	CG-47 	CG-47 	159	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	14359123.9861	2008	2018	Ships & Submarines	6189279.0000	BAE SYSTEMS	10736414.0000	USS Ticonderoga 	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
56	TACTAS 	TACTAS 	160	NULL	2017-06-23 16:49:55.5070000	Brian and Ravi update implemented by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	63584.0000	2007	2007	NULL	63584.0000	MEGGITT CORP USA	63584.0000	Tactical Towed Array System	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
57	CVN 68 	CVN 68 	161	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	9906895216.8499	2004	2018	Ships & Submarines	1417159567.7972	NORTHROP GRUMMAN	5383630942.8674	USS Nimitz	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
58	SIDWINGER (AIM-9M) (N) 	SIDWINGER (AIM-9M) (N) 	162	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ships & Submarines	776328.0000	2008	2008	Ships & Submarines	776328.0000	WOODWARD GOVERNOR	776328.0000	NULL	NULL	NULL	1	NULL	AIM-9M(N)	NULL	NULL	NULL
59	SIDWINGER (AIM-9M) (AF) 	SIDWINGER (AIM-9M) (AF) 	163	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	2571354.5285	2007	2016	Ordnance and Missiles	2516945.1984	BOEING	1895425.3301		NULL	NULL	0	NULL	AIM-9M(F)	NULL	NULL	NULL
60	SPARROW (AIM-7F) (N) 	SPARROW (AIM-7F) (N) 	164	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	1295954970.5674	2007	2018	Ordnance and Missiles	260701254.0000	RAYTHEON	1291951100.3374		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
61	SPARROW (AIM-7M) (AF) 	SPARROW (AIM-7M) (AF) 	165	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	941778.0393	2009	2013	Ordnance and Missiles	505213.0781	CALIAN	495447.0393	NULL	NULL	NULL	0	NULL	AIM-7M(F)	NULL	NULL	NULL
62	NAVSTAR GPS	NAVSTAR GPS	166	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Space Systems	11223946725.0350	2004	2018	Space Systems	1359417460.3782	LOCKHEED MARTIN	4692043969.9972	Global Positioning System	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
63	AV-8B 	AV-8B 	167	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	155683258.6668	2005	2018	Aircraft	29737718.0653	PAE AVIATION & TECHNICAL SERVICES	53891067.8577	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
64	B1-B 	B1-B 	168	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	933716812.7043	2006	2018	Aircraft	169285187.3967	BOEING	314210177.0073	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
65	PHOENIX (AIM-54C) 	PHOENIX (AIM-54C) 	169	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	13528.1808	2007	2015	Missile Defense	31998.3008	NORTHROP GRUMMAN	13528.1808	NULL	NULL	NULL	1	NULL	AIM-54C	NULL	NULL	NULL
66	JTIDS (ARMY) 	JTIDS (ARMY) 	170	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	98045.2891	2004	2012	Electronics, Comms, & Sensors	73248.0000	NULL	98045.2891	NULL	NULL	NULL	1	NULL	JTIDS(A)	NULL	NULL	NULL
67	JTIDS (NAVY) 	JTIDS (NAVY) 	171	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	65946698.4562	2006	2018	Electronics, Comms, & Sensors	15463017.0000	BAE SYSTEMS	62126113.7406	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
68	JTIDY (AIR FORCE) 	JTIDY (AIR FORCE) 	172	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	9674534.9531	2007	2013	Electronics, Comms, & Sensors	8419496.0000	AEROVIRONMENT	6153451.9531	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
69	BMTC 	BMTC 	173	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	8336.0000	2011	2011	Missile Defense	8336.0000	L3 COMMUNICATIONS	8336.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
70	KIOWA WARRIOR 	KIOWA WARRIOR 	174	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	2442517157.1562	2005	2018	Aircraft	439116899.2493	TEXTRON	782484438.1636	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
71	LAV (ARMY) 	LAV (ARMY) 	175	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Land Vehicles	228350086.2774	2006	2018	Land Vehicles	46387648.6126	CANADIAN COMMERCIAL CORPORATION	199215794.5192	NULL	NULL	NULL	0	NULL	LAV(A)	NULL	NULL	NULL
72	EELV 	EELV 	176	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Space Systems	20443132899.6524	2004	2018	Space Systems	2574970473.8961	UNITED LAUNCH ALLIANCE	14244885627.7207	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
73	TRIDENT II SUB 	TRIDENT II SUB 	177	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	310118767.2225	2010	2018	Ordnance and Missiles	93425035.0000	GENERAL DYNAMICS	309829312.2225	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
74	TRIDENT II MISSILE 	TRIDENT II MISSILE 	178	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	28223552555.3748	2000	2018	Ordnance and Missiles	2329221894.3024	LOCKHEED MARTIN	16991645432.3068	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
75	ARH 	ARH 	179	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	377728879.9647	2006	2018	Aircraft	95043538.8115	TEXTRON	308859806.1321	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
76	DDG 51 	DDG 51 	180	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	16626713081.9882	2001	2018	Ships & Submarines	2415498483.0455	GENERAL DYNAMICS	7211437404.2375	USS Arleigh Burke	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
77	KC-135R 	KC-135R 	181	0	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	1526722971.0983	2004	2018	Aircraft	265445866.9272	BOEING	616738269.0775	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
78	LUH 	LUH 	182	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	3291235020.9527	2006	2018	Aircraft	540030806.4300	EADS NV	3290491833.4484	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
79	FCA 	FCA 	183	NULL	2019-08-21 01:37:02.2400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NULL	NULL	561976034.1209	2007	2018	Aircraft	243772069.9757	L3 COMMUNICATIONS	559584752.3201		1	NULL	0	NULL	NULL	NULL	NULL	NULL
80	AMRAAM (NAVY) 	AMRAAM (NAVY) 	184	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	744919885.7833	2004	2018	Ordnance and Missiles	331308756.8398	NULL	457746172.7833	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
81	AMRAAM 	AMRAAM 	185	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	16104542611.8891	1990	2018	Ordnance and Missiles	1339704773.5562	RAYTHEON	12882436649.4169	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
82	LANTRIN 	LANTRIN 	187	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	5977226.5785	2007	2017	Electronics, Comms, & Sensors	3632435.6035	LOCKHEED MARTIN	2396154.5400	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
