ProjectID	ProjectName	ProjectPrettyName	ProjectAbbreviation	IsJointDevelopmentCaseStudy	CSISmodifiedDate	CSISmodifiedBy	IsPerformanceBasedLogistics	PlatformPortfolio	ObligatedAmount	MinOfFiscalYear	MaxOfFiscalYear	TopPlatformPortfolio	TopPlatformPortfolioObligatedAmount	TopParentID	TopParentIDObligatedAmount	Notes	IsUnknown	WasUncategorizedMissilesOrSpaceSystem	IsUninvestigated	IsRemotelyOperated	RANDID	IsParentProjectID	ParentProjectID	IDAID	IsUnidentified
15	CH-47D	CH-47D	115	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	7274255067.8946	2004	2018	Aircraft	1298685269.0266	BOEING	5727775452.0028	NA	0	NA	0	NA	NA	NA	NA	NA	0
16	C/MH-53E	C/MH-53E	116	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	398209619.2037	2005	2018	Aircraft	119416191.3803	UNITED TECH	212967691.1592	NA	0	NA	0	NA	C/MH-53	NA	NA	NA	0
17	CHEYENNE	CHEYENNE	117	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Aircraft	2630481.55	2008	2013	Aircraft	3187182.0000	TEXTRON	2316260.55	NA	0	NA	0	NA	NA	NA	NA	NA	0
18	SGT YORK GUN (DIVAD)	SGT YORK GUN (DIVAD)	119	NA	2017-06-23 16:49:55.5070000	Brian and Ravi update implemented by CSIS\GSanders	NA	Aircraft	863490	2009	2010	Aircraft	863490.0000	UNITED TECH	863490	Reused code for SGT YORK GUN (DIVAD) 	0	NA	0	NA	DIVAD	NA	NA	NA	0
19	DSCS III	DSCS III	120	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Space Systems	336528.6201	2008	2012	Space Systems	331905.0000	BOEING	331905		0	NA	0	NA	NA	NA	NA	NA	0
20	APS	APS	121	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	413465151.8915	2008	2018	Missile Defense	211435020.6185	AC FIRST [Joint Venture - AECOM & CACI]	173766254.875	Active Protection System	0	NA	0	NA	NA	NA	NA	NA	0
21	E-4 (AABNCP)	E-4 (AABNCP)	122	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	989576574.077	2006	2018	Aircraft	180071279.0665	BOEING	924756402.4299	NA	0	NA	0	NA	NA	NA	NA	NA	0
22	F-14D	F-14D	123	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	4899047.4	2009	2015	Aircraft	2511396.0000	NA	4948146	NA	0	NA	1	NA	NA	NA	NA	NA	0
23	F-15	F-15	124	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	6242810290.022	2005	2018	Aircraft	2237409011.6861	BOEING	3161082639.097	NA	0	NA	0	NA	F-15	NA	NA	NA	0
24	F-16	F-16	125	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	3800633983.2405	2004	2018	Aircraft	585781031.3221	LOCKHEED MARTIN	1141488063.4186	NA	0	NA	0	NA	F-16	NA	NA	NA	0
25	F/A-18A/B/C/D	F/A-18A/B/C/D	126	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	1075504028.7057	2006	2018	Aircraft	234413352.6365	BOEING	865314177.0913	NA	0	NA	0	NA	NA	NA	2212	NA	0
26	FFG-7	FFG-7	127	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	1005862.3078	2006	2014	Ships & Submarines	379919.0938	NA	850893.7969	USS Oliver Hazard Perry 	0	NA	0	NA	NA	NA	NA	NA	0
27	BRADLEY FVS	BRADLEY FVS	128	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Land Vehicles	7592917500.1957	2006	2018	Land Vehicles	3043315849.5424	BAE SYSTEMS	6446465015.435	NA	0	NA	0	NA	NA	NA	NA	NA	0
28	MLRS	MLRS	130	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	2268962054.6457	2004	2018	Ordnance and Missiles	687081345.1210	LOCKHEED MARTIN	2016398208.2657	NA	0	NA	0	NA	NA	NA	NA	NA	0
29	HARM (NAVY)	HARM (NAVY)	131	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Ordnance and Missiles	3527452.6499	2007	2013	NA	2064905.0000	RAYTHEON	3524322	NA	0	NA	0	NA	HARM(N)	NA	NA	NA	0
30	HARM (AIR FORCE)	HARM (AIR FORCE)	132	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	10860787.7318	2007	2018	Ordnance and Missiles	5421866.1226	RAYTHEON	9453284.1491	NA	0	NA	0	NA	HARM(F)	NA	NA	NA	0
31	HARPOON	HARPOON	133	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	238784861.3032	2006	2015	Ordnance and Missiles	133150811.0860	BOEING	233347953.7562	NA	0	NA	1	NA	NA	NA	NA	NA	0
32	LAMPS MKIII (SH-60B)	LAMPS MKIII (SH-60B)	134	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	338304715.6797	2006	2016	Aircraft	52063805.4890	GENERAL ELECTRIC	248261763.809	NA	0	NA	0	NA	NA	NA	NA	NA	0
33	LHA	LHA	135	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	5141083.2223	2007	2013	Ships & Submarines	3840223.8438	NORTHROP GRUMMAN	2739494	Landing Helicopter Assault	0	NA	0	NA	NA	NA	NA	NA	0
34	M198 TOWED HOWITZER (155M	M198 TOWED HOWITZER (155MM)	136	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	97902752.9167	2006	2018	Ordnance and Missiles	82195898.1592	GENERAL MOTORS	65363812.9699		0	NA	0	NA	NA	NA	NA	NA	0
35	MAVERICK (IR)	MAVERICK (IR)	137	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	80501133.7297	2008	2018	NA	77439608.0000	RAYTHEON	80009062.2297	NA	0	NA	0	NA	NA	NA	NA	NA	0
36	MK 48 ADCAP	MK 48 ADCAP	138	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	178569891	2010	2018	Ordnance and Missiles	50666619.0000	LOCKHEED MARTIN	178565528	NA	0	NA	0	NA	NA	NA	NA	NA	0
37	MK 48 TORPEDO	MK 48 TORPEDO	139	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	68450578.2176	2005	2018	Ordnance and Missiles	15727569.5000	LOCKHEED MARTIN	52956107.7375	NA	0	NA	0	NA	NA	NA	NA	NA	0
38	DD 963	DD 963	140	NA	2019-04-13 12:31:49.5400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NA	NA	756846	2012	2014	Aircraft	756846.0000	BOEING	756846		0	NA	0	NA	NA	NA	NA	NA	0
39	NATO PHM	NATO PHM	141	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	1007562.4	2011	2017	Ships & Submarines	817251.0000	KFORCE	1007562.4	Pegasus Class hydrofoils	0	NA	0	NA	NA	NA	NA	NA	0
40	PHOENIX (AIM-54A/B)	PHOENIX (AIM-54A/B)	142	NA	2017-04-14 21:48:24.6900000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Electronics, Comms, & Sensors	0	2007	2012	Electronics, Comms, & Sensors	34606.0000	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0
41	SIDEWINDER (AIM-9L) (N)	SIDEWINDER (AIM-9L) (N)	144	NA	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Ordnance and Missiles	367437.1875	2007	2011	Ordnance and Missiles	341917.1875	NA	367437.1875	NA	0	NA	1	NA	AIM-9L(N)	NA	NA	NA	0
42	SIDEWINDER (AIM-9L) (AF)	SIDEWINDER (AIM-9L) (AF)	145	NA	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Ordnance and Missiles	144035.7198	2009	2015	NA	58689.0000	NA	144035.7198	NA	0	NA	1	NA	AIM-9L(F)	NA	NA	NA	0
43	SPARROW (AIM-7M) (N)	SPARROW (AIM-7M) (N)	147	NA	2019-04-13 01:24:02.3266667	Automated stats update byGSanders@csis.org	NA	Ordnance and Missiles	59774975.8789	2007	2018	NA	11784140.0000	BAE SYSTEMS	46298362	NA	0	NA	0	NA	AIM-7M(N)	NA	NA	NA	0
44	PATRIOT PAC-3	PATRIOT PAC-3	148	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	3601983317.6487	2004	2018	Missile Defense	689834169.0000	LOCKHEED MARTIN	2726615731.9055	MIM-104 Patriot	0	NA	0	NA	PATRIOT PAC3	NA	NA	NA	0
45	SSN 688	SSN 688	149	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	532077449.1987	2004	2018	Ships & Submarines	164601031.1001	GENERAL DYNAMICS	487362630.9307	USS Los Angeles	0	NA	0	NA	NA	NA	NA	NA	0
46	STINGER	STINGER	150	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	219621813.6057	2005	2018	NA	78690633.8429	RAYTHEON	188174972.3506	NA	0	NA	0	NA	NA	NA	NA	NA	0
47	SURTASS	SURTASS	151	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	16034720.1571	2007	2018	Electronics, Comms, & Sensors	2441792.0000	NA	15756803.7608	Surveillance Towed Array System	0	NA	0	NA	NA	NA	NA	NA	0
48	TACFIRE	TACFIRE	152	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	556133	2007	2013	Electronics, Comms, & Sensors	511400.0000	HARRIS	511400		0	NA	0	NA	NA	NA	NA	NA	0
49	AN/SQQ-89	AN/SQQ-89	153	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	70611201.1902	2007	2018	Electronics, Comms, & Sensors	22567422.6720	NA	35278335.6786	NA	0	NA	1	NA	NA	NA	NA	NA	0
50	TOMAHAWK	TOMAHAWK	154	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	80205435.7846	2007	2018	Ordnance and Missiles	37718522.1801	RAYTHEON	70832584.1608	NA	0	NA	0	NA	NA	NA	NA	NA	0
51	TRIDENT SUB	TRIDENT SUB	155	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	13082670.1369	2005	2018	Ships & Submarines	4336273.3500	L3 COMMUNICATIONS	5685305	NA	0	NA	0	NA	Trident I (SUB)	NA	NA	NA	0
52	BLACK HAWK (UH-60A/L)	BLACK HAWK (UH-60A/L)	156	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	6237107657.5648	2004	2018	Aircraft	1048158991.0314	UNITED TECH	2112812402.2008	NA	0	NA	0	NA	NA	NA	NA	NA	0
53	M1/M1A1 ABRAMS TANK	M1/M1A1 ABRAMS TANK	157	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Land Vehicles	4040804792.2796	2004	2018	Land Vehicles	880360309.8243	GENERAL DYNAMICS	2668355971.2048	NA	0	NA	0	NA	M-1 (Abrams)	NA	NA	NA	0
54	APACHE (AH-64A)	APACHE (AH-64A)	158	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	5856809827.13	2004	2018	Aircraft	1318148919.3340	BOEING	3770540149.2503	NA	0	NA	0	NA	NA	NA	NA	NA	0
55	CG-47	CG-47	159	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	14359123.9861	2008	2018	Ships & Submarines	6189279.0000	BAE SYSTEMS	10736414	USS Ticonderoga 	0	NA	0	NA	NA	NA	NA	NA	0
56	TACTAS	TACTAS	160	NA	2017-06-23 16:49:55.5070000	Brian and Ravi update implemented by CSIS\GSanders	NA	Electronics, Comms, & Sensors	63584	2007	2007	NA	63584.0000	MEGGITT CORP USA	63584	Tactical Towed Array System	0	NA	0	NA	NA	NA	NA	NA	0
57	CVN 68	CVN 68	161	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	9906895216.8499	2004	2018	Ships & Submarines	1417159567.7972	NORTHROP GRUMMAN	5383630942.8674	USS Nimitz	0	NA	0	NA	CVN 68	NA	NA	NA	0
58	SIDWINGER (AIM-9M) (N)	SIDWINGER (AIM-9M) (N)	162	NA	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Ships & Submarines	776328	2008	2008	Ships & Submarines	776328.0000	WOODWARD GOVERNOR	776328	NA	0	NA	1	NA	AIM-9M(N)	NA	NA	NA	0
59	SIDWINGER (AIM-9M) (AF)	SIDWINGER (AIM-9M) (AF)	163	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	2571354.5285	2007	2016	Ordnance and Missiles	2516945.1984	BOEING	1895425.3301		0	NA	0	NA	AIM-9M(F)	NA	NA	NA	0
60	SPARROW (AIM-7F) (N)	SPARROW (AIM-7F) (N)	164	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	1295954970.5674	2007	2018	Ordnance and Missiles	260701254.0000	RAYTHEON	1291951100.3374		0	NA	0	NA	NA	NA	NA	NA	0
61	SPARROW (AIM-7M) (AF)	SPARROW (AIM-7M) (AF)	165	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	941778.0393	2009	2013	Ordnance and Missiles	505213.0781	CALIAN	495447.0393	NA	0	NA	0	NA	AIM-7M(F)	NA	NA	NA	0
62	NAVSTAR GPS	NAVSTAR GPS	166	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Space Systems	11223946725.035	2004	2018	Space Systems	1359417460.3782	LOCKHEED MARTIN	4692043969.9972	Global Positioning System	0	NA	0	NA	Navstar GPS (Sat.)	NA	NA	NA	0
63	AV-8B	AV-8B	167	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	155683258.6668	2005	2018	Aircraft	29737718.0653	PAE AVIATION & TECHNICAL SERVICES	53891067.8577	NA	0	NA	0	NA	NA	NA	NA	NA	0
64	B1-B	B1-B	168	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	933716812.7043	2006	2018	Aircraft	169285187.3967	BOEING	314210177.0073	NA	0	NA	0	NA	NA	NA	NA	NA	0
65	PHOENIX (AIM-54C)	PHOENIX (AIM-54C)	169	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	13528.1808	2007	2015	Missile Defense	31998.3008	NORTHROP GRUMMAN	13528.1808	NA	0	NA	1	NA	AIM-54C	NA	NA	NA	0
66	JTIDS (ARMY)	JTIDS (ARMY)	170	NA	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Electronics, Comms, & Sensors	98045.2891	2004	2012	Electronics, Comms, & Sensors	73248.0000	NA	98045.2891	NA	0	NA	1	NA	JTIDS(A)	NA	NA	NA	0
67	JTIDS (NAVY)	JTIDS (NAVY)	171	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	65946698.4562	2006	2018	Electronics, Comms, & Sensors	15463017.0000	BAE SYSTEMS	62126113.7406	NA	0	NA	1	NA	NA	NA	NA	NA	0
68	JTIDY (AIR FORCE)	JTIDY (AIR FORCE)	172	NA	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NA	Electronics, Comms, & Sensors	9674534.9531	2007	2013	Electronics, Comms, & Sensors	8419496.0000	AEROVIRONMENT	6153451.9531	NA	0	NA	1	NA	NA	NA	NA	NA	0
69	BMTC	BMTC	173	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	8336	2011	2011	Missile Defense	8336.0000	L3 COMMUNICATIONS	8336	NA	0	NA	1	NA	NA	NA	NA	NA	0
70	KIOWA WARRIOR	KIOWA WARRIOR	174	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	2442517157.1562	2005	2018	Aircraft	439116899.2493	TEXTRON	782484438.1636	NA	0	NA	0	NA	NA	NA	NA	NA	0
71	LAV (ARMY)	LAV (ARMY)	175	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Land Vehicles	228350086.2774	2006	2018	Land Vehicles	46387648.6126	CANADIAN COMMERCIAL CORPORATION	199215794.5192	NA	0	NA	0	NA	LAV(A)	NA	NA	NA	0
72	EELV	EELV	176	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Space Systems	20443132899.6524	2004	2018	Space Systems	2574970473.8961	UNITED LAUNCH ALLIANCE	14244885627.7207	NA	0	NA	0	NA	NA	NA	NA	NA	0
73	TRIDENT II SUB	TRIDENT II SUB	177	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	310118767.2225	2010	2018	Ordnance and Missiles	93425035.0000	GENERAL DYNAMICS	309829312.2225	NA	0	NA	0	NA	NA	NA	NA	NA	0
74	TRIDENT II MISSILE	TRIDENT II MISSILE	178	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	28223552555.3748	2000	2018	Ordnance and Missiles	2329221894.3024	LOCKHEED MARTIN	16991645432.3068	NA	0	NA	0	NA	UGM-133A (Trident II)	NA	NA	NA	0
75	ARH	ARH	179	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	377728879.9647	2006	2018	Aircraft	95043538.8115	TEXTRON	308859806.1321	NA	0	NA	0	NA	NA	NA	NA	NA	0
76	DDG 51	DDG 51	180	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	16626713081.9882	2001	2018	Ships & Submarines	2415498483.0455	GENERAL DYNAMICS	7211437404.2375	USS Arleigh Burke	0	NA	0	NA	NA	NA	NA	NA	0
77	KC-135R	KC-135R	181	0	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	1526722971.0983	2004	2018	Aircraft	265445866.9272	BOEING	616738269.0775	NA	0	NA	0	NA	NA	NA	NA	NA	0
78	LUH	LUH	182	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	3291235020.9527	2006	2018	Aircraft	540030806.4300	EADS NV	3290491833.4484	NA	0	NA	0	NA	NA	NA	NA	NA	0
79	FCA	FCA	183	NA	2019-08-21 01:37:02.2400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NA	NA	561976034.1209	2007	2018	Aircraft	243772069.9757	L3 COMMUNICATIONS	559584752.3201		0	NA	0	NA	NA	NA	NA	NA	0
80	AMRAAM (NAVY)	AMRAAM (NAVY)	184	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	744919885.7833	2004	2018	Ordnance and Missiles	331308756.8398	NA	457746172.7833	NA	0	NA	0	NA	NA	NA	NA	NA	0
81	AMRAAM	AMRAAM	185	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	16104542611.8891	1990	2018	Ordnance and Missiles	1339704773.5562	RAYTHEON	12882436649.4169	NA	0	NA	0	NA	AMRAAM(F)	NA	NA	NA	0
82	LANTRIN	LANTRIN	187	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	5977226.5785	2007	2017	Electronics, Comms, & Sensors	3632435.6035	LOCKHEED MARTIN	2396154.54	NA	0	NA	1	NA	NA	NA	NA	NA	0
83	A-6E / A-6 UPGRADE	A-6E / A-6 UPGRADE	188	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Aircraft	66631.8119	2006	2012	Aircraft	52416.9519	PARKER HANNIFIN	55858.2119	NA	0	NA	0	NA	NA	NA	NA	NA	0
84	MH-60R	MH-60R	191	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	6899885533.5577	2004	2018	Aircraft	817690846.7900	LOCKHEED MARTIN	4297293533.724	NA	0	NA	0	NA	SH-60R	NA	NA	NA	0
85	SCOUT	SCOUT	193	NA	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	496677730.8107	2007	2018	Aircraft	133241068.7700	BOEING	319253749	NA	0	NA	0	NA	NA	NA	NA	NA	0
86	DD(X)	DD(X)	197	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ships & Submarines	16024115004.3947	2004	2018	Ships & Submarines	4290156702.3711	RAYTHEON	7306502386.6141	Zumwalt Class Destroyer	0	NA	0	NA	NA	NA	NA	NA	0
87	JSF (F-35)	JSF (F-35)	198	1	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	99730249658.5634	1997	2018	Aircraft	24142780609.3471	LOCKHEED MARTIN	84783102024.7212	NA	0	NA	0	NA	NA	NA	NA	NA	0
88	FAB-T	FAB-T	199	0	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	674346.9063	2008	2018	Electronics, Comms, & Sensors	449779.4063	NA	600754.9063	NA	0	NA	1	NA	NA	NA	NA	NA	0
