vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
12BC	1212BC	"USDA, OFC OF PARTNERSHIP PUBLIC ENG"	1	"USDA, OFF OF PARTNERSHIP PUBLIC ENG"	1	Office.OfficeID	
12C2	355	"R1, CUSTER GALLATIN NF"	1	CUSTER NF	0	Office.OfficeID	
12C2	385	WESTERN MONTANA ACQUISITION ZONE	1	FLATHEAD NF	0	Office.OfficeID	
12C2	03R6	"R1, LOLO NATIONAL FOREST"	1	LOLO NF	0	Office.OfficeID	
12C2	120109	"ALASKA REGIONAL OFFICE, R10"	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	120112	TONGASS NATIONAL FOREST	1	USDA FOREST SERVICE	0	Office.OfficeID	
12C2	120120	USDA  FOREST SERVICE	1	CHUGACH NATIONAL FOREST	1	Office.OfficeID	
12C2	120252	USDA  FOREST SERVICE	1	NEZ PERCE-CLEARWATER NATIONAL FOREST	1	Office.OfficeID	
12C2	120261	BOISE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	120267	USDA  FOREST SERVICE	1	SAWTOOTH NATIONAL FOREST	1	Office.OfficeID	
12C2	120281	USDA FOREST SERVICE	1	IDAHO PANHANDLE NATIONAL FOREST	1	Office.OfficeID	
12C2	1202L3	SALMON AND CHALLIS NATIONAL FORESTS	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1202NV	USDA FOREST SERVICE	1	CARIBOU-TARGHEE NATIONAL FOREST	1	Office.OfficeID	
12C2	1202WW	PAYETTE NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	120343	USDA FOREST SERVICE	1	"REGIONAL OFFICE, R1"	1	Office.OfficeID	
12C2	120345	USDA FOREST SERVICE	1	AERIAL FIRE DEPOT	1	Office.OfficeID	
12C2	120349	TRAPPER CREEK JOB CORPS -BITTERROOT NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	120351	USDA FOREST SERVICE	1	BITTERROOT NATIONAL FOREST	1	Office.OfficeID	
12C2	120398	CUSTER GALLATIN NATIONAL FOREST	1	USDA FOREST SERVICE	0	Office.OfficeID	
12C2	1203H6	USDA  FOREST SERVICE	1	HELENA NATIONAL FOREST	1	Office.OfficeID	
12C2	1203J1	USDA FOREST SERVICE	1	KOOTENAI NATIONAL FOREST	1	Office.OfficeID	
12C2	1203K0	USDA  FOREST SERVICE	2	LEWIS&CLARK NATIONAL FOREST	0	Office.OfficeID	
12C2	1203L7	USDA FOREST SERVICE	1	ANACONDA JOB CORPS CENTER	0	Office.OfficeID	
12C2	1203R6	LOLO NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1203TT	USDA FOREST SERVICE	1	MISSOULA TECHNOLOGY AND DEVELOPMENT CENTER	1	Office.OfficeID	
12C2	1204GG	DESCHUTES NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1204H1	USDA FOREST SERVICE	1	PACIFIC NORTHWEST REGIONAL OFFICE	1	Office.OfficeID	
12C2	1204KK	USDA FOREST SERVICE	1	MALHEUR NATIONAL FOREST	1	Office.OfficeID	
12C2	1204M3	USDA FOREST SERVICE	1	WALLOWA WHITMAN NATIONAL FOREST	1	Office.OfficeID	
12C2	1204N0	USDA FOREST SERVICE	1	OCHOCO NATIONAL FOREST	1	Office.OfficeID	
12C2	1204N7	USDA FOREST SERVICE	2	ROGUE RIVER-SISKIYOU NATL FOREST	1	Office.OfficeID	
12C2	1204P5	FREMONT WINEMA NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1204R3	"USDA FOREST SERVICE, R6"	1	UMATILLA NATIONAL FOREST R6	1	Office.OfficeID	
12C2	1204R4	USDA FOREST SERVICE	1	WILLAMETTE NATIONAL FOREST	1	Office.OfficeID	
12C2	1204T0	USDA  FOREST SERVICE	1	SIUSLAW NATIONAL FOREST	1	Office.OfficeID	
12C2	1204T1	USDA  FOREST SERVICE	1	UMPQUA NATIONAL FOREST	1	Office.OfficeID	
12C2	1204T8	WOLF CREEK JCCC	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1204TT	ANGELL JOB CORPS	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1205G0	USDA  FOREST SERVICE	1	CURLEW JOB CORPS	1	Office.OfficeID	
12C2	1205G1	USDA  FOREST SERVICE	1	COLVILLE NATIONAL FOREST	1	Office.OfficeID	
12C2	1205GG	USDA FOREST SERVICE	1	OKANOGAN-WENATCHEE NATIONAL FOREST	1	Office.OfficeID	
12C2	1205K3	GIFFORD PINCHOT NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1205M6	MT BAKER SNOQUALMIE NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1.20E+04	USDA FOREST SERVICE	1	COLUMBIA BASIN JOB CORPS	1	Office.OfficeID	
12C2	1.20E+07	USDA FOREST SERVICE	1	FORT SIMCOE JOB CORPS	1	Office.OfficeID	
12C2	120F10	"USDA  FS,  MOUNT HOOD NF"	1	"TIMBER LAKE CONS CENTER, MT HOOD"	1	Office.OfficeID	
12C2	121484	WHITE MOUNTAIN NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	121681	USDA  FOREST SERVICE	1	GREEN MOUNTAIN NATIONAL FOREST	1	Office.OfficeID	
12C2	1224H8	USDA FOREST SERVICE	1	ALLEGHENY NATIONAL FOREST	1	Office.OfficeID	
12C2	123187	USDA FOREST SERVICE	2	WASHINGTON OFFICE	1	Office.OfficeID	
12C2	123395	USDA FOREST SERVICE	1	GEORGE WASHINGTON/JEFFERSON NATIONAL FOREST	1	Office.OfficeID	
12C2	1233A4	USDA FOREST SERVICE	1	FLATWOODS JOB CORPS CENTER	1	Office.OfficeID	
12C2	1233GX	HARPERS FERRY JOB CORPS	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	123434	MONONGAHELA NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	12344V	USDA FOREST SERVICE	1	AQM ENTERPRISE ACTIVITIES	1	Office.OfficeID	
12C2	124146	USDA  FOREST SERIVCE	1	NATIONAL FORESTS IN ALABAMA	1	Office.OfficeID	
12C2	124283	NATIONAL FORESTS IN FLORIDA	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	12435H	USDA FOREST SERVICE	1	CHATTAHOOCHEE OCONNE NATL FOREST	1	Office.OfficeID	
12C2	1243N9	SOUTHERN REGION FIRE AVIATION	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	12447U	"USDA  FOREST SERVICE, R8"	1	NATIONAL FORESTS IN MISSISSIPPI	1	Office.OfficeID	
12C2	124550	USDA FS	1	NATIONAL FORESTS IN NORTH CAROLINA	1	Office.OfficeID	
12C2	124567	USDA  FOREST SERVICE	1	SCHENCK JOB CORPS CCC	1	Office.OfficeID	
12C2	124568	USDA  FOREST SERVICE	1	SOUTHERN RESEARCH STATION	1	Office.OfficeID	
12C2	1245LE	USDA FOREST SERVICE	1	OCONALUFTEE JOB CORPS CCC	1	Office.OfficeID	
12C2	124660	USDA FOREST SERVICE SAVANNAH RIVER	1	SAVANNAH RIVER SITE	1	Office.OfficeID	
12C2	124670	USDA FOREST SERVICE	2	FRANCIS MARION&SUMTER NATL FORESTS	1	Office.OfficeID	
12C2	124756	USDA  FOREST SERVICE	1	CHEROKEE NATIONAL FOREST	1	Office.OfficeID	
12C2	124763	JACOBS CREEK JOB CORPS CCC	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	124826	GREAT ONYX JOB CORPS CENTER	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	124870	LAND BETWEEN THE LAKES NRA	1	USDA FS	1	Office.OfficeID	
12C2	1251A8	SHAWNEE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1251KN	USDA  FOREST SERVICE	1	MIDEWIN NATIONAL TALLGRASS PRAIRIE	1	Office.OfficeID	
12C2	1252B1	HOOSIER NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	12531A	USDA  FOREST SERVICE	1	DANIEL BOONE NATIONAL FOREST	1	Office.OfficeID	
12C2	12531H	USDA  FOREST SERVICE	1	FRENCHBURG JOB CORPS CENTER	1	Office.OfficeID	
12C2	12531N	PINE KNOT JOB CORPS CCC	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1254A4	USDA  FOREST SERVICE	1	HURON MANISTEE NATIONAL FOREST	1	Office.OfficeID	
12C2	1254A7	OTTAWA NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1254B0	HIAWATHA NATIONAL FOREST	1	USDA  US FOREST SERVICE	1	Office.OfficeID	
12C2	1255N9	USDA  FOREST SERVICE	1	WAYNE NATIONAL FOREST	1	Office.OfficeID	
12C2	125680	USDA  FOREST SERVICE	1	FOREST PRODUCTS LABORATORY	1	Office.OfficeID	
12C2	125699	USDA FOREST SERVICE	1	BLACKWELL JOB CORPS CENTER	1	Office.OfficeID	
12C2	1256A6	CHEQUAMEGON-NICOLET NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	126392	USDA  FS	1	CHIPPEWA NATIONAL FOREST	1	Office.OfficeID	
12C2	1263A9	USDA FS	1	SUPERIOR NATIONAL FOREST	1	Office.OfficeID	
12C2	126441	USDA FS	1	MINGO JOB CORPS CENTER	1	Office.OfficeID	
12C2	1264R4	USDA FOREST SERVICE  FOREST SUPVSR	1	MARK TWAIN NATIONAL FOREST	1	Office.OfficeID	
12C2	1265RA	PINE RIDGE JOB CORPS CCC	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1265T0	USDA  FOREST SERVICE	1	NEBRASKA NATIONAL FOREST	1	Office.OfficeID	
12C2	1266X1	"USDA FOREST SERVICE, R1"	1	DAKOTA PRAIRIE GRASSLANDS	0	Office.OfficeID	
12C2	1267T0	BLACK HILLS NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1267U4	USDA  FOREST SERVICE	1	BOXELDER JOB CORPS CENTER	1	Office.OfficeID	
12C2	127512	LINCOLN NATIONAL FOREST	1	USDA FS R3 SOUTHWESTERN REGION	1	Office.OfficeID	
12C2	127A86	USDA  FOREST SERVICE	1	OUACHITA NATIONAL FOREST	1	Office.OfficeID	
12C2	127DF5	NATIONAL FORESTS&GRASSLANDS IN TEXAS	2	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	127J18	OZARK/ST. FRANCIS NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	127J28	CASS JOB CORPS CENTER	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	127K11	USDA  FOREST SERVICE	1	KISATCHIE NATIONAL FOREST	1	Office.OfficeID	
12C2	128156	KAIBAB NATIONAL FOREST	1	FOREST SERVICE - GC DISPATCH CTR	1	Office.OfficeID	
12C2	128167	USDA FOREST SERVICE	1	COCONINO NATIONAL FOREST	1	Office.OfficeID	
12C2	128173	APACHE-SITGREAVES NATIONAL FORESTS	1	USDA FS	1	Office.OfficeID	
12C2	128180	USDA FOREST SERVICE	1	TONTO NATIONAL FOREST	1	Office.OfficeID	
12C2	128191	PRESCOTT NATIONAL FOREST	1	USDA FS	1	Office.OfficeID	
12C2	128197	USDA  FOREST SERVICE	1	CORONADO NATIONAL FOREST	1	Office.OfficeID	
12C2	1282AK	USDA FOREST SERVICE	1	RIO GRANDE NATIONAL FOREST	1	Office.OfficeID	
12C2	1282AT	USDA FOREST SERVICE	1	ARAPAHO AND ROOSEVELT NATIONAL FOREST	1	Office.OfficeID	
12C2	1282BH	PIKE AND SAN ISABEL NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1282CS	SAN JUAN NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1282D7	USDA  FOREST SERIVCE	1	WHITE RIVER NATIONAL FOREST	1	Office.OfficeID	
12C2	1.28E+09	COLLBRAN JOB CORPS	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1282FT	ROCKY MTN RESEARCH STATION	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1282X9	USDA  FOREST SERVICE	1	ROCKY MOUNTAIN REGIONAL OFFICE	1	Office.OfficeID	
12C2	128371	"SOUTHWESTERN REGIONAL OFFICE, REGION 3"	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	128379	SANTA FE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	128399	USDA  FOREST SERVICE	1	GILA NATIONAL FOREST	1	Office.OfficeID	
12C2	1283A7	"USDA, FOREST SERVICE"	1	CARSON NATIONAL FOREST	0	Office.OfficeID	
12C2	1283D5	CIBOLA NATIONAL FOREST	1	USDA FS CIBOLA NATIONAL FOREST	1	Office.OfficeID	
12C2	128462	USDA  FOREST SERVICE	1	FISHLAKE NATIONAL FOREST	1	Office.OfficeID	
12C2	128472	USDA FOREST SERVICE	1	MANTI-LASAL NATIONAL FOREST	1	Office.OfficeID	
12C2	128486	USDA FOREST SERVICE	1	DIXIE NATIONAL FOREST	1	Office.OfficeID	
12C2	128499	USDA FOREST SERVICE	1	ASHLEY NATIONAL FOREST	1	Office.OfficeID	
12C2	1284A0	UNITA-WASATCH-CACHE NATIONAL FOREST	1	USDA FOREST SVC  FOREST SUPVSR	1	Office.OfficeID	
12C2	1284JC	USDA FOREST SERVICE	2	GEOSPATIAL SERVICE&TECHNOLOGY CENTER	1	Office.OfficeID	
12C2	1284JP	WEBER BASIN JOB CORPS	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1284M8	"INTERMOUNTAIN REGIONAL OFFICE, REGION 4"	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	128508	MEDICINE BOW-ROUTT NATIONAL FOREST	1	USDA  FS LARAMIE RANGER DISTRICT	1	Office.OfficeID	
12C2	128544	USDA  FOREST SERIVCE	1	SHOSHONE NATIONAL FOREST	1	Office.OfficeID	
12C2	128555	BRIDGER-TETON NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1291S8	USDA FOREST SERVICE	1	"PACIFIC SOUTHWEST REGION, REGION 5"	1	Office.OfficeID	
12C2	1291T5	ANGELES NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1291U4	USDA FOREST SERVICE	1	CLEVELAND NATIONAL FOREST	1	Office.OfficeID	
12C2	1291U9	USDA FOREST SERVICE	1	ELDORADO NATIONAL FOREST	1	Office.OfficeID	
12C2	1291V9	USDA FOREST SERVICE	1	LAKE TAHOE BASIN MANAGEMENT UNIT	1	Office.OfficeID	
12C2	1291W2	USDA  FOREST SVC	1	INYO NATIONAL FOREST	1	Office.OfficeID	
12C2	1291W8	USDA FOREST SERVICE	1	KLAMATH NATIONAL FOREST	1	Office.OfficeID	
12C2	1291Y9	LOS PADRES NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	1291Z9	MENDOCINO NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	129360	USDA  FOREST SERVICE	1	HUMBOLDT-TOIYABE NATIONAL FOREST	1	Office.OfficeID	
12C2	1294TZ	WESTERN ZONE	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	1296J1	DESCANSO RANGER DISTRICT	1	"USDA FS, CLEVELAND NF"	0	Office.OfficeID	
12C2	129A08	MODOC NATIONAL FOREST	1	USDA  FSM MODOC NATIONAL FOREST	1	Office.OfficeID	
12C2	129A14	USDA FOREST SERVICE	1	SAN BERNARDINO NATIONAL FOREST	1	Office.OfficeID	
12C2	129A23	SEQUOIA NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.OfficeID	
12C2	129A28	USDA FOREST SERVICE	1	SHASTA-TRINITY NATIONAL FOREST	1	Office.OfficeID	
12C2	129A40	SIERRA NATIONAL FOREST	1	USDA FOREST SEVICE	1	Office.OfficeID	
12C2	129A47	USDA FOREST SERVICE	1	SIX RIVERS NATIONAL FOREST	1	Office.OfficeID	
12C2	129A55	STANILAUS NATIONAL FOREST	1	USDA FS STANISLAUS NF	1	Office.OfficeID	
12C2	129AD6	PACIFIC SOUTHWEST RESEARCH STATION	2	USDA  FOREST SERVICE	0	Office.OfficeID	
12C2	129JGA	PLUMAS NATIONAL FOREST	1	USDA FOREST SERVICE	0	Office.OfficeID	
12C2	129JNE	USDA FOREST SERVICE	1	LASSEN NATIONAL FOREST	1	Office.OfficeID	
12C2	12F31B	EL YUNQUE / CARIBBEAN NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.OfficeID	
12C2	12F430	USDA FS  - IITF	1	INTERNATIONAL INSTITUTE OF TROPICAL FORESTRY	1	Office.OfficeID	
12C2	84A0	UNITA-WASATCH-CACHE NATIONAL FORESTS	1	UNITA-WASATCH-CACHE  NATIONAL FORESTS	0	Office.OfficeID	
12C2	87BJ	DAKOTA PRAIRIE GRASSLANDS EASTSIDE ACQ TEAM	1	DAKOTA PRAIRIE GRASSLANDS	0	Office.OfficeID	
12C3	120211	NRCS-ID STATE OFFICE	1	USDA NRCS	0	Office.OfficeID	
12C3	120325	NRCS-MT STATE OFFICE	1	USDA NRCS MONTANA SO	1	Office.OfficeID	
12C3	120546	NRCS-WA STATE OFFICE	1	USDA NRCS	0	Office.OfficeID	
12C3	121106	NRCS-CT STATE OFFICE	1	USDA NRCS	0	Office.OfficeID	
12C3	1212C3	NRCS-CHIEF	1	USDA NRCS	0	Office.OfficeID	
12C3	121428	USDA NRCS NEW HAMPSHIRE SO	1	NRCS-NH STATE OFFICE	1	Office.OfficeID	
12C3	121644	USDA NRCS	1	NRCS-VT STATE OFFICE	1	Office.OfficeID	
12C3	121A23	NRCS CONTRACTING SVS BRANCH-TEAM 1	1	USDA NRCS CONTRACTING SVS BRANCH	0	Office.OfficeID	
12C3	122B29	NRCS-NJ STATE OFFICE	1	USDA NRCS	0	Office.OfficeID	
12C3	122D37	USDA NRCS	1	NRCS-PA STATE OFFICE	1	Office.OfficeID	
12C3	12362J	NRCS-DEP CHIEF FOR MGMT & STRATEGY	1	NRCS-DEP CHIEF FOR MGMT&STRATEGY	1	Office.OfficeID	
12C3	123A75	NRCS-NATIONAL HEADQUARTERS	1	USDA NRCS HEADQUARTERS	1	Office.OfficeID	
12C3	123C78	USDA NRCS CONTRACTING SVS BRANCH	1	NRCS CONTRACTING SVS BRANCH-TEAM 3	1	Office.OfficeID	
12C3	124209	USDA NRCS	1	NRCS-FL STATE OFFICE	1	Office.OfficeID	
12C3	124423	USDA NRCS MISSISSIPPI SO	1	NRCS-MS STATE OFFICE	1	Office.OfficeID	
12C3	124639	NRCS-SC STATE OFFICE	1	USDA NRCS	0	Office.OfficeID	
12C3	124741	USDA NRCS TN STATE OFFICE	1	NRCS-TN STATE OFFICE	1	Office.OfficeID	
12C3	124D90	USDA NRCS CONTRACTING SVS BRANCH	1	NRCS CONTRACTING SVS BRANCH-TEAM 4	0	Office.OfficeID	
12C3	125A12	NRCS-IL STATE OFFICE	1	USDA NRCS	1	Office.OfficeID	
