vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
AIA	ANGUILLA	1	AIA	ANGUILLA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ATA	ANTARCTICA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	2	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CAF	CENTRAL AFRICAN REPUBLIC	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUB	CUBA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CYM	CAYMAN ISLANDS	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ERI	ERITREA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
FLK	FALKLAND ISLANDS (ISLAS MALVINAS)	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GBR	UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN	1	GBR	UNITED KINGDOM	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	2	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GNQ	EQUATORIAL GUINEA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IRN	IRAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KIR	KIRIBATI	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	2	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LBY	LIBYA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LCA	SAINT LUCIA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MAC	MACAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MCO	MONACO	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MSR	MONTSERRAT	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
NCL	NEW CALEDONIA	1	NCL	NEW CALEDONIA [FRANCE]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
RUS	RUSSIAN FEDERATION	1	RUS	RUSSIA	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SPM	SAINT PIERRE AND MIQUELON	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TCA	TURKS AND CAICOS ISLANDS	1	TCA	TURKS AND CAICOS ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKL	TOKELAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKM	TURKMENISTAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TUV	TUVALU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TWN	TAIWAN, PROVINCE OF CHINA	1	TWN	Taiwan	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
USA	UNITED STATES OF AMERICA	1	USA	UNITED STATES	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VCT	SAINT VINCENT AND THE GRENADINES	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	2	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ZZZ	NONDISTRIBUTED	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
systemequipmentcode	MaxOfNewFKdod_acquisition_program_description	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1400	DEPARTMENT OF THE INTERIOR	1	INTERIOR, DEPARTMENT OF THE	0	FPDSTypeTable.AgencyID
1406	DEPARTMENTAL OFFICES	1	OFFICE OF POLICY, MANAGEMENT, AND BUDGET	0	FPDSTypeTable.AgencyID
1432	U.S. BUREAU OF MINES	1	BUREAU OF MINES	0	FPDSTypeTable.AgencyID
1434	US GEOLOGICAL SURVEY	2	GEOLOGICAL SURVEY	0	FPDSTypeTable.AgencyID
1450	BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION	1	BUREAU OF INDIAN AFFAIRS	1	FPDSTypeTable.AgencyID
1500	DEPARTMENT OF JUSTICE	1	JUSTICE, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
1540	FEDERAL PRISON SYSTEM / BUREAU OF PRISONS	1	FEDERAL PRISON SYSTEM	0	FPDSTypeTable.AgencyID
1560	BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES ACQUISITION AND PROPERTY MANAGEMENT DIVISION	1	ATF ACQUISITION AND PROPERTY MGMT DIV	1	FPDSTypeTable.AgencyID
1601	OFFICE OF THE SECRETARY OF LABOR	1	IMMEDIATE OFFICE OF THE SECRETARY OF LABOR	1	FPDSTypeTable.AgencyID
1605	OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT	1	OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT	1	FPDSTypeTable.AgencyID
1608	OFFICE OF PUBLIC AFFAIRS	1	OFFICE OF INFORMATION AND PUBLIC AFFAIRS	1	FPDSTypeTable.AgencyID
1622	OFFICE OF CHIEF FINANCIAL OFFICER	1	OFFICE OF THE CHIEF FINANCIAL OFFICER	1	FPDSTypeTable.AgencyID
1900	DEPARTMENT OF STATE	1	STATE, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
2000	DEPARTMENT OF THE TREASURY	1	TREASURY, DEPARTMENT OF THE	0	FPDSTypeTable.AgencyID
3600	DEPARTMENT OF VETERANS AFFAIRS	1	VETERANS AFFAIRS, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
4705	OFFICE OF THE ADMINISTRATOR	1	OFFICE OF THE ADMINISTRATOR(ACMD)	1	FPDSTypeTable.AgencyID
4745	OFFICE OF GOVERNMENT-WIDE POLICY	1	OFFICE OF GOVERNMENT WIDE POLICY	1	FPDSTypeTable.AgencyID
6850	ASSISTANT ADMINISTRATOR FOR LAND AND EMERGENCY MANAGEMENT	1	ASST ADMINISTRATOR FOR SOLID WASTE AND EMERGENCY RESPONSE	0	FPDSTypeTable.AgencyID
6900	DEPARTMENT OF TRANSPORTATION	1	TRANSPORTATION, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
6901	OFFICE OF THE SECRETARY	1	IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION	1	FPDSTypeTable.AgencyID
690S	OFFICE OF THE SECRETARY	1	OFFICE OF THE SECRETARY OF TRANSPORTATION	0	FPDSTypeTable.AgencyID
6950	U. S. COAST GUARD	1	UNITED STATES COAST GUARD	1	FPDSTypeTable.AgencyID
6957	PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION	1	PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATON	1	FPDSTypeTable.AgencyID
7500	DEPARTMENT OF HEALTH AND HUMAN SERVICES	1	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
7501	IMMEDIATE OFFICE OF THE SECRETARY	1	IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES	0	FPDSTypeTable.AgencyID
7505	OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE	1	OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET	0	FPDSTypeTable.AgencyID
750S	OFFICE OF THE SECRETARY	1	OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES	0	FPDSTypeTable.AgencyID
7523	CENTERS FOR DISEASE CONTROL AND PREVENTION	1	CENTERS FOR DISEASE CONTROL	0	FPDSTypeTable.AgencyID
7528	AGENCY FOR HEALTHCARE RESEARCH AND QUALITY	1	AGENCY FOR HEALTH CARE POLICY AND RESEARCH	0	FPDSTypeTable.AgencyID
7555	PROGRAM SUPPORT CENTER	1	OFFICE OF ASST SECRETARY FOR HEALTH EXCEPT NATIONAL CENTERS	0	FPDSTypeTable.AgencyID
8600	DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	1	HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
8900	DEPARTMENT OF ENERGY	1	ENERGY, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
8960	FEDERAL ENERGY REGULATORY COMMISSION	1	FERC	0	FPDSTypeTable.AgencyID
9100	DEPARTMENT OF EDUCATION	1	EDUCATION, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
9568	UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG	1	BROADCASTING BOARD OF GOVERNORS	1	FPDSTypeTable.AgencyID
9700	DEPT OF DEFENSE	1	DEPARTMENT OF DEFENSE	1	FPDSTypeTable.AgencyID



Warning: Null value is eliminated by an aggregate or other SET operation.
contractingofficeagencyid	MaxOfNewFKawarding_sub_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1205	USDA, DEPARTMENTAL ADMINISTRATION	1	USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER	0	FPDSTypeTable.AgencyID
12B0	USDA, ASSISTANT SECRETARY FOR ADMINISTRATION	1	USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT	1	FPDSTypeTable.AgencyID
12D0	FARM PRODUCTION AND CONSERVATION BUSINESS CENTER	1	UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES	0	FPDSTypeTable.AgencyID
1323	US CENSUS BUREAU	1	BUREAU OF THE CENSUS	1	FPDSTypeTable.AgencyID
1344	US PATENT AND TRADEMARK OFFICE	1	PATENT AND TRADEMARK OFFICE	1	FPDSTypeTable.AgencyID
1406	OFFICE OF POLICY, BUDGET AND ADMINISTRATION	2	OFFICE OF POLICY, MANAGEMENT, AND BUDGET	1	FPDSTypeTable.AgencyID
1434	US GEOLOGICAL SURVEY	1	GEOLOGICAL SURVEY	1	FPDSTypeTable.AgencyID
1435	MINERALS MANAGEMENT SERVICE	1	BUREAU OF OCEAN ENERGY MANAGEMENT	1	FPDSTypeTable.AgencyID
1450	BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION	1	BUREAU OF INDIAN AFFAIRS	1	FPDSTypeTable.AgencyID
1540	FEDERAL PRISON SYSTEM / BUREAU OF PRISONS	1	FEDERAL PRISON SYSTEM	1	FPDSTypeTable.AgencyID
1542	FEDERAL PRISON INDUSTRIES, INC.	1	FEDERAL PRISON INDUSTRIES / UNICOR	1	FPDSTypeTable.AgencyID
1601	OFFICE OF THE SECRETARY OF LABOR	1	IMMEDIATE OFFICE OF THE SECRETARY OF LABOR	1	FPDSTypeTable.AgencyID
1605	OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT	1	OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT	1	FPDSTypeTable.AgencyID
1608	OFFICE OF PUBLIC AFFAIRS	1	OFFICE OF INFORMATION AND PUBLIC AFFAIRS	1	FPDSTypeTable.AgencyID
1622	OFFICE OF CHIEF FINANCIAL OFFICER	1	OFFICE OF THE CHIEF FINANCIAL OFFICER	1	FPDSTypeTable.AgencyID
1667	OFFICE OF DISABILITY EMPLOYMENT POLICY	1	PRESIDENT'S COMMITTEE ON EMPLOYMENT OF THE HANDICAPPED	1	FPDSTypeTable.AgencyID
4745	OFFICE OF THE CHIEF ACQUISITION OFFICER	1	OFFICE OF GOVERNMENT WIDE POLICY	1	FPDSTypeTable.AgencyID
